ID,Race,Ethnicity,Origin_Region,Settlement_Type,Outdoor_Skills,Urban_Skills,Knowledge,Craft,Literacy,Bonus_Languages,Combat_Points,Magic,Magic_Type,Magic_Subtype,Grappling,Melee,Projectiles,Fencing,Skill_Modifier,Height_cm,Weight_kg,Size_Score,Balance,Quickness,Coordination,Precision,Endurance,Vigilance,Beauty,Stealth,Speed,Special,Generation_Date
CH-00011,Human,Chondathan,Vilhon Reach,Poste de commerce isolé,Open Land Navigation | Plains Tracking | Subterranean Hazard Resistance | Arctic Hunting,Urban Observation and Tailing,Théorie de la Weave | Connaissance des cités et régions majeures | Lois et coutumes des nations | Routes commerciales et voies marchandes,Architecture,Thorass (Alphabet Thorass),Chondathan,-1.62,NO,None,,-2,0,-1,1,9,168.0,63.9,0,2,0,5,-2,1,-3,0,5,1,Aucun,2026-05-26 16:51:25
CH-00012,Human,Chondathan,Vilhon Reach,Grande Ville portuaire,Desert Thermal Endurance | Extreme Cold Resistance,Guild Knowledge | Sleight of Hand | Black Market Operations,Spellplague et ses conséquences | Culture naine | Ruines et sites archéologiques majeurs | Chute de Myth Drannor | Mythes et légendes divines | Histoire des Royaumes Oubliés,Alchimie théorique et pratique | Horlogerie et mécanismes complexes | Architecture,Chondathan (Alphabet Thorass) | Cormyrian (Alphabet Thorass),Chondathan,-3.78,YES,Théurgique,Magie Blanche,-2,-1,-3,1,0,174.1,67.4,0,-3,5,1,-4,-1,1,-1,-2,5,Aucun,2026-05-26 16:51:25
CH-00013,Gnome,Rock Gnome,Vaillants,Forteresse naine / Enclave naine,Savanna Plant Knowledge | Forest Stealth | Confined Space Stealth | Coastal Survival | Arctic Hunting,,"Royaumes et cités perdues | Spellplague et ses conséquences | Théorie de la Weave | Culture gnome | Fêtes, calendriers et traditions",Cartographie,Chondathan (Alphabet Thorass),Chondathan | Cormyrian,-18.43,YES,Sauvage,Magie Verte,-17,-10,-4,-10,2,123.3,32.2,-7,-3,-5,0,-3,9,1,-2,5,-5,Vision nocturne N1,2026-05-26 16:51:25
CH-00014,Human,Gur,Estagund,Village rural,Coastal Survival | Forced March Endurance | Open Land Navigation | Marsh Movement | Wild Plant Foraging | Technical Rock Climbing,Urban Stealth,Étiquette et protocole de cour | Connaissance des organisations secrètes | Histoire des Royaumes Oubliés,Travail du cuir et tannerie | Brasserie et distillation,Chondathan (Alphabet Thorass),Chondathan | Dambrathan | Elfique | Illuskan,-7.95,YES,Arcanique,Magicien,-2,-2,-5,-2,2,172.4,71.0,0,-4,1,-2,-4,2,5,-5,-5,0,Aucun,2026-05-26 16:51:25
CH-00015,Human,Rashemi,Rashemen,Monastère / Couvent isolé,Hermetic Medicine | Marsh Movement | Oceanic Navigation | Island Navigation | Forest Stealth,Noble Houses and Politics | Disguise,"Étiquette et protocole de cour | Culture halfeline | Fêtes, calendriers et traditions | Cosmologie (Weave, Shadow Weave) | Connaissance des aberrations",Gravure sur métal et gemmes | Cartographie,Thorass (Alphabet Thorass),Chondathan | Mulhorandi | Rashemi,-8.16,YES,Théurgique,Magie Blanche,-7,-4,0,-2,3,155.2,51.8,-2,-4,3,0,0,-1,-4,-3,-1,3,Aucun,2026-05-26 16:51:25
CH-00016,Human,Chondathan,Chondath,Village forestier,Littoral Foraging | Signaling and Rescue | Subterranean Hazard Resistance | Marsh Movement | Savanna Plant Knowledge | Coastal Survival,,Royaumes et cités perdues | Culture elfique | Culture gnome | Lois et coutumes des nations,Ébénisterie et marqueterie,,Chessentan | Chondathan | Thorass,24.05,NO,None,,6,4,-3,4,5,200.4,97.4,3,0,6,-2,-3,9,-3,6,-5,5,Aucun,2026-05-26 16:51:25
CH-00017,Human,Chondathan,Vilhon Reach,Grande Ville portuaire,Oceanic Navigation,Criminal Organizations | Building Infiltration | Forgery | Streetwise (Urban Underworld),"Cosmologie (Weave, Shadow Weave) | Connaissance des guildes et corporations | Spellplague et ses conséquences | Lois et coutumes des nations | Connaissance des cités et régions majeures",Navigation (terrestre et maritime),Thorass (Alphabet Thorass) | Mulhorandi (Alphabet Mulhorandi),Chondathan | Cormyrian,-5.19,YES,Théurgique,Magie Blanche,-6,-3,2,-3,0,160.7,60.6,-1,-6,-1,4,1,9,-1,-3,-1,0,Aucun,2026-05-26 16:51:25
CH-00018,Human,Tethyrian,Sword Coast,Port de contrebande,Forced March Endurance | Desert Thermal Endurance | Advanced Tracking | Open Land Navigation | Snow and Ice Shelter Building | Wild Plant Foraging,,Connaissance des aberrations | Connaissance des fées et du Feywild | Connaissance des organisations secrètes | Culture elfique | Mythes et légendes divines | Ruines et sites archéologiques majeurs,Herboristerie exotique,Chondathan (Alphabet Thorass) | Illuskan (Alphabet Thorass),Chondathan | Illuskan | Tethyrian | Thorass,-7.5,YES,Théurgique,Magie Verte,-2,-2,-4,-2,4,168.0,67.4,0,1,-2,-4,-2,-3,1,6,-2,-4,Aucun,2026-05-26 16:51:25
CH-00019,Human,Mulan,Mulhorand,Ville moyenne,Desert Water Mastery,Streetwise (Urban Underworld) | Forgery | Building Climbing / Parkour | Noble Houses and Politics,Connaissance des dragons | Noblesse et héraldique | Histoire de la magie,Alchimie théorique et pratique,,Mulhorandi,-7.02,YES,Théurgique,Magie Blanche,-2,-2,-3,-2,4,177.0,74.8,1,-3,-3,-2,-1,6,1,10,-5,-4,Aucun,2026-05-26 16:51:25
CH-00020,Human,Ffolk,Moonshae Isles,Hameau isolé,Wetland Tracking | Forced March Endurance | Storm and Seasickness Mastery | Coastal Survival | Dark Water Swimming,,"Fêtes, calendriers et traditions | Artefacts et reliques légendaires | Interactions culturelles | Histoire des Royaumes Oubliés | Connaissance des guildes et corporations | Religions et divinités majeures",Comptabilité et gestion de biens,,Ffolk | Illuskan | Sossrim,7.9,NO,None,,1,-1,5,-2,11,186.5,97.4,2,-9,-5,4,5,-5,5,3,-8,-4,Aucun,2026-05-26 16:51:25
CH-00021,Human,Tethyrian,Tethyr,Village de montagne,Plains Tracking | Open Land Navigation | River Crossing | Signaling and Rescue,,Lois et coutumes des nations | Histoire d’Imaskar | Mythes et légendes divines | Interactions culturelles,Ébénisterie et marqueterie | Forge et métallurgie | Fabrication d’objets rituels,Thorass (Alphabet Thorass),Chondathan | Tethyrian,-1.05,NO,None,,-5,-2,3,-1,13,160.7,57.5,-1,-2,2,1,3,1,-9,3,0,2,Aucun,2026-05-26 16:51:25
CH-00022,Human,Damaran,Damara,Village de montagne,Littoral Foraging | Mountain Endurance | Wild Animal Handling | Extreme Cold Resistance | Complex Terrain Navigation,Lockpicking and Trap Disarming | Noble Houses and Politics,Connaissance des cités et régions majeures | Connaissance des organisations secrètes | Histoire de la magie | Géographie de Faerûn,Travail du verre et verrerie | Forge et métallurgie | Céramique et poterie,Chondathan (Alphabet Thorass),Chondathan | Reghed,-3.78,YES,Théurgique,Magie Verte,-2,-3,2,-4,5,161.9,71.0,-1,-8,2,-4,3,3,-3,-3,-9,0,Aucun,2026-05-26 16:51:25
CH-00023,Dwarf,Shield Dwarf,Silver Marches (Luruar),Village forestier,Extreme Cold Resistance | Storm and Seasickness Mastery | River Crossing | Mountain Endurance,Criminal Organizations,Culture gnome | Culture orc et gobelinoïde | Histoire des Royaumes Oubliés | Religions et divinités majeures | Lois et coutumes des nations | Mythes et légendes divines | Écoles et traditions magiques,Fabrication de voiles et cordages,Illuskan (Alphabet Thorass),Illuskan | Nain,22.93,NO,None,,7,2,3,-2,5,143.9,83.2,-3,3,6,-6,4,-1,-4,2,-3,4,Vision dans le noir + Robustesse naine,2026-05-26 16:51:25
CH-00024,Dwarf,Shield Dwarf,Silver Marches (Luruar),Hameau agricole,Advanced Tracking | Complex Terrain Navigation | Deep-Sea Fishing | Mountain Endurance | Trapping and Snaring,Sleight of Hand,Connaissance des guildes et corporations | Histoire de Netheril | Lois et coutumes des nations | Interactions culturelles,Fabrication de chandelles et savon | Tissage et filage | Architecture,Illuskan (Alphabet Thorass),Illuskan | Nain,-6.91,YES,Théurgique,Magie Verte,-2,-3,-2,-6,3,140.4,60.6,-4,1,-1,-5,0,4,-3,-5,-1,-3,Vision dans le noir + Robustesse naine,2026-05-26 16:51:25
CH-00025,Human,Calishite,Amn,Grande Ville marchande,,City Secrets and Hidden Routes | Disguise | Streetwise (Urban Underworld) | Black Market Operations | Criminal Organizations | Building Climbing / Parkour,Cultes et ordres religieux | Géographie de Faerûn | Connaissance des cités et régions majeures | Écoles et traditions magiques,Charpenterie et travail du bois,Mulhorandi (Alphabet Mulhorandi) | Maztican (Pictogrammes Mazticans) | Sylvestre (Alphabet Espruar),Chondathan | Mulhorandi,-15.21,YES,Sauvage,Magie Blanche,-6,-7,-8,-6,10,165.0,63.9,-1,-7,-4,-9,-4,-2,0,-5,-10,-7,Aucun,2026-05-26 16:51:25
CH-00026,Human,Ffolk,Moonshae Isles,Hameau isolé,Oceanic Navigation | Desert Water Mastery | Dark Water Swimming | Coastal Survival | Forced March Endurance,Criminal Organizations | Black Market Operations,Folklore et légendes locales | Courants politiques et rivalités,Cuisine raffinée | Charpenterie et travail du bois,Espruar (Alphabet Espruar),Ffolk | Illuskan | Northlander,1.02,NO,None,,2,0,-2,0,10,181.8,83.2,1,-2,3,-4,-1,-1,4,-2,-6,1,Aucun,2026-05-26 16:51:25
CH-00027,Human,Chondathan,Sembia,Port de contrebande,Extreme Cold Resistance | Plains Tracking | Forced March Endurance,,Courants politiques et rivalités | Étiquette et protocole de cour | Théorie de la Weave | Connaissance des guildes et corporations,Teinture et coloration | Sculpture sur pierre et bois | Forge et métallurgie,Chondathan (Alphabet Thorass),Chondathan,6.68,NO,None,,3,2,-2,1,10,186.7,87.7,2,5,-7,4,-1,-2,-5,4,4,-6,Aucun,2026-05-26 16:51:25
CH-00028,Human,Calishite,Calimshan,Grande Ville portuaire,Advanced Tracking | Open Land Navigation,Disguise | Lockpicking and Trap Disarming | Fences and Buyers Network | Urban Observation and Tailing | Criminal Organizations,Routes commerciales et voies marchandes | Théorie de la Weave | Spellplague et ses conséquences | Courants politiques et rivalités,Navigation (terrestre et maritime),Chondathan (Alphabet Thorass) | Mulhorandi (Alphabet Mulhorandi),Calishite | Chondathan | Tashalan,-5.86,YES,Théurgique,Magie Blanche,-2,-2,-1,-2,2,166.4,67.4,0,4,-7,-2,2,-1,3,6,2,-8,Aucun,2026-05-26 16:51:25
CH-00029,Dwarf,Shield Dwarf,Ironmaster,Forteresse naine / Enclave naine,Confined Space Stealth | Marsh Movement | Extreme Cold Resistance | Underground Navigation | Open Land Navigation,Disguise,"Races anciennes (Netheril, Imaskar...) | Histoire de la magie | Cultes et ordres religieux | Écoles et traditions magiques | Histoire des Royaumes Oubliés",Fabrication d’armes et armures,,Illuskan | Nain,1.55,NO,None,,1,-1,2,-5,10,134.1,67.4,-5,0,-1,2,2,2,-4,-7,1,-1,Vision dans le noir + Robustesse naine,2026-05-26 16:51:25
CH-00030,Elf,Elf Sun,Fey’ri,Poste de commerce isolé,Savanna Plant Knowledge | Snow and Ice Shelter Building | Littoral Foraging | Complex Terrain Navigation | Wild Plant Foraging | Forest Stealth,Disguise | Guild Knowledge,Connaissance des cités et régions majeures | Religions et divinités majeures | Ruines et sites archéologiques majeurs,Cuisine raffinée | Brasserie et distillation | Maçonnerie,Abyssal (Alphabet Abyssal),Céleste | Elfique,49.94,NO,None,,5,5,8,5,-11,198.8,87.7,3,9,-3,8,6,-1,8,9,10,-1,Transe + Immunité sommeil + VN (N2),2026-05-26 16:51:25
CH-00031,Human,Tethyrian,Western Heartlands,Ville moyenne,Savanna Plant Knowledge | Advanced Tracking,Criminal Organizations | Building Infiltration | Black Market Operations | Disguise,Histoire de la magie | Histoire des Royaumes Oubliés | Connaissance des guildes et corporations,Travail du cuir et tannerie | Architecture | Fabrication de lentilles et optique,,Chondathan | Cormyrian | Sylvestre,8.6,NO,None,,4,2,-1,0,8,167.6,87.7,0,-3,3,3,-2,-6,1,-4,-3,4,Aucun,2026-05-26 16:51:25
CH-00032,Half-elf,Sea Half-elf,The Whalebones,Village côtier / de pêcheurs,Coastal Survival | Dark Water Swimming | Technical Rock Climbing | Forest Stealth | Wild Plant Foraging | Snow and Ice Shelter Building,Lockpicking and Trap Disarming | City Secrets and Hidden Routes,Cultes et ordres religieux | Royaumes et cités perdues | Connaissance des fées et du Feywild | Artefacts et reliques légendaires | Lois et coutumes des nations | Culture halfeline | Genasi et peuples élémentaires,Fabrication de lentilles et optique | Construction navale,Chondathan (Alphabet Thorass),Chondathan | Elfique | Illuskan | Sylvestre | Thorass,-11.54,YES,Théurgique,Magie Blanche,-6,-6,-6,-6,6,162.0,63.9,-1,-7,-7,0,-4,-2,4,7,-5,-7,Respiration aquatique,2026-05-26 16:51:25
CH-00033,Human,Calishite,Calimshan,Grande Ville portuaire,Storm and Seasickness Mastery | Plains Tracking,Forgery | City Secrets and Hidden Routes | Noble Houses and Politics | Guild Knowledge | Black Market Operations,Religions et divinités majeures | Courants politiques et rivalités | Routes commerciales et voies marchandes | Cultes et ordres religieux,Teinture et coloration | Ébénisterie et marqueterie,Maztican (Pictogrammes Mazticans) | Mulhorandi (Alphabet Mulhorandi),Calishite | Chondathan | Thorass,1.64,NO,None,,0,0,2,-1,11,172.4,71.0,0,6,-5,0,3,1,-5,9,4,-5,Aucun,2026-05-26 16:51:25
CH-00034,Human,Calishite,Calimshan,Grande Ville marchande,Open Land Navigation | Plains Tracking | River Crossing,Disguise | Sleight of Hand | Urban Stealth,Histoire des Royaumes Oubliés | Connaissance des cités et régions majeures | Folklore et légendes locales | Artefacts et reliques légendaires,Mosaïque et fresque | Élevage et dressage,Mulhorandi (Alphabet Mulhorandi),Chondathan | Mulhorandi,-8.16,YES,Arcanique,Magicien,0,-2,-7,-4,8,173.8,78.9,0,-2,-4,-6,-4,-1,-3,-9,-7,-6,Aucun,2026-05-26 16:51:25
CH-00035,Human,Damaran,Impiltur,Village lacustre / sur pilotis,Island Navigation | Coastal Survival | Mountain Endurance | Confined Space Stealth,Streetwise (Urban Underworld),"Lois et coutumes des nations | Races anciennes (Netheril, Imaskar...) | Culture halfeline",Sculpture sur pierre et bois | Fabrication d’armes et armures | Maçonnerie,,Chondathan,-7.7,YES,Théurgique,Magie Blanche,-7,-4,1,-3,-1,151.0,54.6,-2,-2,-3,3,1,3,3,-4,2,-2,Aucun,2026-05-26 16:51:25
CH-00036,Other,Goblin,Moonwood,Village forestier,Primitive Fire Mastery | Technical Rock Climbing | Deep-Sea Fishing,,Histoire de la magie | Lois et coutumes des nations | Spellplague et ses conséquences | Interactions culturelles | Connaissance des guildes et corporations,Fabrication d’armes et armures,Goblin (Alphabet Goblin),Elfique | Goblin,1.6,NO,None,,-13,-6,6,-3,2,134.8,33.9,-5,1,7,-2,6,1,7,-4,6,6,Furtivité,2026-05-26 16:51:25
CH-00037,Human,Uthgardt,Spine of the World,Hameau isolé,Plains Tracking | Signaling and Rescue | Desert Water Mastery | Coastal Survival,Fences and Buyers Network | Urban Observation and Tailing,"Culture orc et gobelinoïde | Connaissance des cités et régions majeures | Races anciennes (Netheril, Imaskar...)",Travail du cuir et tannerie | Fabrication de voiles et cordages,Espruar (Alphabet Espruar),Illuskan | Reghed | Uthgardt | Vaasan,-6.28,YES,Théurgique,Magie Verte,-2,-1,-4,-2,0,153.5,63.9,-2,0,1,-1,-3,0,2,-2,0,0,Aucun,2026-05-26 16:51:25
CH-00038,Human,Mulan,Inner Sea (Sea of Fallen Stars),Port de contrebande,Coastal Survival | Plains Tracking | Oceanic Navigation | Forest Stealth,City Secrets and Hidden Routes,Noblesse et héraldique | Géographie de Faerûn,Tissage et filage,,Chondathan | Mulhorandi,10.6,NO,None,,0,1,4,2,1,168.0,67.4,0,2,2,6,2,6,4,4,5,4,Aucun,2026-05-26 16:51:25
CH-00039,Human,Tethyrian,Amn,Grande Ville marchande,Desert Water Mastery,Building Infiltration | Lockpicking and Trap Disarming | Criminal Organizations | Sleight of Hand | City Secrets and Hidden Routes | Streetwise (Urban Underworld),Étiquette et protocole de cour | Folklore et légendes locales | Routes commerciales et voies marchandes | Courants politiques et rivalités,Viticulture et vinification | Brasserie et distillation | Charpenterie et travail du bois,Thorass (Alphabet Thorass),Chondathan | Cormyrian | Illuskan,-4.86,YES,Théurgique,Magie Blanche,-2,-2,0,-2,3,169.4,71.0,0,-3,-3,-1,1,0,1,-1,-4,-4,Aucun,2026-05-26 16:51:25
CH-00040,Human,Illuskan,Neverwinter,Bourg / Petite ville,Oceanic Navigation | Rope Making and Knot Mastery | Primitive Fire Mastery | Storm and Seasickness Mastery,Forgery | Disguise | Guild Knowledge | Urban Observation and Tailing,Histoire de la magie | Histoire des Royaumes Oubliés | Cultes et ordres religieux,Travail du verre et verrerie,,Chondathan | Illuskan | Reghed | Sossrim,-2.0,NO,None,,0,0,-1,-1,10,170.8,74.8,0,1,-5,3,-1,10,-1,3,2,-4,Aucun,2026-05-26 16:51:25
CH-00041,Half-elf,Wood Half-elf,High Forest,Village forestier,Plains Tracking | Forest Stealth | Primitive Fire Mastery | Advanced Tracking | Desert Water Mastery | Technical Rock Climbing,Building Climbing / Parkour | Urban Observation and Tailing,Connaissance des cités et régions majeures | Culture orc et gobelinoïde | Cultes et ordres religieux | Histoire des Royaumes Oubliés,Cuisine raffinée | Reliure de livres | Forge et métallurgie,,Chondathan | Elven High Speech | Thorass,-4.94,YES,Arcanique,Magicien,-3,-2,-3,-1,1,177.2,71.0,1,-7,1,2,-3,6,4,1,-5,1,Méditation + Immunité sommeil + VN (N1),2026-05-26 16:51:25
CH-00042,Human,Chultan,Dambrath,Village côtier / de pêcheurs,Wild Plant Foraging | Weather Reading | Desert Water Mastery,Guild Knowledge,"Interactions culturelles | Culture naine | Fêtes, calendriers et traditions | Cultes et ordres religieux | Connaissance des cités et régions majeures | Culture elfique",Cuisine raffinée | Taxidermie,,Chultan | Dambrathan | Tashalan,8.96,NO,None,,0,1,4,1,2,174.0,71.0,0,5,-2,4,4,6,6,8,6,-1,Aucun,2026-05-26 16:51:25
CH-00043,Human,Tethyrian,Baldur's Gate,Bourg / Petite ville,Wild Animal Handling,Lockpicking and Trap Disarming | Building Infiltration | City Secrets and Hidden Routes,Cultes et ordres religieux | Artefacts et reliques légendaires | Étiquette et protocole de cour | Routes commerciales et voies marchandes | Écoles et traditions magiques | Histoire de Netheril,Ébénisterie et marqueterie | Cuisine raffinée,,Druidic | Tethyrian,9.6,NO,None,,4,2,-1,1,4,175.4,83.2,1,4,-2,-1,0,9,7,8,1,-3,Aucun,2026-05-26 16:51:25
CH-00044,Human,Calishite,Amn,Grande Ville marchande,,Streetwise (Urban Underworld) | Sleight of Hand | City Secrets and Hidden Routes | Criminal Organizations,Géographie de Faerûn | Courants politiques et rivalités | Connaissance des aberrations | Royaumes et cités perdues | Religions et divinités majeures,Charpenterie et travail du bois | Teinture et coloration | Herboristerie et préparation de potions,Chondathan (Alphabet Thorass),Calishite | Chondathan | Infernal,-5.45,YES,Théurgique,Magie Blanche,-6,-5,3,-6,5,156.4,60.6,-2,-4,-5,-2,5,-2,-3,5,-3,-6,Aucun,2026-05-26 16:51:25
CH-00045,Human,Damaran,Moonsea,Ville fortifiée,Snow and Ice Shelter Building | Desert Thermal Endurance | Open Land Navigation,Forgery,Culture gnome | Noblesse et héraldique | Lois et coutumes des nations | Astronomie et navigation stellaire | Connaissance des cités et régions majeures | Folklore et légendes locales,Forge et métallurgie | Cartographie,Thorass (Alphabet Thorass) | Sylvestre (Alphabet Espruar),Damaran,-11.31,YES,Théurgique,Magie Blanche,-2,-5,-5,-6,11,170.7,78.9,0,-7,-6,-9,0,3,-3,1,-12,-9,Aucun,2026-05-26 16:51:25
CH-00046,Human,Calishite,Amn,Grande Ville marchande,,Forgery | Sleight of Hand | Noble Houses and Politics | Guild Knowledge,Étiquette et protocole de cour | Courants politiques et rivalités | Royaumes et cités perdues | Culture halfeline,Ébénisterie et marqueterie,Illuskan (Alphabet Thorass) | Mulhorandi (Alphabet Mulhorandi),Calishite | Chondathan,22.91,NO,None,,5,4,-5,5,-1,188.5,83.2,2,4,8,-1,-6,-5,8,3,1,7,Aucun,2026-05-26 16:51:25
CH-00047,Human,Damaran,Damara,Ville fortifiée,Mountain Endurance | Oceanic Navigation | Subterranean Hazard Resistance | Plains Tracking,,Culture naine | Chute de Myth Drannor | Genasi et peuples élémentaires | Royaumes et cités perdues | Mythes et légendes divines | Connaissance des fées et du Feywild,Charpenterie et travail du bois | Travail du cuir et tannerie | Comptabilité et gestion de biens,Chondathan (Alphabet Thorass),Chondathan | Damaran | Nar,14.12,NO,None,,4,3,-3,3,5,183.4,87.7,2,-1,3,6,-5,-3,1,2,0,5,Aucun,2026-05-26 16:51:25
CH-00048,Human,Tethyrian,Baldur's Gate,Ville moyenne,Confined Space Stealth | Open Land Navigation,Urban Observation and Tailing | Noble Houses and Politics | Disguise | Urban Stealth,"Fêtes, calendriers et traditions | Artefacts et reliques légendaires | Ruines et sites archéologiques majeurs",Construction navale | Herboristerie et préparation de potions | Brasserie et distillation,,Chondathan | Cormyrian | Elfique,21.22,NO,None,,4,4,3,2,-2,170.7,78.9,0,5,1,6,1,4,5,-3,6,3,Aucun,2026-05-26 16:51:25
CH-00049,Human,Chondathan,Sword Coast,Poste de commerce isolé,Savanna Plant Knowledge | Weather Reading | Coastal Survival | Advanced Tracking,Noble Houses and Politics | Black Market Operations,"Folklore et légendes locales | Écoles et traditions magiques | Races anciennes (Netheril, Imaskar...) | Théorie de la Weave",Fabrication d’armes et armures | Comptabilité et gestion de biens | Serrurerie et mécanismes,,Chondathan | Sylvestre,0.42,NO,None,,-2,-1,3,-2,9,157.7,63.9,-2,0,2,-1,3,1,0,5,0,1,Aucun,2026-05-26 16:51:25
