ID,Race,Ethnicity,Origin_Region,Settlement_Type,Total_Skills,Outdoor_Count,Urban_Count,Outdoor_Skills,Urban_Skills,Knowledge,Craft,Literacy,Bonus_Languages,Combat_Points,Magic,Magic_Type,Magic_Subtype,Grappling,Melee,Projectiles,Fencing,Skill_Modifier,Height_cm,Weight_kg,Size_Score,Balance,Quickness,Coordination,Precision,Endurance,Vigilance,Beauty,Stealth,Speed,Special,Generation_Date
CH-00011,Human,Rashemi,Aglarond,Camp de bûcherons,5,5,0,Dense Forest Orientation | Swamp Survival | Rock Climbing | Plains Tracking | Arctic Hunting,,Histoire de Netheril | Noblesse et héraldique | Culture orc et gobelinoïde | Astronomie et navigation stellaire,Forge et métallurgie | Viticulture et vinification | Fabrication de voiles et cordages,Thorass (Alphabet Thorass),Aglarondan | Rashemi | Thayan,-9.03,YES,Théurgique,Magie Verte,-5,-3,-2,-3,-1,155.0,57.5,-2,0,-2,2,-2,-3,7,-6,3,-2,Aucun,2026-05-26 11:37:40
CH-00012,Human,Chondathan,Vilhon Reach,Ville moyenne,3,1,2,Tropical Disease Resistance,Lockpicking and Trap Disarming | Building Infiltration,"Routes commerciales et voies marchandes | Cosmologie (Weave, Shadow Weave) | Géographie de Faerûn | Fêtes, calendriers et traditions | Histoire de la magie",Comptabilité et gestion de biens,Chondathan (Alphabet Thorass) | Elfique (Alphabet Espruar) | Thorass (Alphabet Thorass),Chondathan,3.0,NO,None,,1,0,1,1,10,169.5,67.4,0,3,7,-8,3,-3,-2,-6,-2,4,Aucun,2026-05-26 11:37:40
CH-00013,Human,Chondathan,Chondath,Ville moyenne,7,3,4,Open Field Orientation | Foraging and Herbalism | Deep Sea Fishing,Building Infiltration | Disguise | Building Climbing / Parkour | Criminal Organizations,"Races anciennes (Netheril, Imaskar...) | Histoire de la magie | Cultes et ordres religieux | Théorie de la Weave | Cosmologie (Weave, Shadow Weave) | Artefacts et reliques légendaires",Travail du cuir et tannerie | Céramique et poterie,Chondathan (Alphabet Thorass),Chondathan | Turmish,-1.76,NO,None,,-4,-3,3,-2,11,152.2,60.6,-2,-6,4,1,2,-1,-2,0,-3,4,Aucun,2026-05-26 11:37:40
CH-00014,Human,Illuskan,Luskan,Ville moyenne,4,1,3,Desert Survival,Noble Houses and Politics | Criminal Organizations | Urban Observation and Tailing,Cultes et ordres religieux | Géographie de Faerûn | Étiquette et protocole de cour | Routes commerciales et voies marchandes | Théorie de la Weave,Navigation (terrestre et maritime) | Travail du cuir et tannerie | Maçonnerie,Illuskan (Alphabet Thorass),Illuskan | Sossrim,-2.16,YES,Sauvage,Oracle,-1,0,-3,1,0,181.9,74.8,1,-3,0,4,-4,2,-1,-4,-1,1,Aucun,2026-05-26 11:37:40
CH-00015,Dwarf,Gold Dwarf,Great Rift,Hameau isolé,6,5,1,Snow Shelter Construction | Desert Survival | Deep Sea Fishing | Underground Navigation | Dense Forest Orientation,Disguise,"Connaissance des guildes et corporations | Géographie de Faerûn | Culture halfeline | Cosmologie (Weave, Shadow Weave) | Étiquette et protocole de cour | Connaissance des cités et régions majeures",Fabrication d’armes et armures,,Infernal | Nain,32.92,NO,None,,10,4,1,-3,-4,137.4,92.4,-4,6,1,-3,2,1,13,-4,0,0,Vision dans le noir + Robustesse naine,2026-05-26 11:37:40
CH-00016,Half-elf,Wild Half-elf,High Forest,Camp de bûcherons,6,6,0,Open Field Orientation | Mountaineering and Portage | Desert Survival | Foraging and Herbalism | Dense Forest Orientation | Snow Shelter Construction,,"Chute de Myth Drannor | Géographie de Faerûn | Culture naine | Cosmologie (Weave, Shadow Weave) | Culture orc et gobelinoïde | Histoire des Royaumes Oubliés",Comptabilité et gestion de biens | Travail de la pierre,,Chondathan | Elfique | Géant,0.0,NO,None,,-1,-1,-1,1,8,175.7,67.4,1,1,3,-3,0,4,2,-3,-1,2,Méditation + Immunité sommeil + VN (N1),2026-05-26 11:37:40
CH-00017,Human,Tethyrian,Tethyr,Village rural,5,4,1,Plains Tracking | Deep Sea Fishing | Forest Stealth | Coastal Survival,Noble Houses and Politics,Histoire des Royaumes Oubliés | Histoire de la magie | Cultes et ordres religieux | Connaissance des cités et régions majeures,Fabrication de chandelles et savon | Cuisine raffinée,Chondathan (Alphabet Thorass),Chondathan | Cormyrian,12.63,NO,None,,-1,0,7,-2,8,169.2,78.9,0,-3,-6,8,6,5,-4,4,1,-4,Aucun,2026-05-26 11:37:40
CH-00018,Human,Chondathan,Western Heartlands,Ville moyenne,7,3,4,Foraging and Herbalism | Underground Navigation | Swamp Survival,Forgery | Black Market Operations | Streetwise (Urban Underworld) | Noble Houses and Politics,Histoire des Royaumes Oubliés | Histoire de la magie | Routes commerciales et voies marchandes | Connaissance des fées et du Feywild | Géographie de Faerûn | Connaissance des guildes et corporations,Forge et métallurgie | Parfumerie et cosmétique | Apiculture,Chondathan (Alphabet Thorass) | Tuigan (Alphabet Tuigan) | Thorass (Alphabet Thorass),Chondathan | Sylvestre,-6.88,YES,Théurgique,Magie Blanche,-4,-2,-1,-2,2,169.5,63.9,0,0,-6,4,-1,3,-3,-1,3,-5,Aucun,2026-05-26 11:37:40
CH-00019,Other,Dragonborn,Le Nord (The North),Hameau isolé,5,4,1,Maritime Navigation | Mountain Navigation | Coastal Survival | Forest Stealth,City Secrets and Hidden Routes,Mythes et légendes divines | Noblesse et héraldique | Connaissance des cités et régions majeures | Astronomie et navigation stellaire | Religions et divinités majeures | Étiquette et protocole de cour | Culture naine,Calligraphie et enluminure,Draconique (Alphabet Iokharic) | Cormyrian (Alphabet Thorass),Draconique,16.98,NO,None,,3,3,3,1,2,157.5,74.8,-2,1,3,9,0,-1,-2,0,5,6,Souffle draconique,2026-05-26 11:37:40
CH-00020,Half-elf,Sea Half-elf,Moonshae Isles,Village côtier / de pêcheurs,6,5,1,Maritime Navigation | Deep Sea Fishing | Forest Stealth | Swimming | Tracking and Hunting,Noble Houses and Politics,Connaissance des dragons | Théorie de la Weave | Culture elfique | Écoles et traditions magiques | Étiquette et protocole de cour | Culture gnome,Conserverie et salaison,,Chondathan | Illuskan | Moonshae,-11.85,YES,Arcanique,Magicien,-5,-5,-9,-6,5,162.0,67.4,-1,-5,-8,-2,-6,11,3,2,-5,-9,Respiration aquatique,2026-05-26 11:37:40
CH-00021,Human,Mulan,Thay,Capitale / Grande Métropole,3,0,3,,Streetwise (Urban Underworld) | Black Market Operations | Urban Stealth,Folklore et légendes locales | Connaissance des cités et régions majeures | Noblesse et héraldique | Culture halfeline | Lois et coutumes des nations,Brasserie et distillation | Joaillerie et orfèvrerie,Mulhorandi (Alphabet Mulhorandi) | Shou (Idéogrammes Shou) | Céleste (Alphabet Céleste),Mulhorandi | Thayan,26.21,NO,None,,4,4,0,6,-1,177.0,74.8,1,-1,15,2,-3,6,-1,-5,-1,15,Aucun,2026-05-26 11:37:40
CH-00022,Human,Illuskan,Sword Coast,Port de contrebande,5,3,2,Coastal Survival | Forest Stealth | Maritime Navigation,City Secrets and Hidden Routes | Disguise,Histoire des Royaumes Oubliés | Histoire de la magie | Noblesse et héraldique | Étiquette et protocole de cour,Reliure de livres | Joaillerie et orfèvrerie,,Chondathan | Illuskan,47.93,NO,None,,10,6,1,5,-2,196.8,102.7,3,7,4,-4,2,-2,-1,3,-1,2,Aucun,2026-05-26 11:37:40
CH-00023,Human,Tethyrian,Sword Coast,Grande Ville portuaire,7,2,5,Swamp Survival | Mountaineering and Portage,Urban Stealth | Sleight of Hand | Lockpicking and Trap Disarming | Disguise | Urban Observation and Tailing,Géographie de Faerûn | Histoire des Royaumes Oubliés | Ruines et sites archéologiques majeurs | Histoire de la magie,Forge et métallurgie | Travail du cuir et tannerie,Thorass (Alphabet Thorass) | Chultan (Pictogrammes Chultans) | Chondathan (Alphabet Thorass),Chondathan | Sembian | Tethyrian | Thorass,1.16,NO,None,,4,-1,-4,-3,16,175.2,92.4,1,-1,-5,-6,-1,1,-4,-1,-7,-7,Aucun,2026-05-26 11:37:40
CH-00024,Dwarf,Shield Dwarf,Citadel Adbar,Forteresse naine / Enclave naine,4,4,0,Forest Stealth | Underground Navigation | Mountain Navigation | Snow Shelter Construction,,Artefacts et reliques légendaires | Religions et divinités majeures | Astronomie et navigation stellaire | Noblesse et héraldique,Apiculture | Herboristerie et préparation de potions,,Nain | Undercommon,21.88,NO,None,,8,3,-1,-3,2,147.6,92.4,-3,2,2,-2,0,1,7,-4,-3,1,Vision dans le noir + Robustesse naine,2026-05-26 11:37:40
CH-00025,Human,Netherese,Anauroch,Poste de commerce isolé,5,5,0,Coastal Survival | Underground Stealth | Maritime Navigation | Rock Climbing | Foraging and Herbalism,,Connaissance des guildes et corporations | Culture gnome | Ruines et sites archéologiques majeurs,Architecture | Reliure de livres,,Netherese,24.44,NO,None,,4,4,1,5,0,181.9,74.8,1,5,10,-1,0,-2,1,4,2,9,Aucun,2026-05-26 11:37:40
CH-00026,Human,Chondathan,The Dalelands,Village rural,7,6,1,Swamp Survival | Dense Forest Orientation | Forest Stealth | Tracking and Hunting | Deep Sea Fishing | Coastal Survival,Sleight of Hand,"Fêtes, calendriers et traditions | Géographie de Faerûn | Religions et divinités majeures | Mythes et légendes divines",Brasserie et distillation,Chondathan (Alphabet Thorass),Chondathan | Thorass,14.6,NO,None,,3,2,2,3,5,185.2,74.8,2,11,-2,-4,4,-4,1,4,5,-4,Aucun,2026-05-26 11:37:40
CH-00027,Human,Calishite,Amn,Bourg / Petite ville,6,3,3,Plains Tracking | Desert Survival | Underground Navigation,Disguise | Lockpicking and Trap Disarming | Streetwise (Urban Underworld),"Fêtes, calendriers et traditions | Connaissance des fées et du Feywild | Interactions culturelles",Cartographie | Navigation (terrestre et maritime),Mulhorandi (Alphabet Mulhorandi),Calishite | Chessentan | Chondathan | Illuskan,14.26,NO,None,,0,2,4,3,1,177.2,71.0,1,4,0,6,2,9,1,4,6,2,Aucun,2026-05-26 11:37:40
CH-00028,Dwarf,Shield Dwarf,Silver Marches (Luruar),Village forestier,4,4,0,Mountain Navigation | Swimming | Mountaineering and Portage | Extreme Cold Resistance,,Routes commerciales et voies marchandes | Théorie de la Weave | Religions et divinités majeures | Histoire de Netheril | Culture naine | Spellplague et ses conséquences | Folklore et légendes locales,Fabrication d’armes et armures,Illuskan (Alphabet Thorass) | Draconique (Alphabet Iokharic),Illuskan | Nain | Reghed,1.41,NO,None,,0,-3,3,-5,10,146.6,74.8,-3,-9,2,-1,3,11,3,-9,-9,1,Vision dans le noir + Robustesse naine,2026-05-26 11:37:40
CH-00029,Gnome,Rock Gnome,Impiltur,Bourg / Petite ville,7,4,3,Deep Sea Fishing | Maritime Navigation | Swimming | Arctic Hunting,Disguise | Forgery | Criminal Organizations,Noblesse et héraldique | Histoire de la magie | Interactions culturelles | Routes commerciales et voies marchandes | Connaissance des cités et régions majeures | Religions et divinités majeures,Forge et métallurgie | Reliure de livres,Chondathan (Alphabet Thorass) | Illuskan (Alphabet Thorass),Chondathan | Elfique | Thorass,-6.61,YES,Théurgique,Magie Blanche,-17,-7,4,-7,-5,111.8,27.5,-9,1,0,10,1,-2,-3,-4,15,3,Vision nocturne N1,2026-05-26 11:37:40
CH-00030,Human,Illuskan,Sword Coast,Village lacustre / sur pilotis,4,4,0,Underground Navigation | Building Infiltration | Swimming | Urban Stealth,,Histoire d’Imaskar | Noblesse et héraldique | Folklore et légendes locales,Serrurerie et mécanismes | Travail du cuir et tannerie | Reliure de livres,,Chondathan | Illuskan | Sossrim,4.64,NO,None,,0,1,2,1,5,169.4,71.0,0,-1,3,6,0,-1,3,-4,2,5,Aucun,2026-05-26 11:37:40
CH-00031,Human,Calishite,Calimshan,Grande Ville marchande,5,1,4,Snow Shelter Construction,Fences and Buyers Network | Building Infiltration | Noble Houses and Politics | Sleight of Hand,"Royaumes et cités perdues | Folklore et légendes locales | Fêtes, calendriers et traditions | Connaissance des cités et régions majeures | Noblesse et héraldique",Serrurerie et mécanismes | Cuisine raffinée,,Chondathan | Mulhorandi | Tashalan,-8.04,YES,Arcanique,Magicien,-4,-3,-2,-2,3,160.7,57.5,-1,0,2,-5,0,5,-4,4,-1,0,Aucun,2026-05-26 11:37:40
CH-00032,Half-elf,Wood Half-elf,Silver Marches (Luruar),Poste de commerce isolé,6,5,1,Foraging and Herbalism | Mountaineering and Portage | Underground Navigation | Dense Forest Orientation | Tracking and Hunting,Sleight of Hand,"Connaissance des organisations secrètes | Géographie de Faerûn | Chute de Myth Drannor | Religions et divinités majeures | Routes commerciales et voies marchandes | Cosmologie (Weave, Shadow Weave)",Travail du cuir et tannerie | Charpenterie et travail du bois,,Chondathan | Illuskan | Reghed,11.32,NO,None,,2,3,-4,3,1,172.4,71.0,0,2,7,4,-6,3,3,1,4,8,Méditation + Immunité sommeil + VN (N1),2026-05-26 11:37:40
CH-00033,Half-elf,Moon Half-elf,Waterdeep,Ville moyenne,3,1,2,Urban Stealth,Forgery | Fences and Buyers Network,Histoire des Royaumes Oubliés | Géographie de Faerûn | Mythes et légendes divines | Interactions culturelles | Ruines et sites archéologiques majeurs | Folklore et légendes locales,Maçonnerie | Fabrication de chandelles et savon,,Chondathan,-4.42,YES,Arcanique,Magicien,-2,-4,0,-3,4,188.5,78.9,2,-8,-2,-7,3,-1,9,11,-12,-5,Méditation + Immunité sommeil + VN (N1),2026-05-26 11:37:40
CH-00034,Human,Chondathan,Chondath,Village côtier / de pêcheurs,6,6,0,Coastal Survival | Maritime Navigation | Tropical Disease Resistance | Deep Sea Fishing | Forest Stealth | Swimming,,Théorie de la Weave | Courants politiques et rivalités | Mythes et légendes divines | Lois et coutumes des nations,Sculpture sur pierre et bois,Chondathan (Alphabet Thorass),Chondathan | Illuskan | Infernal,16.9,NO,None,,2,2,3,4,4,193.6,83.2,3,-2,4,2,2,2,3,-2,-2,4,Aucun,2026-05-26 11:37:40
CH-00035,Human,Calishite,Amn,Bourg / Petite ville,7,3,4,Deep Sea Fishing | Swamp Survival | Mountain Navigation,Lockpicking and Trap Disarming | Urban Stealth | Building Infiltration | Fences and Buyers Network,Mythes et légendes divines | Ruines et sites archéologiques majeurs,Comptabilité et gestion de biens | Apiculture,,Chessentan | Mulhorandi | Sembian,10.07,NO,None,,5,2,-5,1,6,186.5,97.4,2,1,-3,2,-5,4,6,5,-2,-3,Aucun,2026-05-26 11:37:40
CH-00036,Human,Tethyrian,Amn,Port de contrebande,4,3,1,Plains Tracking | Open Field Orientation | Rock Climbing,Building Infiltration,"Astronomie et navigation stellaire | Routes commerciales et voies marchandes | Théorie de la Weave | Races anciennes (Netheril, Imaskar...) | Connaissance des organisations secrètes | Écoles et traditions magiques | Culture elfique",Architecture,Chondathan (Alphabet Thorass),Chondathan | Elfique | Tethyrian,24.71,NO,None,,7,4,-3,3,1,191.6,97.4,2,4,1,1,-3,3,4,3,0,1,Aucun,2026-05-26 11:37:40
CH-00037,Human,Damaran,Moonsea,Ville fortifiée,6,6,0,Rock Climbing | Foraging and Herbalism | Maritime Navigation | Swimming | Tracking and Hunting | Arctic Hunting,,Folklore et légendes locales | Connaissance des dragons | Genasi et peuples élémentaires,Navigation (terrestre et maritime) | Apiculture,,Chondathan | Damaran | Illuskan,9.52,NO,None,,5,1,0,-1,14,189.8,102.7,2,1,-6,-4,3,3,-6,1,-6,-8,Aucun,2026-05-26 11:37:40
CH-00038,Elf,Elf Wild,The Thunder Peaks,Hameau isolé,7,6,1,Underground Navigation | Arctic Hunting | Rock Climbing | Tracking and Hunting | Coastal Survival | Snow Shelter Construction,Building Infiltration,"Culture elfique | Royaumes et cités perdues | Fêtes, calendriers et traditions | Théorie de la Weave",Comptabilité et gestion de biens | Maçonnerie | Ébénisterie et marqueterie,,Elfique | Illuskan,34.2,NO,None,,5,5,2,5,-5,170.9,71.0,0,11,8,-2,2,0,3,-6,7,7,Transe + Immunité sommeil + VN (N2),2026-05-26 11:37:40
CH-00039,Human,Illuskan,Spine of the World,Camp de bûcherons,4,4,0,Deep Sea Fishing | Underground Navigation | Maritime Navigation | Snow Shelter Construction,,Courants politiques et rivalités | Écoles et traditions magiques | Histoire de Netheril | Connaissance des cités et régions majeures | Noblesse et héraldique | Genasi et peuples élémentaires | Interactions culturelles,Brasserie et distillation | Viticulture et vinification,,Illuskan,-5.86,YES,Théurgique,Magie Blanche,-2,-1,-2,-2,-1,163.5,67.4,-1,1,-4,2,-1,8,3,5,2,-4,Aucun,2026-05-26 11:37:40
CH-00040,Human,Tethyrian,Tethyr,Village rural,6,5,1,Maritime Navigation | Tropical Disease Resistance | Arctic Hunting | Swamp Survival | Foraging and Herbalism,Fences and Buyers Network,"Histoire des Royaumes Oubliés | Fêtes, calendriers et traditions | Théorie de la Weave | Lois et coutumes des nations",Calligraphie et enluminure | Serrurerie et mécanismes,,Chondathan | Halruaan | Tethyrian,-5.87,YES,Arcanique,Magicien,-5,-3,1,-2,1,147.1,51.8,-3,1,5,-3,1,2,-5,1,2,4,Aucun,2026-05-26 11:37:40
CH-00041,Human,Calishite,Calimshan,Capitale / Grande Métropole,7,2,5,Open Field Orientation | Deep Sea Fishing,Guild Knowledge | Lockpicking and Trap Disarming | Building Climbing / Parkour | Sleight of Hand | Urban Observation and Tailing,Étiquette et protocole de cour | Artefacts et reliques légendaires | Écoles et traditions magiques | Lois et coutumes des nations | Théorie de la Weave | Culture elfique | Connaissance des cités et régions majeures,Architecture | Brasserie et distillation,Chondathan (Alphabet Thorass),Chondathan | Mulhorandi,-1.0,NO,None,,1,0,-1,-1,16,173.7,87.7,0,-7,-1,6,-2,-5,-9,4,-5,1,Aucun,2026-05-26 11:37:40
CH-00042,Human,Tethyrian,Sword Coast,Village côtier / de pêcheurs,6,5,1,Arctic Hunting | Extreme Cold Resistance | Forest Stealth | Snow Shelter Construction | Maritime Navigation,Black Market Operations,"Histoire de la magie | Fêtes, calendriers et traditions | Spellplague et ses conséquences | Mythes et légendes divines",Forge et métallurgie | Apiculture | Charpenterie et travail du bois,,Chondathan | Sembian | Thorass,-6.71,YES,Sauvage,Sorcellerie,-5,-2,-1,-1,0,166.5,60.6,0,-3,0,3,-2,9,0,-4,0,1,Aucun,2026-05-26 11:37:40
CH-00043,Human,Illuskan,Spine of the World,Hameau isolé,6,5,1,Coastal Survival | Deep Sea Fishing | Plains Tracking | Swamp Survival | Underground Navigation,Fences and Buyers Network,Connaissance des organisations secrètes | Culture halfeline | Routes commerciales et voies marchandes | Culture gnome | Lois et coutumes des nations | Connaissance des cités et régions majeures,Apiculture,Illuskan (Alphabet Thorass),Illuskan | Reghed | Sossrim,9.3,NO,None,,1,2,1,3,1,180.3,74.8,1,-2,5,6,-2,9,7,4,1,7,Aucun,2026-05-26 11:37:40
CH-00044,Human,Tethyrian,Western Heartlands,Ville moyenne,5,2,3,Forest Stealth | Plains Tracking,Lockpicking and Trap Disarming | Streetwise (Urban Underworld) | Noble Houses and Politics,Géographie de Faerûn | Histoire de la magie | Connaissance des cités et régions majeures | Culture gnome,Viticulture et vinification | Travail de l’os et de l’ivoire | Maçonnerie,,Chondathan,10.08,NO,None,,4,2,-3,2,3,178.5,87.7,1,-1,2,3,-4,4,8,-5,-1,3,Aucun,2026-05-26 11:37:40
CH-00045,Human,Tethyrian,Amn,Ville moyenne,7,4,3,Forest Stealth | Tracking and Hunting | Plains Tracking | Tropical Disease Resistance,Lockpicking and Trap Disarming | Fences and Buyers Network | Black Market Operations,"Culture elfique | Connaissance des guildes et corporations | Cosmologie (Weave, Shadow Weave) | Noblesse et héraldique",Maçonnerie,Chondathan (Alphabet Thorass),Chondathan | Elfique | Illuskan,-0.66,NO,None,,3,-1,-3,-3,15,173.7,87.7,0,-2,-3,-6,0,-3,1,5,-8,-5,Aucun,2026-05-26 11:37:40
CH-00046,Human,Illuskan,Sword Coast,Village côtier / de pêcheurs,7,5,2,Coastal Survival | Swimming | Tracking and Hunting | Underground Stealth | Building Infiltration,Urban Observation and Tailing | Sleight of Hand,Connaissance des organisations secrètes | Écoles et traditions magiques | Connaissance des guildes et corporations | Culture elfique,Comptabilité et gestion de biens | Ébénisterie et marqueterie | Cartographie,Chondathan (Alphabet Thorass),Chondathan | Illuskan | Thorass,-11.43,YES,Arcanique,Magicien,-5,-5,-3,-5,6,165.0,63.9,-1,-3,-7,-4,0,0,3,0,-4,-9,Aucun,2026-05-26 11:37:40
CH-00047,Human,Calishite,Tethyr,Bourg / Petite ville,5,3,2,Mountaineering and Portage | Underground Navigation | Coastal Survival,Forgery | Building Infiltration,Interactions culturelles | Lois et coutumes des nations | Routes commerciales et voies marchandes | Culture gnome | Étiquette et protocole de cour | Noblesse et héraldique | Théorie de la Weave,Fabrication de teintures rares | Architecture,Thorass (Alphabet Thorass),Chondathan | Mulhorandi,18.59,NO,None,,6,3,-1,2,7,175.2,92.4,1,0,4,-1,-1,-3,-1,11,-4,3,Aucun,2026-05-26 11:37:40
CH-00048,Human,Chondathan,Western Heartlands,Village rural,7,5,2,Tracking and Hunting | Coastal Survival | Underground Stealth | Plains Tracking | Foraging and Herbalism,Black Market Operations | Fences and Buyers Network,"Cosmologie (Weave, Shadow Weave) | Géographie de Faerûn | Artefacts et reliques légendaires | Lois et coutumes des nations | Courants politiques et rivalités | Royaumes et cités perdues",Tissage et filage | Comptabilité et gestion de biens | Maçonnerie,Chondathan (Alphabet Thorass),Chondathan | Illuskan | Turmish,17.82,NO,None,,7,3,-5,1,8,189.8,102.7,2,4,-3,-5,-2,3,1,4,-4,-5,Aucun,2026-05-26 11:37:40
