ID,Race,Ethnicity,Origin_Region,Settlement_Type,Equipment_Group,Outdoor_Skills,Urban_Skills,Knowledge,Craft,Literacy,Spoken_Languages,Starting_Capital,Starting_Equipment_Cost_BP,Starting_Equipment_Kit_Type,Final_Pocket_Money_BP,Armes_et_Bouclier,Armure,Monture_et_Reste,Combat_Points,Magic,Magic_Type,Magic_Subtype,Grappling,Melee,Projectiles,Fencing,Skill_Modifier,Height_cm,Weight_kg,Size_Score,Balance,Quickness,Coordination,Precision,Endurance,Vigilance,Beauty,Stealth,Speed,Special,Generation_Date
CH-00011,Human,Tethyrian,Amn,Isolated Farmstead,Groupe2_Sud_Marchand,Forest Stealth | Wild Plant Foraging | Desert Thermal Endurance | Open Land Navigation | Desert Water Mastery,,Laws & Customs of Nations | History of Imaskar,Herbalism & Potion Brewing | Carpentry & Woodworking,Thorass,Chondathan | Sembian | Tethyrian,86,293.4,universal_standard,0,Target Shield + Composite Bow + Arming Sword + Dagger + Knife,Jack of Plates (6) + Arming Doublet (12) + Armet (8) + Besagews (2) + Gorget (8),Aucun,36.74,NO,None,,6,5,6,2,-1,180.0,92.4,1,5,-2,7,5,3,-4,10,5,0,Aucun,2026-05-31 23:57:03
CH-00012,Dwarf,Gold Dwarf,Mithral Hall,Mountain Village,Groupe6_Bloc_Nain,Advanced Tracking | Snow and Ice Shelter Building | Mountain Endurance,Black Market Operations,Nobility & Heraldry | Major Religions & Deities | Geography of Faerûn,Locksmithing & Mechanisms | Masonry | Smithing & Metallurgy,Nain,Nain,40,293.4,universal_standard,0,Brocchiere + Halberd + Arming Sword + Dagger + Knife,Aucune,Aucun,-9.16,YES,Théurgique,Magie Verte,0,-4,-6,-10,4,121.5,63.9,-7,0,-3,-8,-2,5,1,2,-4,-6,Vision dans le noir + Robustesse naine,2026-05-31 23:57:03
CH-00013,Human,Calishite,Calimshan,Metropolis,Groupe2_Sud_Marchand,,Urban Observation and Tailing | Forgery of Documents & Seals | Fences and Buyers Network | Poison Lore & Subtle Application | Disguise & Impersonation,Local Folklore & Legends | Guilds & Organizations | Nobility & Heraldry | Spellplague & Its Aftermath,Masonry,Chondathan | Calishite,Calishite | Chondathan | Tashalan,230,293.4,universal_standard,120,Target Shield + Composite Bow + Arming Sword + Dagger + Knife,HARNOIS DE JOUTE ROYALE : Tournament Helmet (30) + Breastplate/Backplate (renf) (22) + Bras (renf) (22) + Jambes (renf) (21) + Accessoires de Lice (73),Aucun,0.0,NO,None,,-4,0,2,0,0,147.1,51.8,-3,5,3,7,0,-1,9,-2,11,5,Aucun,2026-05-31 23:57:03
CH-00014,Human,Sossrim,Vaasa,Large Town,Groupe5_Nord_Sauvage,Extreme Cold Resistance | Arctic Hunting | Rope Making and Knot Mastery,Streetwise (Urban Underworld) | Streetwise (Urban Underworld) | Streetwise (Urban Underworld) | Sleight of Hand & Cheating,Astronomy & Star Navigation | Lost Kingdoms & Cities,Smithing & Metallurgy | Calligraphy & Illumination | Exotic Herbalism,None,Chondathan | Illuskan | Nar,43,293.4,universal_standard,0,Target Shield + Longbow + Arming Sword + Dagger + Knife,Aucune,Aucun,16.57,NO,None,,6,2,-1,2,8,200.4,102.7,3,-3,4,-4,0,-5,4,1,-9,2,Aucun,2026-05-31 23:57:03
CH-00015,Human,Calishite,Tethyr,Large Town,Groupe2_Sud_Marchand,Wild Plant Foraging | Weather Reading,Urban Observation and Tailing | Disguise & Impersonation | Urban Stealth & Shadowing,"Festivals, Calendars & Traditions | Elven Culture | Divine Myths & Legends | Major Religions & Deities",Cabinetmaking & Marquetry,Chondathan | Mulhorandi,Chondathan | Halruaan | Mulhorandi | Thorass,99,293.4,universal_standard,5,Target Shield + Composite Bow + Arming Sword + Dagger + Knife,Mail Coat [32] + Aketon [2] + Bascinet [5] + Besagews [2] + Gorget [7.5],Aucun,18.92,NO,None,,3,3,4,2,3,180.1,87.7,1,-3,2,9,1,4,1,3,0,5,Aucun,2026-05-31 23:57:03
CH-00016,Other,Lizardfolk,Chult,Frontier Colony,Groupe3_Coeur_Continental,Wild Plant Foraging | Marsh Movement | Dark Water Swimming | Marsh Disease Resistance | Forest Stealth,,Gnomish Culture | Political Currents & Rivalries | Laws & Customs of Nations,Bookbinding | Smithing & Metallurgy | Exotic Herbalism,Shaaran,Chultan | Draconique | Shaaran,28,293.4,universal_standard,5,Small Buckler + Short Bow + Heavy Crossbow + Knife,Aucune,Aucun,48.3,NO,None,,10,5,5,2,-2,189.6,120.3,2,-1,0,4,4,9,-1,1,-4,1,Morsure + Résistance,2026-05-31 23:57:03
CH-00017,Halfling,Strongheart Halfling,The Dalelands,Rural Village,Groupe3_Coeur_Continental,Plains Tracking | Complex Terrain Navigation | Advanced Tracking | Wild Plant Foraging | Marsh Disease Resistance,,Laws & Customs of Nations | Geography of Faerûn | Political Currents & Rivalries,Stoneworking,Chondathan,Chondathan,50,293.4,universal_standard,0,Target Shield + Composite Bow + Arming Sword + Dagger + Knife,Aucune,Aucun,-1.3,NO,None,,-20,-8,6,-3,-1,124.6,24.7,-6,-3,7,10,2,2,5,7,13,10,Robustesse,2026-05-31 23:57:03
CH-00018,Halfling,Strongheart Halfling,Luiren,Logging Camp,Groupe3_Coeur_Continental,Wild Plant Foraging | Plains Tracking | Complex Terrain Navigation | Primitive Fire Mastery | Forest Stealth | Advanced Tracking,Poison Lore & Subtle Application,Halfling Culture | Secret Organizations | Fall of Myth Drannor,Ceramics & Pottery | Carpentry & Woodworking,Chondathan,Chondathan | Druidic,49,293.4,universal_standard,0,Brocchiere + Lucerne Hammer + Rapier + Main-gauche,Aucune,Aucun,4.18,NO,None,,-14,-5,7,-4,-1,119.1,29.0,-7,8,2,2,6,-7,7,4,16,2,Robustesse,2026-05-31 23:57:03
CH-00019,Human,Chondathan,Vilhon Reach,Remote Trading Post,Groupe4_Vilhon_Est,Plains Tracking | Weather Reading | Open Land Navigation | Wetland Tracking | Advanced Tracking | Game Butchering and Preservation,Sleight of Hand & Cheating,"Festivals, Calendars & Traditions | History of the Realms | Trade Routes & Commerce | Cosmology (Weave, Shadow Weave)",Glassworking,Cormyrian | Thorass,Chondathan | Cormyrian,75,293.4,universal_standard,5,Target Shield + Composite Bow + Arming Sword + Dagger + Knife,Breastplate/Backplate (9) + Aketon (2) + Sallet (4) + Besagews (2) + Gorget (7.5),Aucun,-13.08,YES,Arcanique,Magicien,-8,-4,-6,-4,3,156.6,51.8,-2,2,-6,2,-5,-2,-2,1,5,-6,Aucun,2026-05-31 23:57:03
CH-00020,Human,Calishite,Calimshan,Major Trade City,Groupe2_Sud_Marchand,,Criminal Organizations & Syndicates | Disguise & Impersonation | Information Brokerage | Sleight of Hand & Cheating | City Secrets & Hidden Routes,Nobility & Heraldry | Major Cities & Regions | Geography of Faerûn | Political Currents & Rivalries,Jewelry & Goldsmithing,Chondathan | Mulhorandi,Chondathan | Lantanna | Mulhorandi,180,293.4,universal_standard,20,Target Shield + Composite Bow + Arming Sword + Dagger + Knife,HARNOIS DE BRÈCHE DE WATERDEEP : Mail Coat (32) + Breastplate/Backplate (renf) (22) + Bras (renf) (22) + Jambes (renf) (21) + Great Bascinet (14) + Gorget (renf) (4) + Besagews (3) + Plackart (10),Aucun,-9.45,YES,Théurgique,Magie Blanche,-2,-3,-6,-3,5,173.8,78.9,0,-8,-2,0,-5,4,2,2,-8,-2,Aucun,2026-05-31 23:57:03
CH-00021,Human,Tethyrian,Sword Coast,Lake Village,Groupe1_Cote_des_Epees,Forest Stealth | Advanced Tracking | Total Darkness Navigation | Littoral Foraging | Marsh Disease Resistance | Wild Plant Foraging,Noble Houses & Court Intrigue,Weave Theory | Laws & Customs of Nations | Local Folklore & Legends,Smithing & Metallurgy | Ritual Object Crafting | Sail & Rope Making,Tethyrian,Chondathan | Tethyrian | Thorass,64,293.4,universal_standard,0,Target Shield + Composite Bow + Arming Sword + Dagger + Knife,Jack of Plates (6) + Bascinet (5) + Besagews (1) + Gorget (2),Aucun,7.96,NO,None,,-1,1,4,1,2,157.9,57.5,-2,2,11,-1,3,-2,3,-2,3,10,Aucun,2026-05-31 23:57:03
CH-00022,Human,Tethyrian,Amn,Caravan Oasis,Groupe2_Sud_Marchand,Desert Water Mastery | Open Land Navigation | Desert Thermal Endurance | Advanced Tracking | Forest Stealth | Wild Plant Foraging,Urban Stealth & Shadowing | Disguise & Impersonation,Major Religions & Deities | Trade Routes & Commerce | Spellplague & Its Aftermath,Smithing & Metallurgy | Leatherworking & Tanning,Thorass,Chondathan | Elfique | Sembian | Tethyrian | Thorass,86,293.4,universal_standard,0,Target Shield + Composite Bow + Arming Sword + Dagger + Knife,Jack of Plates (6) + Arming Doublet (12) + Armet (8) + Besagews (2) + Gorget (8),Aucun,2.5,NO,None,,1,-1,3,-3,11,173.8,78.9,0,3,-5,-7,7,0,4,-7,-3,-8,Aucun,2026-05-31 23:57:03
CH-00023,Human,Damaran,Damara,Mountain Village,Groupe5_Nord_Sauvage,Extreme Cold Resistance | Complex Terrain Navigation | Littoral Foraging | Hermetic Medicine | Mountain Endurance,,History of the Realms | History of Netheril | Nobility & Heraldry | Political Currents & Rivalries,Animal Husbandry & Training,Chondathan | Vaasan,Chondathan | Illuskan | Vaasan,37,293.4,universal_standard,0,Brocchiere + Lucerne Hammer + Rapier + Main-gauche + Knife,Aucune,Aucun,-5.6,YES,Sauvage,Magie Rouge,-10,-5,3,-3,0,156.6,51.8,-2,-9,-1,11,0,0,-2,4,2,2,Aucun,2026-05-31 23:57:03
CH-00024,Dwarf,Gold Dwarf,Great Rift,Dwarven Fortress,Groupe6_Bloc_Nain,Technical Rock Climbing | Complex Terrain Navigation | Underground Navigation,Streetwise (Urban Underworld) | Urban Stealth & Shadowing | Guild Knowledge & Politics,Geography of Faerûn | Religious Cults & Orders | Dwarven Culture,Masonry | Brewing & Distilling | Calligraphy & Illumination,Chondathan,Chondathan | Nain,54,293.4,universal_standard,0,Target Shield + Composite Bow + Arming Sword + Dagger + Knife,Aketon (2) + Cervelière (2),Aucun,11.54,NO,None,,5,2,-1,-2,1,138.9,74.8,-4,5,2,1,-1,5,7,5,4,2,Vision dans le noir + Robustesse naine,2026-05-31 23:57:03
CH-00025,Human,Damaran,Damara,Isolated Farmstead,Groupe5_Nord_Sauvage,Mountain Endurance | Technical Rock Climbing | Hermetic Medicine | Extreme Cold Resistance,Urban Observation and Tailing | Streetwise (Urban Underworld),"Cosmology (Weave, Shadow Weave) | Local Folklore & Legends | History of Magic",Heraldry & Lineage | Cooking (Fine Cuisine),Nar,Chondathan | Nar,38,293.4,universal_standard,0,Target Shield + Heavy Crossbow + Arming Sword + Dagger,Aucune,Aucun,-2.07,YES,Arcanique,Magicien,2,0,-5,-2,6,181.7,87.7,1,2,-8,-2,-2,-5,-4,0,-2,-9,Aucun,2026-05-31 23:57:03
CH-00026,Halfling,Lightfoot Halfling,Luiren,Logging Camp,Groupe3_Coeur_Continental,Plains Tracking | Wild Plant Foraging | Primitive Fire Mastery,Information Brokerage | Black Market Operations,Geography of Faerûn | Religious Cults & Orders | Legendary Artifacts & Relics | Laws & Customs of Nations,Cooking (Fine Cuisine) | Engraving on Metal & Gems | Beekeeping,Druidic | Chondathan,Chondathan | Druidic | Luiren,54,293.4,universal_standard,0,Target Shield + Composite Bow + Arming Sword + Dagger + Knife,Aketon (2) + Cervelière (2),Aucun,12.1,NO,None,,-9,-2,8,-1,1,132.3,37.7,-5,2,9,7,4,5,-8,11,11,11,Furtivité,2026-05-31 23:57:03
CH-00027,Elf,Wood Elf,Cormanthor,Forest Village,Groupe3_Coeur_Continental,Complex Terrain Navigation | Wild Plant Foraging | Forest Stealth | Advanced Tracking | Primitive Fire Mastery,,Astronomy & Star Navigation | Elven Culture | Geography of Faerûn,Cooking (Fine Cuisine) | Weaving & Spinning,Druidic,Druidic | Elfique,40,293.4,universal_standard,0,Brocchiere + Halberd + Arming Sword + Dagger + Knife,Aucune,Aucun,2.4,NO,None,,-4,-2,3,-1,9,169.5,63.9,0,1,-5,3,3,-3,0,0,3,-4,Transe + Immunité sommeil + VN (N2),2026-05-31 23:57:03
CH-00028,Human,Mulan,Old Empires,Military Outpost,Groupe12_Old_Empires,Extreme Cold Resistance | Complex Terrain Navigation | Marsh Disease Resistance | Mountain Endurance,Urban Stealth & Shadowing,Halfling Culture | Geography of Faerûn | Major Cities & Regions,Accounting & Estate Management | Weaving & Spinning | Fireworks Making,Infernal,Infernal | Mulhorandi | Thayan,54,293.4,universal_standard,0,Target Shield + Composite Bow + Arming Sword + Dagger + Knife,Aketon (2) + Cervelière (2),Aucun,-6.96,YES,Arcanique,Magicien,0,-3,-3,-4,7,164.7,74.8,-1,0,-3,-10,1,-1,0,2,-7,-7,Aucun,2026-05-31 23:57:03
CH-00029,Human,Calishite,Calimshan,Major Trade City,Groupe2_Sud_Marchand,Wild Plant Foraging,Information Brokerage | Disguise & Impersonation | Criminal Organizations & Syndicates | Sleight of Hand & Cheating,Political Currents & Rivalries | Major Religions & Deities | Major Cities & Regions | Trade Routes & Commerce,Candle & Soap Making | Ceramics & Pottery,Tashalan | Thorass,Calishite | Chondathan | Tashalan,186,293.4,universal_standard,0,Target Shield + Composite Bow + Arming Sword + Dagger + Knife,Harnois de Brèche (128) + Plackart (2.5) + Tassets longs (3) + Sabatons larges (2.5),Aucun,7.3,NO,None,,3,2,-1,1,9,181.7,87.7,1,-2,-1,6,-2,-8,-2,3,-1,1,Aucun,2026-05-31 23:57:03
CH-00030,Human,Chondathan,Vilhon Reach,Large Town,Groupe4_Vilhon_Est,Advanced Tracking | Open Land Navigation,Sleight of Hand & Cheating | Guild Knowledge & Politics,"Ancient Realms (Netheril, Imaskar...) | Dwarven Culture | Gnomish Culture | Guilds & Organizations",Bone & Ivory Carving,Turmish | Thorass,Chondathan | Turmish,95,293.4,universal_standard,5,Target Shield + Composite Bow + Arming Sword + Dagger + Knife,Mail Hauberk [25] + Reinforced Gambeson [4] + Bascinet [5] + Besagews [2] + Gorget [8.5],Aucun,-5.09,YES,Théurgique,Magie Verte,-1,-1,-5,0,-2,166.4,67.4,0,3,-1,-2,-4,6,6,1,1,-2,Aucun,2026-05-31 23:57:03
CH-00031,Gnome,Forest Gnome,Wealdath,Fishing Village,Groupe3_Coeur_Continental,Advanced Tracking | Plains Tracking | Forest Stealth | Open Land Navigation,,Major Religions & Deities | Divine Myths & Legends | Halfling Culture | Geography of Faerûn,Masonry,Gnomish,Elfique | Gnomish,31,293.4,universal_standard,0,Brocchiere + Poleaxe + Arming Sword + Knife + Dagger,Aucune,Aucun,-11.21,YES,Arcanique,Magicien,-11,-4,-2,-5,-7,121.0,33.9,-7,6,2,3,-3,2,8,-1,13,3,"Vision nocturne N1, Affinité nature",2026-05-31 23:57:03
CH-00032,Human,Calishite,Calimshan,Large Town,Groupe2_Sud_Marchand,Desert Thermal Endurance,Black Market Operations | City Secrets & Hidden Routes | City Secrets & Hidden Routes,Cultural Interactions | Magical Schools & Traditions | Court Etiquette & Protocol | Major Cities & Regions,Accounting & Estate Management | Cabinetmaking & Marquetry | Carpentry & Woodworking,Calishite | Thorass,Calishite | Chondathan | Halruaan,142,293.4,universal_standard,0,Target Shield + Composite Bow + Arming Sword + Dagger + Knife,Mail Coat (32) + Bras complet renforcé (22) + Jambes renforcées (21) + Gorget renforcé (4) + Great Bascinet (14),Aucun,-5.25,YES,Théurgique,Magie Blanche,-3,-4,2,-5,7,161.9,71.0,-1,-5,-5,-2,4,3,-4,0,-6,-6,Aucun,2026-05-31 23:57:03
CH-00033,Other,Dragonborn,Calimshan,Metropolis,Groupe2_Sud_Marchand,Mountain Endurance,Urban Observation and Tailing | Criminal Organizations & Syndicates | Urban Observation and Tailing | Urban Observation and Tailing | Black Market Operations | Noble Houses & Court Intrigue,"Gnomish Culture | Court Etiquette & Protocol | Aberration Lore | Festivals, Calendars & Traditions",Jewelry & Goldsmithing | Rare Dye Making,Tashalan | Draconique,Chondathan | Draconique | Tashalan,207,293.4,universal_standard,210,Target Shield + Composite Bow + Arming Sword + Dagger + Knife,Harnois de Brèche (128) + Plackart (2.5) + Tassets longs (3) + Sabatons larges (2.5),Aucun,50.56,NO,None,,10,5,4,4,-4,196.5,120.3,3,-5,7,4,2,2,2,-1,-7,8,Souffle draconique,2026-05-31 23:57:03
CH-00034,Human,Rashemi,Rashemen,Rural Village,Groupe10_Rashemen,Marsh Movement | Forest Stealth | Hermetic Medicine | Wild Plant Foraging | Advanced Tracking,,Geography of Faerûn | Trade Routes & Commerce,Engraving on Metal & Gems | Candle & Soap Making | Locksmithing & Mechanisms,None,Chondathan | Rashemi,44,293.4,universal_standard,0,Target Shield + Longbow + Arming Sword + Knife + Dagger,Aucune,Aucun,-15.18,YES,Théurgique,Magie Verte,-8,-7,-5,-7,7,152.3,57.5,-2,-6,-6,-3,-2,0,0,-1,-5,-7,Aucun,2026-05-31 23:57:03
CH-00035,Human,Chultan,Chult,Forest Village,Groupe3_Coeur_Continental,Marsh Disease Resistance | Wild Plant Foraging | Forest Stealth | Oceanic Navigation | Advanced Tracking | Subterranean Hazard Resistance,Black Market Operations,Elven Culture | Major Cities & Regions | Political Currents & Rivalries | Local Folklore & Legends,Herbalism & Potion Brewing,Chultan,Chultan | Shaaran,27,293.4,universal_standard,2,Brocchiere + Composite Bow + Arming Sword + Dagger,Aucune,Aucun,2.64,NO,None,,0,1,-1,2,8,165.0,63.9,-1,2,7,1,-2,-1,-6,4,3,7,Aucun,2026-05-31 23:57:03
CH-00036,Other,Aasimar,Cormyr,Isolated Farmstead,Groupe3_Coeur_Continental,Forest Stealth | Advanced Tracking | Wild Plant Foraging | Mountain Endurance,,Dwarven Culture | Ruins & Major Archaeological Sites,Engraving on Metal & Gems,None,Chondathan | Céleste | Sembian,67,293.4,universal_standard,0,Target Shield + Composite Bow + Arming Sword + Dagger + Knife,Simple Breastplate (4) + Padded Jack (5) + Kettle Hat (3) + Besagews (2) + Gorget (3),Aucun,5.84,NO,None,,-2,0,4,-1,6,157.8,60.6,-2,2,3,1,4,2,0,-2,3,3,Lumière céleste,2026-05-31 23:57:03
CH-00037,Dwarf,Shield Dwarf,Mithral Hall,Mountain Village,Groupe6_Bloc_Nain,Snow and Ice Shelter Building | Advanced Tracking | Mountain Endurance | Underground Navigation,Streetwise (Urban Underworld),History of Magic | Trade Routes & Commerce | Elven Culture,Clockmaking & Complex Mechanisms | Musical Instrument Making | Cartography,Nain,Illuskan | Nain,38,293.4,universal_standard,0,Target Shield + Heavy Crossbow + Arming Sword + Dagger,Aucune,Aucun,2.29,NO,None,,4,-1,-3,-6,13,149.1,87.7,-3,-3,-4,-3,-1,2,0,1,-7,-5,Vision dans le noir + Robustesse naine,2026-05-31 23:57:03
CH-00038,Human,Uthgardt,Spine of the World,Logging Camp,Groupe3_Coeur_Continental,Marsh Movement | Plains Tracking | Wild Plant Foraging | Forest Stealth | Advanced Tracking,Guild Knowledge & Politics | Poison Lore & Subtle Application,Dwarven Culture | Religious Cults & Orders,Leatherworking & Tanning,None,Illuskan | Nain,27,293.4,universal_standard,2,Brocchiere + Composite Bow + Arming Sword + Dagger,Aucune,Aucun,-2.04,YES,Théurgique,Magie Blanche,0,0,-4,0,0,162.0,63.9,-1,2,5,-4,-3,-4,-1,4,0,3,Aucun,2026-05-31 23:57:03
CH-00039,Human,Netherese,Le Nord (The North),Isolated Farmstead,Groupe5_Nord_Sauvage,Mountain Endurance | Underground Navigation | Technical Rock Climbing,Disguise & Impersonation,Astronomy & Star Navigation | Cultural Interactions | Orc & Goblinoid Culture | Fey & Feywild Knowledge,Sail & Rope Making | Bone & Ivory Carving,Géant | Netherese,Géant | Illuskan | Netherese,34,293.4,universal_standard,0,Brocchiere + Halberd + Rapier + Main-gauche + Knife,Aucune,Aucun,13.98,NO,None,,3,3,0,3,5,178.6,78.9,1,3,4,1,-1,-5,-2,-2,2,4,Aucun,2026-05-31 23:57:03
CH-00040,Human,Tethyrian,Western Heartlands,Rural Village,Groupe3_Coeur_Continental,Wild Plant Foraging | Forest Stealth | Savanna Plant Knowledge,,Local Folklore & Legends | Secret Organizations | Trade Routes & Commerce | Major Religions & Deities,Brewing & Distilling | Smithing & Metallurgy | Cartography,Tethyrian | Thorass,Chondathan | Illuskan | Tethyrian,42,293.4,universal_standard,0,Small Buckler + Halberd + Rapier + Main-gauche + Knife,Aucune,Aucun,-4.26,YES,Arcanique,Magicien,0,0,-4,-2,3,165.0,67.4,-1,8,-5,-3,-2,-3,-7,-5,5,-6,Aucun,2026-05-31 23:57:03
