ID,Indice,Race,Ethnicity,Origin_Region,Settlement_Type,Bonus_Languages,Magic_Type,Combat_Points,Grappling,Melee,Fencing,Skill_Modifier,Projectiles,Weight_Score,Build_Score,Height_cm,Weight_kg,Size_Score,Balance,Quickness,Coordination,Precision,Endurance,Regeneration,Vigilance,Beauty,Stealth,Speed,Dodge,Climbing,Magic,Magic_Subtype,Magic_Description,Special,Skills
CH-00011,3,Human,Damaran,Moonsea,Ville moyenne,,Théurgique,"-5,24",-1,-1,-2,3,-2,1,-1,"173,9","74,8",0,-4,-2,3,-2,-3,1,-2,8,-2,-1,-2,-2,YES,Théurgiste,Théurgiste (magie divine instinctive),Aucun,"Résistance au froid extrême et hypothermie
Navigation en relief montagneux"
CH-00012,132,Human,Shaaran,Luskan,Ville moyenne,,None,"7,9",5,1,-1,13,-2,6,6,"178,3","97,4",1,-4,0,-3,-1,3,4,-5,-1,-8,-1,-5,-2,NO,,Non-magique,Aucun,"Orientation en grande plaine
Cueillette et connaissance des plantes de savane"
CH-00013,5,Human,Mulan,Old Empires,Colonie frontalière,,Arcanique,"-8,41",-1,-3,-3,5,-5,0,7,"159,0","71,0",-1,-3,-1,-4,-3,7,3,-3,-1,-5,-3,-4,-1,YES,Magicien,Arcaniste (magie savante),Aucun,"Orientation et navigation en milieu ouvert
Performance (Acrobatie/ Danse / Musique / Prestidigitation)"
CH-00014,2,Human,Chondathan,Chondath,Village rural,,Arcanique,"-9,39",-4,-2,-2,2,-6,-6,1,"151,1","51,8",-2,6,0,-4,-4,2,1,-5,-11,5,-2,0,1,YES,Magicien,Arcaniste (magie savante),Aucun,"Streetwise et connaissance des bas-fonds urbains
Manipulation de pièges et serrures"
CH-00015,3,Human,Damaran,Damara,Bourg / Petite ville,,Théurgique,"-3,62",-1,-1,-2,-1,0,-1,5,"159,1","67,4",-1,2,-4,1,1,-5,11,5,-3,2,-4,0,0,YES,Théurgiste,Théurgiste (magie divine instinctive),Aucun,"Construction d’abris en neige et glace
Navigation en relief montagneux"
CH-00016,32,Elf,Elf Drow,Cormanthor,Hameau agricole,,None,"8,81",-5,-2,-1,6,5,-5,-4,"160,9","54,6",-1,5,-5,4,5,1,-5,-3,0,8,-4,1,3,NO,,Non-magique,Darkvision + sorts innés,"Manipulation de pièges et serrures
Furtivité et discrétion en milieu confiné"
CH-00017,10,Human,Ffolk,The Whalebones,Village lacustre / sur pilotis,,Théurgique,"-2,62",-1,-1,-2,0,1,1,2,"169,3","74,8",0,1,-10,8,1,9,3,-3,-4,5,-8,-2,4,YES,Théurgiste,Théurgiste (magie divine instinctive),Aucun,"Furtivité et déplacement silencieux en forêt
Navigation maritime et lecture des courants"
CH-00018,1,Human,Calishite,Tethyr,Village de montagne,,None,"12,62",4,3,1,2,0,1,9,"158,9","74,8",-1,7,3,1,0,3,1,2,1,5,3,2,3,NO,,Non-magique,Aucun,"Réseautage et recherche d’informations urbaines
Manipulation de pièges et serrures"
CH-00019,6,Human,Rashemi,Rashemen,Village forestier,,Arcanique,"-7,13",-1,-2,-1,5,-6,1,-3,"177,0","74,8",1,-2,-2,-2,-4,-7,4,-1,10,-4,-3,-2,-3,YES,Magicien,Arcaniste (magie savante),Aucun,"Furtivité et déplacement silencieux en forêt
Résistance aux maladies et insectes des marais"
CH-00020,2,Human,Chondathan,Chondath,Village forestier,,None,"2,64",2,0,0,14,0,4,-4,"188,4","87,7",2,-2,-3,-2,2,5,-4,-4,-1,-5,-4,-4,-2,NO,,Non-magique,Aucun,"Réseautage et recherche d’informations urbaines
Manipulation de pièges et serrures"
CH-00021,2,Human,Chondathan,The Dalelands,Hameau agricole,,None,"3,64",1,0,0,9,2,1,2,"169,3","74,8",0,2,0,-1,3,-1,3,0,-2,0,-1,-1,0,NO,,Non-magique,Aucun,"Streetwise et connaissance des bas-fonds urbains
Manipulation de pièges et serrures"
CH-00022,132,Human,Shaaran,Cormyr,Ville fortifiée,,None,"17,58",4,3,4,4,-1,4,-7,"193,5","87,7",3,2,2,3,-2,0,-11,2,3,1,3,1,0,NO,,Non-magique,Aucun,"Pistage et chasse en milieu ouvert
Orientation en grande plaine"
CH-00023,87,Other,Yuan-ti Pureblood,Estagund,Village rural,,None,"7,96",0,0,-1,3,4,2,1,"173,8","78,9",0,-3,-2,5,3,9,1,10,1,-1,-1,1,2,NO,,Non-magique,Résistance au poison,"Performance (Acrobatie/ Danse / Musique / Prestidigitation)
Réseautage et recherche d’informations urbaines"
CH-00024,7,Human,Tethyrian,Sword Coast,Grande Ville portuaire,,None,"0,64",-1,-1,0,13,2,1,-7,"183,5","74,8",2,-2,0,-4,4,-4,3,0,4,-5,-2,-2,-4,NO,,Non-magique,Aucun,"Performance (Acrobatie/ Danse / Musique / Prestidigitation)
Équitation"
CH-00025,2,Human,Chondathan,The Dalelands,Village forestier,,None,"3,64",1,1,2,8,-1,2,-2,"178,6","78,9",1,-3,4,3,-2,-4,-1,2,2,-2,5,1,-2,NO,,Non-magique,Aucun,"Manipulation de pièges et serrures
Streetwise et connaissance des bas-fonds urbains"
CH-00026,1,Human,Calishite,Calimshan,Ville moyenne,,Arcanique,"-9,12",-3,-3,-4,4,-3,-1,2,"163,5","67,4",-1,-1,-4,-3,-1,2,-6,2,1,-3,-5,-2,-1,YES,Magicien,Arcaniste (magie savante),Aucun,"Marche désertique et résistance thermique
Manipulation de pièges et serrures"
CH-00027,5,Human,Mulan,Inner Sea (Sea of Fallen Stars),Village lacustre / sur pilotis,,Arcanique,"-7,87",-3,-2,-1,0,-5,-2,-2,"166,5","63,9",0,0,-1,0,-4,1,-6,3,2,1,-1,1,0,YES,Magicien,Arcaniste (magie savante),Aucun,"Escalade rocheuse et progression technique
Orientation et navigation en milieu ouvert"
CH-00028,5,Human,Mulan,Mulhorand,Ville moyenne,,Théurgique,"-0,62",0,1,0,-6,-2,-3,4,"155,0","60,6",-2,7,3,-2,-1,2,-2,8,-6,5,2,4,2,YES,Théurgiste,Théurgiste (magie divine instinctive),Aucun,"Performance (Acrobatie/ Danse / Musique / Prestidigitation)
Orientation et navigation en milieu ouvert"
CH-00029,1,Human,Calishite,Amn,Grande Ville marchande,,None,"1,0",-1,1,0,6,1,-2,4,"157,7","63,9",-2,1,5,3,-1,1,1,1,5,3,6,2,2,NO,,Non-magique,Aucun,"Conservation et recherche d’eau en milieu aride
Marche désertique et résistance thermique"
CH-00030,7,Human,Tethyrian,The Dalelands,Poste de commerce isolé,,None,"8,05",-2,-1,-2,9,6,-1,5,"159,1","67,4",-1,0,-3,3,6,-1,-5,-4,6,2,-2,-2,1,NO,,Non-magique,Aucun,"Manipulation de pièges et serrures
Streetwise et connaissance des bas-fonds urbains"
