ID,Indice,Race,Ethnicity,Origin_Region,Settlement_Type,Bonus_Languages,Magic_Type,Combat_Points,Grappling,Melee,Fencing,Skill_Modifier,Projectiles,Weight_Score,Build_Score,Height_cm,Weight_kg,Size_Score,Balance,Quickness,Coordination,Precision,Endurance,Regeneration,Vigilance,Beauty,Stealth,Speed,Dodge,Climbing,Magic,Magic_Subtype,Magic_Description,Special,Active Skills
CH-00011,1,Human,Calishite,Calimshan,Ville moyenne,Chondathan + Infernal + Thorass,Arcanique,"-14,73",-8,-7,-7,9,-4,-4,0,"157,9","57,5",-2,-8,-5,-2,-2,-6,-1,-1,-1,-6,-6,-3,-4,YES,Magicien,Arcaniste (magie savante),Aucun,"Performance (Acrobatie/ Danse / Musique / Prestidigitation)
Streetwise et connaissance des bas-fonds urbains
Marche désertique et résistance thermique
Réseautage et recherche d’informations urbaines
Furtivité et déplacement discret en ville"
CH-00012,4,Human,Illuskan,Icewind Dale,Hameau isolé,Illuskan,None,"31,41",6,5,4,-2,2,5,-2,"188,3","92,4",2,5,2,2,1,4,2,5,-7,2,2,2,2,NO,,Non-magique,Aucun,"Marche en montagne et portage en altitude
Réseautage et recherche d’informations urbaines
Navigation en relief montagneux
Manipulation de pièges et serrures
Résistance au froid extrême et hypothermie"
CH-00013,40,Gnome,Rock Gnome,Thesk,Village rural,Chondathan,Arcanique,"-15,72",-17,-8,-9,-4,-1,-21,18,"99,6","23,5",-11,7,3,1,-1,-1,-6,0,3,16,3,6,6,YES,Magicien,Arcaniste (magie savante),Vision nocturne N1,"Manipulation de pièges et serrures
Médecine
Équitation
Survie côtière et connaissance des marées
Réseautage et recherche d’informations urbaines"
CH-00014,8,Human,Chultan,Chult,Colonie frontalière,Chultan,None,"14,12",4,3,3,0,-3,2,2,"172,3","78,9",0,0,11,0,-5,4,6,6,3,-1,11,3,0,NO,,Non-magique,Aucun,"Résistance aux maladies et insectes des marais
Survie côtière et connaissance des marées
Pistage et traque en milieu boisé
Réseautage et recherche d’informations urbaines
Médecine"
CH-00015,5,Human,Mulan,Inner Sea (Sea of Fallen Stars),Port de contrebande,Chondathan + Mulhorandi + Rashemi,None,"3,64",0,0,1,8,2,0,-1,"170,9","71,0",0,-1,5,-2,2,2,-5,0,-2,-2,4,0,-1,NO,,Non-magique,Aucun,"Survie côtière et connaissance des marées
Équitation
Manipulation de pièges et serrures
Orientation et navigation en milieu ouvert
Réseautage et recherche d’informations urbaines"
CH-00016,7,Human,Tethyrian,Baldur's Gate,Ville moyenne,Chondathan,Théurgique,"-2,62",1,-1,-2,3,-1,2,1,"173,8","78,9",0,-3,2,-6,1,6,-1,-1,-3,-7,0,-3,-3,YES,Théurgiste,Théurgiste (magie divine instinctive),Aucun,"Équitation
Survie côtière et connaissance des marées
Furtivité et déplacement discret en ville
Streetwise et connaissance des bas-fonds urbains
Performance (Acrobatie/ Danse / Musique / Prestidigitation)"
CH-00017,9,Human,Turami,Chondath,Bourg / Petite ville,Chessentan + Chondathan + Lantanna,None,"5,7",4,2,0,9,-7,2,5,"167,7","78,9",0,7,-2,-2,-5,10,-6,-7,-3,3,-3,-2,3,NO,,Non-magique,Aucun,"Streetwise et connaissance des bas-fonds urbains
Performance (Acrobatie/ Danse / Musique / Prestidigitation)
Furtivité et déplacement discret en ville
Survie côtière et connaissance des marées
Équitation"
CH-00018,138,Human,Uthgardt,Sword Coast,Village côtier / de pêcheurs,Chondathan + Elfique + Illuskan + Northlander + Vaasan,None,"9,96",5,1,1,13,-3,6,-9,"204,1","97,4",4,2,-3,-9,1,-3,-2,-1,4,-7,-6,-4,-5,NO,,Non-magique,Aucun,"Résistance au mal de mer et gestion des tempêtes
Pistage et traque en milieu boisé
Manipulation de pièges et serrures
Survie côtière et connaissance des marées
Pêche en haute mer et survie aquatique"
CH-00019,1,Human,Calishite,Tethyr,Ville moyenne,Chondathan + Infernal,None,"3,5",3,1,0,8,-3,4,2,"178,5","87,7",1,-4,2,1,-3,3,3,5,-6,-5,2,-1,-1,NO,,Non-magique,Aucun,"Pistage et traque en milieu boisé
Manipulation de pièges et serrures
Équitation
Réseautage et recherche d’informations urbaines
Performance (Acrobatie/ Danse / Musique / Prestidigitation)"
CH-00020,12,Halfling,Strongheart Halfling,Star Mounts,Hameau agricole,Chondathan + Elfique,Arcanique,"-8,12",-22,-8,-5,-11,4,-23,-2,"115,1","21,1",-8,3,1,12,0,1,5,2,0,21,5,10,7,YES,Magicien,Arcaniste (magie savante),Robustesse,"Manipulation de pièges et serrures
Performance (Acrobatie/ Danse / Musique / Prestidigitation)
Escalade
Streetwise et connaissance des bas-fonds urbains
Réseautage et recherche d’informations urbaines"
