ID,Level,Race,Ethnicity,Origin_Region,Settlement_Type,Equipment_Group,Outdoor_Skills,Urban_Skills,Knowledge,Craft,Literacy,Spoken_Languages,Starting_Capital,Magic_Item_Capital,Final_Pocket_Money_BP,Armes_et_Bouclier,Prebuilt_Kit_Tier,Prebuilt_Kit_Cost_Sp,Prebuilt_Kit_Source,Combat_Points,Magic,Magic_Type,Magic_Subtype,Magic_And_Spells,God,Grappling,Melee,Projectiles,Fencing,Skill_Modifier,Height_cm,Weight_kg,Size_Score,Balance,Quickness,Coordination,Precision,Endurance,Vigilance,Beauty,Stealth,Speed,Special,Generation_Date
CH-00011,1,Human,Tethyrian,Baldur's Gate,Fishing Village,Groupe1_Cote_des_Epees,Wild Plant Foraging | Oceanic Navigation | Dark Water Swimming,Streetwise (Urban Underworld) | Urban Stealth & Shadowing,Political Currents & Rivalries | Major Cities & Regions | History of the Realms | Trade Routes & Commerce,Perfumery & Cosmetics | Cooking (Fine Cuisine),Chondathan,Chondathan | Cormyrian | Druidic | Tethyrian,308,296,30,"Dragon Scale Brigandine (4x), Poleaxe, War Hammer, Composite Bow, Arrows | Philter of Love (Uncommon) (40 sp) | Trident of Fish Command (Uncommon) (140 sp) | Bead of Nourishment (Common) (30 sp) | Potion of Climbing (Common) (80 sp)",Kit 80,305.0,100_Kits_Druide_Complete_100kits.txt,-2.24,YES,Théurgique,Magie Verte,,Silvanus,1,0,-2,-2,0,172.3,78.9,0,1,-6,2,-1,-4,5,-5,1,-6,Aucun,2026-06-09 21:41:29
CH-00012,1,Human,Tethyrian,Baldur's Gate,Major Port City,Groupe1_Cote_des_Epees,Storm and Seasickness Mastery,Urban Observation and Tailing | Forgery of Documents & Seals | Urban Stealth & Shadowing | Fences and Buyers Network | Sleight of Hand & Cheating,Spellplague & Its Aftermath | Gnomish Culture | Fey & Feywild Knowledge | Fall of Myth Drannor,Ritual Object Crafting,Illuskan | Thorass,Chondathan | Illuskan | Tethyrian,408,246,180,"Arming Doublet, Mail Voiders, Jack of Plates, Vambraces, Couters, Sallet, Heavy Crossbow, Heavy Crossbow Bolts (12), Dagger | Ammunition +1 (10x) (Uncommon) (110 sp) | Potion of Water Breathing (Uncommon) (80 sp) | Chandelle de lumière éternelle (Common) (50 sp)",Kit 64,390.0,100_kits_XV_siecle_Cote_des_Epees_EN (1).txt,3.32,NO,None,,,Helm,-4,-1,4,0,3,152.4,54.6,-2,3,2,3,3,4,4,5,6,3,Aucun,2026-06-09 21:41:29
CH-00013,1,Human,Rashemi,Thesk,Forest Village,Groupe3_Coeur_Continental,Marsh Movement | Wild Plant Foraging | Marsh Disease Resistance | Primitive Fire Mastery,Urban Stealth & Shadowing,Guilds & Organizations | Nobility & Heraldry | Divine Myths & Legends | Political Currents & Rivalries,Sail & Rope Making | Leatherworking & Tanning,Infernal | Rashemi,Chondathan | Infernal | Rashemi,140,380,210,"Padded Jack, Sallet, Guisarme | Cape de séchage rapide (Common) (100 sp) | Potion of Clairvoyance (Rare) (210 sp) | Poudre de réveil (Common) (50 sp) | Darts +1 (Uncommon) (11 sp)",Kit 29,119.0,100_kits_XV_siecle_Cote_des_Epees_EN (1).txt,14.99,NO,None,,,Tymora,7,2,-7,1,8,184.8,102.7,2,1,0,-5,-5,7,1,-6,-6,-2,Aucun,2026-06-09 21:41:29
CH-00014,1,Human,Damaran,Moonsea,Fortified City,Groupe4_Vilhon_Est,Primitive Fire Mastery | Complex Terrain Navigation | Technical Rock Climbing | Advanced Tracking,Information Brokerage | Guild Knowledge & Politics | Streetwise (Urban Underworld),Trade Routes & Commerce | Lost Kingdoms & Cities | History of Netheril,Weapons & Armor Smithing | Cartography,Chondathan,Chondathan | Damaran | Vaasan,239,330,250,"Coat of Plates, Bascinet, Messer, Kite Shield, Dagger | Philter of Love (Uncommon) (40 sp) | Wand of Magic Detection (Uncommon) (210 sp) | Poudre de réveil (Common) (50 sp) | Bead of Nourishment (Common) (30 sp)",Kit 43,214.0,100_kits_XV_siecle_Cote_des_Epees_EN (1).txt,22.32,NO,None,,,Chauntea,9,3,-10,1,6,183.0,108.2,2,3,-1,-7,-7,4,3,-8,-6,-4,Aucun,2026-06-09 21:41:29
CH-00015,1,Human,Chondathan,Vilhon Reach,Major Port City,Groupe4_Vilhon_Est,Open Land Navigation | Advanced Tracking,Urban Stealth & Shadowing | Lockpicking and Trap Disarming | Heraldry & Lineage Recognition,Religious Cults & Orders | Major Religions & Deities | History of Magic | Trade Routes & Commerce,Taxidermy,Chondathan,Chondathan | Cormyrian | Halruaan,276,312,20,"Arming Doublet, Mail Voiders, Simple Breastplate, Vambraces, Couters, Bascinet (basic), Arming Sword, Dagger | Wand of Magic Detection (Uncommon) (210 sp) | Armor of Vulnerability (Rare) (80 sp) | Javelins +1 (Uncommon) (11 sp) | Darts +1 (Uncommon) (11 sp)",Kit 47,274.0,100_kits_XV_siecle_Cote_des_Epees_EN (1).txt,6.66,NO,None,,,Milil,0,1,1,3,7,185.2,78.9,2,-2,1,6,-1,-5,1,-1,0,3,Aucun,2026-06-09 21:41:29
CH-00016,1,Half-elf,Wild Half-elf,High Forest,Forest Village,Groupe3_Coeur_Continental,Advanced Tracking | Hermetic Medicine | Marsh Movement | Forest Stealth,Criminal Organizations & Syndicates,Guilds & Organizations | Major Religions & Deities,Ceramics & Pottery,None,Chondathan | Druidic | Elfique,71,414,0,"Padded Jack, Nasal Helmet, Kite Shield, Dagger | Gourde de tempérance (Common) (150 sp) | Ring of Water Walking (Uncommon) (250 sp) | Sling Bullets +1 (Uncommon) (11 sp)",Kit 18,71.0,100_kits_XV_siecle_Cote_des_Epees_EN (1).txt,-1.16,NO,None,,,None,-3,-1,0,0,9,182.0,71.0,1,-4,-1,3,0,3,4,8,-2,0,Méditation + Immunité sommeil + VN (N1),2026-06-09 21:41:29
CH-00017,1,Human,Chondathan,Western Heartlands,Large Town,Groupe3_Coeur_Continental,Advanced Tracking,Urban Stealth & Shadowing | High Society Manipulation | Information Brokerage,Major Cities & Regions | Major Religions & Deities | Geography of Faerûn | Dwarven Culture,Glassworking,Chondathan,Chondathan,156,372,10,"Reinforced Gambeson, Bascinet, Arming Sword, Dagger | Mini-Potion de soin (Common) (100 sp) | Wind Fan (Uncommon) (100 sp) | Trident of Fish Command (Uncommon) (140 sp) | Darts +1 (Uncommon) (11 sp) | Sling Bullets +1 (Uncommon) (11 sp)",Kit 30,155.0,100_kits_XV_siecle_Cote_des_Epees_EN (1).txt,-0.63,NO,None,,,Lathander,3,0,-8,-1,11,180.0,92.4,1,-3,-3,0,-7,3,4,0,-5,-3,Aucun,2026-06-09 21:41:29
CH-00018,1,Human,Rashemi,Rashemen,Remote Monastery,Groupe10_Rashemen,Forest Stealth | Marsh Movement | Complex Terrain Navigation | Wild Plant Foraging | Hermetic Medicine | Advanced Tracking,,"Weave Theory | Court Etiquette & Protocol | Cosmology (Weave, Shadow Weave) | Dwarven Culture",Cabinetmaking & Marquetry,Rashemi,Rashemi | Thayan,121,389,10,"Padded Jack, Kettle Hat, Javelin (6) x3, Military Fork, Dagger | Bead of Nourishment (Common) (30 sp) | Eyes of Minute Seeing (Uncommon) (170 sp) | Boussole du nord vrai (Common) (120 sp) | Chandelle de lumière éternelle (Common) (50 sp) | Darts +1 (Uncommon) (11 sp)",Kit 105,120.0,100_kits_XV_siecle_Cote_des_Epees_EN (1).txt,5.96,NO,None,,,Ilmater,0,0,4,-1,11,166.2,74.8,0,1,-3,0,5,-3,-5,6,0,-3,Aucun,2026-06-09 21:41:29
CH-00019,1,Human,Calishite,Calimshan,Large Town,Groupe2_Sud_Marchand,Wild Plant Foraging | Open Land Navigation | Desert Thermal Endurance,Disguise & Impersonation | Urban Observation and Tailing | Urban Stealth & Shadowing,"Fall of Myth Drannor | Festivals, Calendars & Traditions",Calligraphy & Illumination | Smithing & Metallurgy | Leatherworking & Tanning,Thorass,Calishite | Chondathan | Tashalan,365,267,40,"Arming Doublet, Mail Voiders, Breastplate, Backplate, Vambraces, Couters, Tassets, Sallet, Halberd, Heater Shield, Dagger | Minor Healing Potion (N/A) (200 sp) | Potion of Animal Friendship (Uncommon) (50 sp) | Sling Bullets +1 (Uncommon) (11 sp)",Kit 57,361.0,100_kits_XV_siecle_Cote_des_Epees_EN (1).txt,22.61,NO,None,,,Waukeen,1,3,6,3,0,177.2,71.0,1,8,-2,5,5,-9,3,4,9,-1,Aucun,2026-06-09 21:41:29
CH-00020,1,Human,Chondathan,Western Heartlands,Rural Village,Groupe3_Coeur_Continental,Plains Tracking | Complex Terrain Navigation | Field Weapon Maintenance | Advanced Tracking | Open Land Navigation | Coastal Survival,City Secrets & Hidden Routes,Dragon Lore | Legendary Artifacts & Relics,Smithing & Metallurgy | Bookbinding,Chondathan,Chessentan | Chondathan,111,394,10,"Gambeson, Light Crossbow, Crossbow Bolts | Eyes of Charming (Uncommon) (260 sp) | Darts +2 (Rare) (40 sp) | Bead of Nourishment (Common) (30 sp) | Philter of Love (Uncommon) (40 sp) | Crossbow Bolts +1 (Uncommon) (11 sp) | Javelins +1 (Uncommon) (11 sp)",Kit 25,110.0,100_kits_XV_siecle_Cote_des_Epees_EN (1).txt,-5.32,YES,Sauvage,Magie Rouge,,Waukeen,0,-3,-1,-3,9,172.3,78.9,0,-8,2,-6,1,-6,-7,4,-11,0,Aucun,2026-06-09 21:41:29
