ID,Indice,Race,Ethnicity,Origin_Region,Settlement_Type,Bonus_Languages,Magic_Type,Combat_Points,Grappling,Melee,Fencing,Skill_Modifier,Num_Active_Skills,Projectiles,Weight_Score,Build_Score,Height_cm,Weight_kg,Size_Score,Balance,Quickness,Coordination,Precision,Endurance,Regeneration,Vigilance,Beauty,Stealth,Speed,Dodge,Climbing,Magic,Magic_Subtype,Magic_Description,Special,Active Skills,Knowledge,Craft,Literacy
CH-00019,8,Human,Chultan,The Shaar,Implantation inconnue,Chultan + Dambrathan + Shaaran,Théurgique,"-3,62",0,-1,-1,4,,-2,3,-6,"188,5","83,2",2,-5,-2,-1,-1,-2,2,1,1,-7,-3,-3,-4,YES,Théurgiste,Théurgiste (magie divine instinctive),Aucun,,"Culture halfeline
Histoire de Netheril
Mythes et légendes divines
Races anciennes (Netheril, Imaskar...)","Forge et métallurgie
Serrurerie et mécanismes",
CH-00020,2,Human,Chondathan,Sembia,Grande Ville marchande,Chessentan + Chondathan + Thorass,Arcanique,"-9,06",-3,-4,-4,7,,-2,-2,1,"162,0","63,9",-1,1,-5,-7,2,3,-3,-3,0,-3,-8,-4,-2,YES,Magicien,Arcaniste (magie savante),Aucun,,"Histoire des Royaumes Oubliés
Routes commerciales et voies marchandes","Serrurerie et mécanismes
Cartographie
Comptabilité et gestion de biens","Chondathan (Alphabet Thorass)
Cormyrian (Alphabet Thorass)"
CH-00021,50,Half-orc,Half-Orc,Spine of the World,Camp de bûcherons,Illuskan + Northlander + Orc + Undercommon,Arcanique,"-9,41",-2,-6,-9,15,,-2,3,14,"157,4","83,2",-2,-11,-7,-8,3,4,0,-10,-7,-16,-10,-11,-5,YES,Magicien,Arcaniste (magie savante),Force brutale + Vision dans le noir N1,,"Connaissance des aberrations
Histoire des Royaumes Oubliés
Lois et coutumes des nations
Culture elfique
Cosmologie (Weave, Shadow Weave)","Mosaïque et fresque
Fabrication de lentilles et optique",
CH-00022,130,Human,Nar,Chondath,Village rural,Chondathan + Turmish,None,"27,41",7,5,2,0,,0,5,9,"170,5","92,4",0,6,0,6,-2,0,0,0,-2,5,2,1,4,NO,,Non-magique,Aucun,,"Lois et coutumes des nations
Culture naine","Navigation (terrestre et maritime)
Viticulture et vinification",Chondathan (Alphabet Thorass)
CH-00023,1,Human,Calishite,Amn,Ville moyenne,Calishite + Chondathan,None,"4,96",-1,-1,0,11,,4,0,-3,"174,0","71,0",0,-4,6,-2,4,-3,4,-4,-1,-5,5,-1,-3,NO,,Non-magique,Aucun,,"Cosmologie (Weave, Shadow Weave)
Mythes et légendes divines
Culture gnome
Religions et divinités majeures","Maçonnerie
Fabrication de teintures rares",
CH-00024,3,Human,Damaran,Impiltur,Village lacustre / sur pilotis,Chondathan + Reghed,Théurgique,"-1,25",3,0,-2,3,,-8,3,4,"172,2","83,2",0,3,-4,-7,-4,1,-2,1,-3,-4,-7,-3,-2,YES,Théurgiste,Théurgiste (magie divine instinctive),Aucun,,"Fêtes, calendriers et traditions
Spellplague et ses conséquences
Étiquette et protocole de cour
Histoire des Royaumes Oubliés
Folklore et légendes locales","Teinture et coloration
Comptabilité et gestion de biens
Navigation (terrestre et maritime)",
CH-00025,1,Human,Calishite,Amn,Ferme isolée / Domaine,Chondathan + Lantanna + Mulhorandi + Tashalan,Théurgique,"-0,74",-2,-2,-3,0,,3,-1,9,"153,5","67,4",-2,-7,3,2,2,-5,-3,4,1,-4,3,0,-2,YES,Théurgiste,Théurgiste (magie divine instinctive),Aucun,,"Noblesse et héraldique
Cultes et ordres religieux
Connaissance des cités et régions majeures
Fêtes, calendriers et traditions","Travail de la pierre
Travail du cuir et tannerie",Mulhorandi (Alphabet Mulhorandi)
CH-00026,15,Dwarf,Shield Dwarf,Citadel Adbar,Ville fortifiée,Géant + Nain,None,"9,68",3,1,-4,2,,3,0,25,"135,2","71,0",-5,1,2,3,2,3,9,7,0,2,3,1,4,NO,,Non-magique,Vision dans le noir + Robustesse naine,,"Écoles et traditions magiques
Lois et coutumes des nations
Connaissance des guildes et corporations
Courants politiques et rivalités
Noblesse et héraldique
Genasi et peuples élémentaires
Histoire des Royaumes Oubliés","Serrurerie et mécanismes
Taxidermie","Géant (Runes Géantes)
Nain (Runes Dethek)"
CH-00027,138,Human,Uthgardt,Le Nord (The North),Ferme isolée / Domaine,Illuskan + Uthgardt,Arcanique,"-11,13",-6,-6,-5,12,,-2,-2,-2,"166,5","63,9",0,-3,-8,-6,2,2,3,-12,-3,-5,-10,-7,-3,YES,Magicien,Arcaniste (magie savante),Aucun,,"Connaissance des guildes et corporations
Géographie de Faerûn
Culture orc et gobelinoïde",Construction navale,
CH-00028,2,Human,Chondathan,Vilhon Reach,Village côtier / de pêcheurs,Chondathan + Illuskan + Thorass,Théurgique,"-3,09",0,0,0,2,,-5,0,1,"167,8","71,0",0,3,-1,1,-5,-11,-3,-4,1,3,-1,-1,-1,YES,Théurgiste,Théurgiste (magie divine instinctive),Aucun,,"Histoire de la magie
Étiquette et protocole de cour
Ruines et sites archéologiques majeurs
Mythes et légendes divines",Navigation (terrestre et maritime),
CH-00029,7,Human,Tethyrian,Amn,Grande Ville marchande,Chessentan + Chondathan + Tethyrian,None,"2,02",2,1,0,10,,-2,1,7,"161,8","74,8",-1,-1,5,-2,-2,-5,5,0,0,-3,4,-1,-2,NO,,Non-magique,Aucun,,"Connaissance des cités et régions majeures
Géographie de Faerûn
Folklore et légendes locales
Histoire de la magie",Alchimie théorique et pratique,Chondathan (Alphabet Thorass)
CH-00030,32,Elf,Elf Drow,Vallée de la Flamme,Ville fortifiée,Glifo (Drow) + Nain,None,"0,34",-9,-1,1,-1,,0,-11,-3,"143,5","39,8",-3,8,1,9,-3,-3,-6,5,-6,17,4,8,6,NO,,Non-magique,Darkvision + sorts innés,,"Théorie de la Weave
Connaissance des cités et régions majeures
Folklore et légendes locales
Religions et divinités majeures
Géographie de Faerûn","Alchimie théorique et pratique
Serrurerie et mécanismes
Travail du cuir et tannerie",
CH-00031,9,Human,Turami,Turmish,Ville moyenne,Chessentan + Chondathan + Turami,Théurgique,"0,0",0,0,0,1,,0,0,4,"163,4","71,0",-1,-5,6,2,-1,-6,-4,-2,-8,-3,6,0,-2,YES,Théurgiste,Théurgiste (magie divine instinctive),Aucun,,"Noblesse et héraldique
Routes commerciales et voies marchandes
Cultes et ordres religieux
Courants politiques et rivalités","Cuisine raffinée
Cartographie
Herboristerie et préparation de potions",
CH-00032,1,Human,Calishite,Calimshan,Grande Ville portuaire,Chondathan + Mulhorandi,None,"2,64",-1,0,1,6,,2,-2,-1,"165,0","63,9",-1,-1,8,0,1,6,-1,0,0,0,8,2,0,NO,,Non-magique,Aucun,,"Mythes et légendes divines
Noblesse et héraldique
Histoire des Royaumes Oubliés
Royaumes et cités perdues","Alchimie théorique et pratique
Parfumerie et cosmétique
Cartographie",
CH-00033,10,Human,Ffolk,Moonshae Isles,Hameau agricole,Chondathan,None,"1,0",1,0,0,7,,0,-2,6,"154,9","63,9",-2,3,7,-4,0,-2,-9,2,-3,1,5,2,0,NO,,Non-magique,Aucun,,"Fêtes, calendriers et traditions
Ruines et sites archéologiques majeurs
Connaissance des cités et régions majeures
Cosmologie (Weave, Shadow Weave)
Connaissance des organisations secrètes","Cuisine raffinée
Mosaïque et fresque",Chondathan (Alphabet Thorass)
CH-00034,1,Human,Calishite,Calimshan,Grande Ville portuaire,Chondathan + Mulhorandi + Tashalan,Théurgique,"-5,42",-4,-3,-2,4,,1,-3,0,"160,7","60,6",-1,0,-2,-1,2,-5,0,-4,0,0,-3,-1,-1,YES,Théurgiste,Théurgiste (magie divine instinctive),Aucun,,"Étiquette et protocole de cour
Culture gnome
Interactions culturelles","Travail du cuir et tannerie
Élevage et dressage",
CH-00035,7,Human,Tethyrian,Baldur's Gate,Grande Ville portuaire,Chondathan + Druidic,Théurgique,"-1,62",-2,-1,1,-1,,0,-2,-2,"166,5","63,9",0,-2,5,0,-1,5,-12,-1,-7,-1,5,1,0,YES,Théurgiste,Théurgiste (magie divine instinctive),Aucun,,"Folklore et légendes locales
Géographie de Faerûn
Noblesse et héraldique
Cosmologie (Weave, Shadow Weave)
Connaissance des cités et régions majeures
Interactions culturelles","Charpenterie et travail du bois
Architecture",
CH-00036,7,Human,Tethyrian,Tethyr,Village rural,Chondathan + Halruaan + Lantanna + Tethyrian,None,"39,16",7,6,4,-4,,3,6,1,"186,5","97,4",2,5,-1,9,1,0,1,0,-1,6,2,1,4,NO,,Non-magique,Aucun,,"Ruines et sites archéologiques majeurs
Lois et coutumes des nations
Théorie de la Weave
Routes commerciales et voies marchandes
Fêtes, calendriers et traditions",Élevage et dressage,
CH-00037,15,Dwarf,Shield Dwarf,Ironmaster,Forteresse naine / Enclave naine,Illuskan + Nain,None,"0,13",2,0,-6,11,,-1,1,26,"136,4","74,8",-5,0,-3,3,-1,-6,1,-1,-4,1,-2,-3,2,NO,,Non-magique,Vision dans le noir + Robustesse naine,,"Religions et divinités majeures
Histoire de la magie",Parfumerie et cosmétique,
CH-00038,2,Human,Chondathan,The Dalelands,Village forestier,Chondathan + Druidic,Arcanique,"-14,04",-10,-7,-6,6,,-2,-8,-2,"149,9","46,6",-3,0,-4,-6,1,0,-1,-3,7,0,-6,-2,-2,YES,Magicien,Arcaniste (magie savante),Aucun,,"Culture naine
Mythes et légendes divines
Histoire des Royaumes Oubliés
Courants politiques et rivalités","Construction navale
Forge et métallurgie",
CH-00039,15,Dwarf,Shield Dwarf,Silver Marches (Luruar),Village forestier,Illuskan + Nain + Reghed,Théurgique,"-5,77",0,-2,-6,0,,-4,-3,24,"129,4","60,6",-6,3,-1,-2,-3,2,1,1,1,2,-2,-1,3,YES,Théurgiste,Théurgiste (magie divine instinctive),Vision dans le noir + Robustesse naine,,"Connaissance des cités et régions majeures
Culture halfeline
Artefacts et reliques légendaires
Culture naine",Céramique et poterie,Illuskan (Alphabet Thorass)
CH-00040,2,Human,Chondathan,Chondath,Bourg / Petite ville,Chondathan + Thorass,None,"8,32",3,2,2,8,,-2,4,-3,"186,7","87,7",2,-1,2,2,-3,-3,2,-1,2,-2,2,-1,-1,NO,,Non-magique,Aucun,,"Connaissance des organisations secrètes
Histoire des Royaumes Oubliés
Connaissance des aberrations
Routes commerciales et voies marchandes
Histoire de Netheril
Religions et divinités majeures",Teinture et coloration,
CH-00041,9,Human,Turami,Turmish,Bourg / Petite ville,Chondathan + Halruaan,None,"5,66",3,0,0,14,,1,5,-3,"190,0","92,4",2,-4,0,-3,2,6,2,-6,5,-8,-1,-5,-3,NO,,Non-magique,Aucun,,"Théorie de la Weave
Religions et divinités majeures
Routes commerciales et voies marchandes
Cosmologie (Weave, Shadow Weave)
Royaumes et cités perdues","Fabrication de voiles et cordages
Construction navale
Cartographie",
CH-00042,7,Human,Tethyrian,Tethyr,Bourg / Petite ville,Chondathan + Elfique + Tethyrian,Théurgique,"-2,58",-8,-5,-3,0,,4,-4,-9,"171,2","57,5",0,-8,-1,1,4,0,6,5,-6,-4,-1,0,-3,YES,Théurgiste,Théurgiste (magie divine instinctive),Aucun,,"Noblesse et héraldique
Routes commerciales et voies marchandes
Culture orc et gobelinoïde
Connaissance des dragons
Lois et coutumes des nations
Folklore et légendes locales",Maçonnerie,
CH-00043,1,Human,Calishite,Calimshan,Ville moyenne,Infernal + Mulhorandi,Théurgique,"-2,78",-2,0,1,-6,,-3,-3,-8,"172,6","60,6",0,6,2,-2,-2,2,5,8,7,5,1,4,1,YES,Théurgiste,Théurgiste (magie divine instinctive),Aucun,,"Cosmologie (Weave, Shadow Weave)
Royaumes et cités perdues
Écoles et traditions magiques
Culture halfeline
Noblesse et héraldique",Herboristerie et préparation de potions,"Mulhorandi (Alphabet Mulhorandi)
Thorass (Alphabet Thorass)"
CH-00044,3,Human,Damaran,Vaasa,Ville fortifiée,Chondathan + Vaasan,None,"1,15",3,0,0,15,,-6,4,-1,"183,4","87,7",2,0,-1,-7,-3,2,0,-5,-9,-7,-4,-5,-3,NO,,Non-magique,Aucun,,"Connaissance des aberrations
Ruines et sites archéologiques majeurs
Histoire d’Imaskar
Noblesse et héraldique
Culture orc et gobelinoïde","Élevage et dressage
Ébénisterie et marqueterie","Chondathan (Alphabet Thorass)
Infernal (Alphabet Infernal)"
CH-00045,4,Human,Illuskan,Le Nord (The North),Hameau isolé,Illuskan,None,"4,0",5,0,-2,12,,-7,7,7,"179,8","102,7",1,-8,1,-5,-5,6,-2,5,3,-13,-1,-4,-4,NO,,Non-magique,Aucun,,"Géographie de Faerûn
Mythes et légendes divines","Navigation (terrestre et maritime)
Maçonnerie",
CH-00046,4,Human,Illuskan,Sword Coast,Village côtier / de pêcheurs,Chondathan + Illuskan,Arcanique,"-11,85",-3,-5,-6,8,,-5,-1,10,"152,1","67,4",-2,-7,0,-8,-2,-4,5,0,3,-10,-3,-5,-5,YES,Magicien,Arcaniste (magie savante),Aucun,,"Astronomie et navigation stellaire
Routes commerciales et voies marchandes
Fêtes, calendriers et traditions","Travail du cuir et tannerie
Herboristerie exotique
Ébénisterie et marqueterie",
CH-00047,12,Halfling,Strongheart Halfling,Western Heartlands,Village rural,Chondathan + Thorass,Théurgique,"-1,75",-18,-5,-2,-17,,5,-22,-2,"117,2","22,3",-8,9,5,12,0,-2,2,8,1,25,9,14,8,YES,Théurgiste,Théurgiste (magie divine instinctive),Robustesse,,"Histoire de la magie
Connaissance des organisations secrètes
Cosmologie (Weave, Shadow Weave)
Royaumes et cités perdues","Apiculture
Alchimie théorique et pratique
Maçonnerie",Chondathan (Alphabet Thorass)
CH-00048,138,Human,Uthgardt,Le Nord (The North),Hameau agricole,Géant + Illuskan,None,"5,56",-1,-1,0,11,,4,3,-5,"186,8","83,2",2,-7,-3,5,3,0,1,0,3,-5,-2,-2,-2,NO,,Non-magique,Aucun,,"Culture orc et gobelinoïde
Cultes et ordres religieux",Forge et métallurgie,Géant (Runes Géantes)
CH-00049,2,Human,Chondathan,Chondath,Ville moyenne,Chondathan + Cormyrian + Thorass,None,"4,64",1,1,2,8,,0,-1,0,"166,4","67,4",0,5,3,-1,0,3,5,-5,-11,3,2,0,1,NO,,Non-magique,Aucun,,"Culture elfique
Étiquette et protocole de cour
Genasi et peuples élémentaires
Connaissance des dragons
Ruines et sites archéologiques majeurs",Cartographie,Thorass (Alphabet Thorass)
CH-00050,2,Human,Chondathan,Chondath,Ville moyenne,Chondathan,Arcanique,"-7,13",-1,-2,-1,2,,-6,0,-5,"177,2","71,0",1,0,-2,-5,-3,4,5,2,-6,-3,-4,-1,-2,YES,Magicien,Arcaniste (magie savante),Aucun,,"Fêtes, calendriers et traditions
Royaumes et cités perdues
Connaissance des guildes et corporations
Ruines et sites archéologiques majeurs","Teinture et coloration
Comptabilité et gestion de biens",Chondathan (Alphabet Thorass)
CH-00051,5,Human,Mulan,Thay,Avant-poste militaire,Infernal + Mulhorandi + Thayan + Untheric,None,"7,66",1,1,3,5,,1,0,-7,"180,4","71,0",1,2,6,-2,1,1,1,4,4,0,5,2,-1,NO,,Non-magique,Aucun,,"Noblesse et héraldique
Étiquette et protocole de cour
Géographie de Faerûn
Histoire de la magie
Interactions culturelles
Ruines et sites archéologiques majeurs
Lois et coutumes des nations","Céramique et poterie
Alchimie théorique et pratique
Teinture et coloration",
CH-00052,3,Human,Damaran,Damara,Ferme isolée / Domaine,Chondathan + Nar + Reghed,None,"23,7",5,5,3,1,,0,3,4,"172,2","83,2",0,7,0,8,-2,-3,0,-3,3,8,2,2,4,NO,,Non-magique,Aucun,,"Artefacts et reliques légendaires
Noblesse et héraldique
Connaissance des organisations secrètes
Fêtes, calendriers et traditions
Astronomie et navigation stellaire","Forge et métallurgie
Céramique et poterie",Chondathan (Alphabet Thorass)
CH-00053,1,Human,Calishite,Calimshan,Grande Ville marchande,Chondathan + Mulhorandi + Tashalan,Arcanique,"-10,05",-3,-4,-5,4,,-3,0,4,"163,4","71,0",-1,-7,-2,-4,-1,9,-2,6,1,-8,-4,-2,-2,YES,Magicien,Arcaniste (magie savante),Aucun,,"Races anciennes (Netheril, Imaskar...)
Écoles et traditions magiques
Astronomie et navigation stellaire
Courants politiques et rivalités
Histoire des Royaumes Oubliés
Cultes et ordres religieux
Routes commerciales et voies marchandes","Fabrication d’instruments de musique
Forge et métallurgie
Fabrication de chandelles et savon","Thorass (Alphabet Thorass)
Espruar (Alphabet Espruar)"
CH-00054,3,Human,Damaran,Moonsea,Bourg / Petite ville,Chondathan,Théurgique,"-2,0",-1,-1,-1,1,,1,0,-2,"172,4","71,0",0,0,-2,-1,2,0,6,-1,-4,-1,-3,-1,-1,YES,Théurgiste,Théurgiste (magie divine instinctive),Aucun,,"Théorie de la Weave
Connaissance des guildes et corporations
Culture elfique
Routes commerciales et voies marchandes
Histoire des Royaumes Oubliés
Interactions culturelles",Charpenterie et travail du bois,Chondathan (Alphabet Thorass)
CH-00055,3,Human,Damaran,Damara,Ville fortifiée,Chondathan + Damaran + Illuskan,Arcanique,"-9,55",-1,-2,-4,7,,-8,3,4,"172,2","83,2",0,-6,-6,2,-7,5,2,-3,6,-6,-6,-5,-1,YES,Magicien,Arcaniste (magie savante),Aucun,,"Folklore et légendes locales
Religions et divinités majeures
Genasi et peuples élémentaires
Interactions culturelles
Connaissance des guildes et corporations","Joaillerie et orfèvrerie
Travail du verre et verrerie",Chondathan (Alphabet Thorass)
CH-00056,16,Dwarf,Gold Dwarf,Great Rift,Hameau isolé,Chondathan + Géant + Nain,None,"7,21",3,1,-5,2,,2,-1,38,"118,2","67,4",-7,1,3,5,0,6,0,4,1,4,4,1,6,NO,,Non-magique,Vision dans le noir + Robustesse naine,,"Chute de Myth Drannor
Spellplague et ses conséquences
Connaissance des dragons
Culture naine","Élevage et dressage
Parfumerie et cosmétique",
CH-00057,2,Human,Chondathan,Western Heartlands,Village rural,Chondathan + Cormyrian + Illuskan,None,"33,97",6,5,5,-3,,2,4,-4,"188,4","87,7",2,4,5,5,0,5,2,0,1,4,6,2,2,NO,,Non-magique,Aucun,,"Routes commerciales et voies marchandes
Artefacts et reliques légendaires
Culture elfique",Travail de la pierre,
CH-00058,3,Human,Damaran,Moonsea,Ville fortifiée,Chondathan + Damaran + Druidic,Arcanique,"-7,29",-1,-1,-1,2,,-8,0,0,"169,4","71,0",0,0,-3,1,-7,7,0,-1,2,0,-3,-1,1,YES,Magicien,Arcaniste (magie savante),Aucun,,"Courants politiques et rivalités
Culture orc et gobelinoïde
Routes commerciales et voies marchandes
Cultes et ordres religieux
Écoles et traditions magiques
Races anciennes (Netheril, Imaskar...)
Culture gnome","Apiculture
Charpenterie et travail du bois
Herboristerie et préparation de potions",
