ID,Race,Ethnicity,Origin_Region,Settlement_Type,Equipment_Group,Outdoor_Skills,Urban_Skills,Knowledge,Craft,Literacy,Spoken_Languages,Starting_Capital,Final_Pocket_Money_BP,Armes_et_Bouclier,Prebuilt_Kit_Tier,Prebuilt_Kit_Cost_Sp,Combat_Points,Magic,Magic_Type,Magic_Subtype,Grappling,Melee,Projectiles,Fencing,Skill_Modifier,Height_cm,Weight_kg,Size_Score,Balance,Quickness,Coordination,Precision,Endurance,Vigilance,Beauty,Stealth,Speed,Special,Generation_Date
CH-00011,Human,Chondathan,The Dalelands,Rural Village,Groupe3_Coeur_Continental,Open Land Navigation | Complex Terrain Navigation | Wild Plant Foraging | Forest Stealth | Plains Tracking,,Major Cities & Regions | History of Magic | Fey & Feywild Knowledge | Geography of Faerûn,Accounting & Estate Management | Beekeeping,Illuskan | Chondathan,Chondathan | Illuskan,152,30,"Jack of Plates, Kettle Hat, Mace, Dagger",Kit 29,149.0,29.66,NO,None,,8,4,-4,4,0,191.7,92.4,2,6,6,-6,-3,4,3,-7,-2,4,Aucun,2026-06-05 12:31:17
CH-00012,Human,Calishite,Calimshan,Caravan Oasis,Groupe2_Sud_Marchand,Desert Thermal Endurance | Wild Plant Foraging | Open Land Navigation | Plains Tracking,,Local Folklore & Legends | Court Etiquette & Protocol | Cultural Interactions,Alchemy (Theory & Practice) | Heraldry & Lineage,Calishite,Calishite | Lantanna,277,30,"Arming Doublet, Mail Voiders, Simple Breastplate, Vambraces + Couters, Bascinet (basic), Arming Sword, Dagger",Kit 48,274.0,5.36,NO,None,,-3,-1,5,-1,6,148.3,54.6,-3,4,3,1,5,-8,0,7,6,3,Aucun,2026-06-05 12:31:17
CH-00013,Dwarf,Shield Dwarf,Silver Marches (Luruar),Remote Trading Post,Groupe7_Marches_Argent,Underground Navigation | Mountain Endurance | Wild Plant Foraging | Complex Terrain Navigation | Technical Rock Climbing,Sleight of Hand & Cheating,"Halfling Culture | Festivals, Calendars & Traditions | Elven Culture | Court Etiquette & Protocol",Animal Husbandry & Training,Nain,Illuskan | Nain,145,90,"Padded Jack, Nasal Helmet, Mace, Kite Shield, Dagger",Kit 28,136.0,1.21,NO,None,,1,-3,3,-8,14,130.5,71.0,-5,-1,-3,-8,7,-2,-2,-8,-6,-6,Vision dans le noir + Robustesse naine,2026-06-05 12:31:17
CH-00014,Human,Turami,Turmish,Fishing Village,Groupe2_Sud_Marchand,Coastal Survival | Complex Terrain Navigation | Advanced Tracking | Technical Rock Climbing | Dark Water Swimming | Mountain Endurance,Urban Observation and Tailing | Fences and Buyers Network,"Ancient Realms (Netheril, Imaskar...) | Trade Routes & Commerce | Local Folklore & Legends | Geography of Faerûn",Candle & Soap Making | Carpentry & Woodworking | Dyeing & Textile Coloring,Turami | Thorass,Chessentan | Chondathan | Halruaan | Thorass | Turami,229,150,"Coat of Plates, Bascinet, Messer, Kite Shield, Dagger",Kit 39,214.0,1.02,NO,None,,2,0,0,-2,9,172.2,83.2,0,-1,-3,-2,2,-3,8,4,-4,-4,Aucun,2026-06-05 12:31:17
CH-00015,Half-elf,Sun Half-elf,Evermeet,Elven Enclave,Groupe13_Evermeet,Littoral Foraging,Streetwise (Urban Underworld) | Streetwise (Urban Underworld) | Black Market Operations | Urban Observation and Tailing | Urban Observation and Tailing | Forgery of Documents & Seals,Major Religions & Deities | Divine Myths & Legends | Dwarven Culture | Religious Cults & Orders,Smithing & Metallurgy | Cooking (Fine Cuisine) | Preservation & Salting,Céleste,Chondathan | Céleste | Elfique,300,60,"Arming Doublet, Mail Voiders, Simple Breastplate, Bascinet, Vambraces + Couters, Flanged Mace, Dagger",Kit 49,294.0,-4.26,YES,Théurgique,Magie Blanche,-4,-1,-1,-2,-4,149.7,54.6,-3,4,0,1,-1,4,3,7,6,0,Méditation + Immunité sommeil + VN (N1),2026-06-05 12:31:17
CH-00016,Human,Chondathan,Sword Coast,Major Port City,Groupe1_Cote_des_Epees,,Heraldry & Lineage Recognition | Sleight of Hand & Cheating | Criminal Organizations & Syndicates | Black Market Operations | Disguise & Impersonation,Trade Routes & Commerce | Ruins & Major Archaeological Sites | Divine Myths & Legends | Secret Organizations,Preservation & Salting,Chondathan,Chondathan | Cormyrian | Illuskan,287,40,"Arming Doublet, Mail Voiders, Jack of Plates, Vambraces + Couters, Sallet, Bill, Great Targe, Dagger",Kit 50,283.0,-2.16,YES,Arcanique,Magicien,-1,0,-3,1,-3,182.1,67.4,1,4,0,-2,-2,9,3,-1,2,-1,Aucun,2026-06-05 12:31:17
CH-00017,Human,Tethyrian,Sword Coast,Fishing Village,Groupe1_Cote_des_Epees,Desert Thermal Endurance | Forest Stealth | Advanced Tracking | Wild Plant Foraging | Game Butchering and Preservation,,Geography of Faerûn | History of the Realms | History of Imaskar | Major Religions & Deities,Locksmithing & Mechanisms | Navigation (Land & Sea),Chondathan | Thorass,Chondathan,178,90,"Gambeson (long / fended), Simple Breastplate, Heater Shield, Arming Sword, Dagger",Kit 31,169.0,-9.51,YES,Théurgique,Magie Blanche,-3,-4,-2,-5,4,156.3,67.4,-2,-7,1,-3,-1,3,4,2,-7,0,Aucun,2026-06-05 12:31:17
CH-00018,Human,Calishite,Calimshan,Metropolis,Groupe2_Sud_Marchand,Open Land Navigation,Streetwise (Urban Underworld) | Urban Stealth & Shadowing | Smuggling Networks | Fences and Buyers Network,Divine Myths & Legends | Nobility & Heraldry | Geography of Faerûn | Religious Cults & Orders,Alchemy (Theory & Practice),Tashalan | Mulhorandi,Chondathan | Mulhorandi | Tashalan | Thorass,511,140,"Arming Doublet, Mail Haubergeon, Breastplate + Backplate, Vambraces + Couters, Bascinet (basic), Longsword, Dagger",Kit 79,497.0,-3.65,YES,Arcanique,Magicien,-6,-4,3,-3,1,166.5,60.6,0,-2,-5,0,4,-1,4,-1,-1,-5,Aucun,2026-06-05 12:31:17
CH-00019,Human,Tethyrian,Western Heartlands,Isolated Farmstead,Groupe3_Coeur_Continental,Oceanic Navigation | Advanced Tracking | Forest Stealth | Coastal Survival | Arctic Hunting,,Major Cities & Regions | Legendary Artifacts & Relics | Dwarven Culture,Musical Instrument Making | Heraldry & Lineage,Thorass,Chondathan | Cormyrian | Thorass,155,0,"Reinforced Gambeson, Bascinet, Arming Sword, Dagger",Kit 30,155.0,-7.56,YES,Arcanique,Magicien,-3,-2,-3,-2,1,150.8,60.6,-2,-3,4,2,-4,4,-3,0,0,4,Aucun,2026-06-05 12:31:17
CH-00020,Human,Calishite,Calimshan,Metropolis,Groupe2_Sud_Marchand,,City Secrets & Hidden Routes | Streetwise (Urban Underworld) | Lockpicking and Trap Disarming,Political Currents & Rivalries | Secret Organizations | Court Etiquette & Protocol,Weaving & Spinning | Perfumery & Cosmetics,Calishite,Calishite | Thorass,688,340,"Courser, War Saddle, Bit & Bridle, Arming Doublet, Mail Voiders, Breastplate + Backplate, Vambraces + Couters, Armet, Lance, Broadsword, Dagger",Kit 90,654.0,-2.76,YES,Arcanique,Magicien,-2,-2,2,-3,1,163.5,63.9,-1,3,-4,-4,5,-1,2,1,1,-6,Aucun,2026-06-05 12:31:17
CH-00021,Human,Tethyrian,Amn,Major Trade City,Groupe2_Sud_Marchand,Advanced Tracking,Urban Observation and Tailing | Urban Stealth & Shadowing | Lockpicking and Trap Disarming,Orc & Goblinoid Culture | Political Currents & Rivalries | Geography of Faerûn | Local Folklore & Legends,Smithing & Metallurgy | Accounting & Estate Management,Illuskan | Thorass,Chondathan | Illuskan | Tethyrian,390,10,"Arming Doublet, Mail Voiders, Breastplate + Backplate, Vambraces + Couters, Tassets, Sallet, Pike, Arming Sword, Heater Shield, Dagger",Kit 64,389.0,-8.83,YES,Arcanique,Magicien,-6,-3,-1,-3,-4,140.6,49.1,-4,2,-1,5,-2,6,5,5,8,0,Aucun,2026-06-05 12:31:17
CH-00022,Dwarf,Gold Dwarf,Great Rift,Isolated Hamlet,Groupe6_Bloc_Nain,Underground Navigation | Complex Terrain Navigation | Advanced Tracking | Wild Plant Foraging,Streetwise (Urban Underworld) | High Society Manipulation,Dwarven Culture | Divine Myths & Legends | Political Currents & Rivalries,Cabinetmaking & Marquetry | Carpentry & Woodworking | Jewelry & Goldsmithing,Undercommon,Nain | Thorass | Undercommon,75,20,"Gambeson, Archer Bracer, Longbow, Arrows",Kit 18,73.0,2.67,NO,None,,4,-1,-1,-8,11,130.3,78.9,-5,5,-9,-4,3,-4,3,-2,0,-11,Vision dans le noir + Robustesse naine,2026-06-05 12:31:17
CH-00023,Human,Uthgardt,Spine of the World,Remote Trading Post,Groupe3_Coeur_Continental,Advanced Tracking | Oceanic Navigation | Forest Stealth | Plains Tracking,Guild Knowledge & Politics,Weave Theory | Trade Routes & Commerce | Magical Schools & Traditions | Laws & Customs of Nations,Navigation (Land & Sea),Illuskan,Géant | Illuskan | Reghed | Uthgardt,65,0,"Padded Jack, Kettle Hat, Pike",Kit 15,65.0,-4.65,YES,Théurgique,Magie Blanche,1,-1,-5,-3,3,173.8,83.2,0,-2,-5,-1,-3,-6,4,0,-4,-6,Aucun,2026-06-05 12:31:17
CH-00024,Human,Tethyrian,Amn,Caravan Oasis,Groupe2_Sud_Marchand,Open Land Navigation | Desert Thermal Endurance | Forest Stealth | Wild Plant Foraging | Advanced Tracking,Information Brokerage,Guilds & Organizations | Major Religions & Deities | Ruins & Major Archaeological Sites | History of Imaskar,Masonry,Chondathan | Thorass,Chessentan | Chondathan | Thorass,276,20,"Arming Doublet, Mail Voiders, Simple Breastplate, Vambraces + Couters, Bascinet (basic), Arming Sword, Dagger",Kit 48,274.0,35.44,NO,None,,1,3,10,3,-4,175.5,74.8,1,0,1,12,6,2,-1,10,6,5,Aucun,2026-06-05 12:31:17
CH-00025,Human,Calishite,Tethyr,Large Town,Groupe2_Sud_Marchand,Weather Reading | Wild Plant Foraging | Desert Thermal Endurance | Open Land Navigation,Noble Houses & Court Intrigue | Temple Politics & Religious Intrigue | Streetwise (Urban Underworld),Divine Myths & Legends | Genasi & Elemental Peoples | Ruins & Major Archaeological Sites,Jewelry & Goldsmithing | Accounting & Estate Management,Elfique,Calishite | Chondathan | Elfique | Thorass,314,20,"Jack of Plates, Sallet, Mail Voiders, Bill, Great Targe, Rondel Dagger",Kit 52,312.0,8.3,NO,None,,3,1,2,0,7,167.7,78.9,0,0,4,-4,3,2,3,0,-4,2,Aucun,2026-06-05 12:31:17
CH-00026,Human,Illuskan,Luskan,Large Town,Groupe1_Cote_des_Epees,Storm and Seasickness Mastery,Temple Politics & Religious Intrigue | Urban Observation and Tailing | Urban Stealth & Shadowing,Local Folklore & Legends | History of the Realms | Cultural Interactions | Court Etiquette & Protocol,Candle & Soap Making | Sail & Rope Making | Carpentry & Woodworking,Illuskan | Thorass,Illuskan,176,70,"Gambeson (long / fended), Simple Breastplate, Heater Shield, Arming Sword, Dagger",Kit 31,169.0,-2.64,YES,Théurgique,Magie Verte,1,0,-4,-1,0,175.4,83.2,1,-2,-3,1,-3,8,3,-2,-3,-3,Aucun,2026-06-05 12:31:17
CH-00027,Human,Rashemi,Thesk,Small Town,Groupe3_Coeur_Continental,Marsh Movement | Wild Plant Foraging,Urban Stealth & Shadowing | City Secrets & Hidden Routes | Noble Houses & Court Intrigue | Smuggling Networks,Dwarven Culture | Trade Routes & Commerce | Local Folklore & Legends,Bone & Ivory Carving,Mulhorandi,Chondathan | Mulhorandi | Rashemi | Thayan,174,50,"Gambeson (long / fended), Simple Breastplate, Heater Shield, Arming Sword, Dagger",Kit 31,169.0,-1.45,NO,None,,2,0,-5,-1,12,185.0,87.7,2,1,-6,-3,-2,7,2,0,-3,-7,Aucun,2026-06-05 12:31:17
CH-00028,Human,Tethyrian,Tethyr,Mountain Village,Groupe2_Sud_Marchand,Weather Reading | Desert Water Mastery | Open Land Navigation | Plains Tracking | Forest Stealth,Temple Politics & Religious Intrigue,Elven Culture | Dragon Lore | Laws & Customs of Nations | Guilds & Organizations,Sail & Rope Making,Tethyrian | Thorass,Chondathan | Lantanna | Tethyrian | Thorass,211,0,"Padded Jack, Mail Voiders, Coat of Plates, Vambraces + Couters, Kettle Hat, Mace, Dagger",Kit 42,211.0,-3.07,YES,Arcanique,Magicien,-5,-2,2,-1,-1,151.1,51.8,-2,1,3,0,2,6,-5,5,3,3,Aucun,2026-06-05 12:31:17
CH-00029,Human,Ulutiun,Great Glacier,Isolated Hamlet,Groupe3_Coeur_Continental,Marsh Disease Resistance | Mountain Endurance | Storm and Seasickness Mastery | Signaling and Rescue | Trapping and Snaring,Lockpicking and Trap Disarming,"Dragon Lore | Ancient Realms (Netheril, Imaskar...) | History of Magic | Gnomish Culture",Locksmithing & Mechanisms,Reghed | Sossrim,Illuskan | Reghed | Sossrim | Ulutiun,39,10,"Pourpoint, Small Targe, Knife, Javelin",Kit 07,38.0,12.58,NO,None,,3,2,2,2,6,191.8,87.7,2,-2,2,4,1,-3,2,5,-2,3,Aucun,2026-06-05 12:31:17
CH-00030,Human,Chondathan,Western Heartlands,Small Town,Groupe3_Coeur_Continental,Arctic Hunting | Open Land Navigation | Advanced Tracking | Island Navigation,Urban Stealth & Shadowing | Urban Stealth & Shadowing | Criminal Organizations & Syndicates,Political Currents & Rivalries | Local Folklore & Legends,Viticulture & Winemaking | Cooking (Fine Cuisine),Chondathan,Chondathan | Tethyrian,207,10,"Coat of Plates, Sallet, Poleaxe, Dagger",Kit 40,206.0,6.28,NO,None,,2,2,1,0,7,158.9,74.8,-1,3,-1,7,-1,-7,-4,5,6,1,Aucun,2026-06-05 12:31:17
CH-00031,Human,Chondathan,Western Heartlands,Isolated Farmstead,Groupe3_Coeur_Continental,Advanced Tracking | Complex Terrain Navigation | Trapping and Snaring | Plains Tracking | Deep-Sea Fishing | Open Land Navigation,Urban Stealth & Shadowing,"Cultural Interactions | Festivals, Calendars & Traditions | Major Cities & Regions | History of Imaskar",Masonry | Perfumery & Cosmetics,Illuskan | Chondathan,Chondathan | Illuskan,134,150,"Padded Jack, Sallet, Guisarme",Kit 27,119.0,1.64,NO,None,,-1,0,2,0,9,170.9,71.0,0,-1,1,1,2,0,1,-3,-1,1,Aucun,2026-06-05 12:31:17
CH-00032,Human,Damaran,Moonsea,Small Town,Groupe4_Vilhon_Est,Technical Rock Climbing | Complex Terrain Navigation | Advanced Tracking,Streetwise (Urban Underworld) | Streetwise (Urban Underworld) | Heraldry & Lineage Recognition | Black Market Operations,Political Currents & Rivalries | Dwarven Culture | Major Religions & Deities,Stoneworking | Glassworking,Reghed,Chondathan | Damaran | Reghed | Thorass,214,0,"Coat of Plates, Bascinet, Messer, Kite Shield, Dagger",Kit 39,214.0,0.0,NO,None,,1,0,-1,0,5,170.8,74.8,0,0,1,0,-1,9,8,3,-1,1,Aucun,2026-06-05 12:31:17
CH-00033,Halfling,Lightfoot Halfling,The Dalelands,Rural Village,Groupe3_Coeur_Continental,Complex Terrain Navigation | Advanced Tracking | Plains Tracking | Wild Plant Foraging,Black Market Operations,Major Cities & Regions | History of Imaskar | Geography of Faerûn | Trade Routes & Commerce,Viticulture & Winemaking,Illuskan,Chondathan | Illuskan | Sembian,165,100,"Reinforced Gambeson, Bascinet, Arming Sword, Dagger",Kit 30,155.0,8.44,NO,None,,-19,-5,8,0,-6,130.3,24.7,-5,5,4,16,2,-4,0,7,23,9,Furtivité,2026-06-05 12:31:17
CH-00034,Human,Tethyrian,The Dalelands,Remote Trading Post,Groupe3_Coeur_Continental,Forest Stealth | Plains Tracking | Advanced Tracking | Total Darkness Navigation | Complex Terrain Navigation | Wild Plant Foraging,City Secrets & Hidden Routes,Laws & Customs of Nations | History of the Realms | Dwarven Culture | Fey & Feywild Knowledge,Magical Goldsmithing (Theoretical),Tethyrian | Chondathan,Chondathan | Cormyrian | Tethyrian,190,40,"Jack of Plates, Sallet, Halberd, Dagger",Kit 37,186.0,-3.0,YES,Théurgique,Magie Blanche,-1,-1,0,-1,-1,150.8,63.9,-2,-1,4,0,0,-1,0,-1,0,4,Aucun,2026-06-05 12:31:17
CH-00035,Human,Illuskan,Spine of the World,Remote Trading Post,Groupe3_Coeur_Continental,Oceanic Navigation | Littoral Foraging | Subterranean Hazard Resistance | Storm and Seasickness Mastery | Deep-Sea Fishing,,Magical Schools & Traditions | Nobility & Heraldry | Legendary Artifacts & Relics | Divine Myths & Legends,Cooking (Fine Cuisine) | Dyeing & Textile Coloring,Illuskan,Illuskan | Northlander | Sossrim,86,10,"Gambeson, Bascinet, Pike",Kit 20,85.0,8.88,NO,None,,5,1,-4,1,12,202.0,108.2,4,-5,-1,-3,-2,-1,3,4,-10,-2,Aucun,2026-06-05 12:31:17
CH-00036,Human,Reghedman,Icewind Dale,Remote Trading Post,Groupe5_Nord_Sauvage,Trapping and Snaring | Snow and Ice Shelter Building | Arctic Hunting | Extreme Cold Resistance | River Crossing | Advanced Tracking,,Elven Culture | Major Cities & Regions | Secret Organizations,Carpentry & Woodworking | Fireworks Making,Illuskan,Illuskan | Reghed | Sossrim | Thorass,71,10,"Reinforced Gambeson (long), Kettle Hat, Reinforced Spear, Buckler",Kit 17,70.0,4.66,NO,None,,3,1,0,-1,9,172.3,78.9,0,5,-2,-4,2,7,0,-1,0,-4,Aucun,2026-06-05 12:31:17
CH-00037,Human,Tethyrian,Baldur's Gate,Fishing Village,Groupe1_Cote_des_Epees,Coastal Survival | Oceanic Navigation | Dark Water Swimming | Advanced Tracking,Urban Observation and Tailing,Halfling Culture | Genasi & Elemental Peoples | Nobility & Heraldry | Geography of Faerûn,Cabinetmaking & Marquetry | Ritual Object Crafting,Sembian | Thorass,Chondathan | Elfique | Sembian | Tethyrian,384,0,"Arming Doublet, Mail Shirt, Jack of Plates, Vambraces + Couters, Tassets, Sallet, Arming Sword, Great Targe, Dagger",Kit 63,384.0,2.57,NO,None,,3,1,-5,0,11,175.4,78.9,1,3,1,-6,-3,2,-3,2,-3,-1,Aucun,2026-06-05 12:31:17
CH-00038,Human,Calishite,Calimshan,Large Town,Groupe2_Sud_Marchand,Desert Thermal Endurance,Urban Stealth & Shadowing | City Secrets & Hidden Routes | Forgery of Documents & Seals,Guilds & Organizations | Local Folklore & Legends | Trade Routes & Commerce,Cooking (Fine Cuisine) | Calligraphy & Illumination,Mulhorandi,Chondathan | Mulhorandi | Thorass,400,20,"Arming Doublet, Mail Voiders, Breastplate + Backplate, Cuisses, Sallet, Longsword, Dagger",Kit 67,398.0,-10.86,YES,Théurgique,Magie Blanche,-5,-4,-2,-6,5,149.5,60.6,-3,-3,-4,0,-1,-5,-2,3,-1,-4,Aucun,2026-06-05 12:31:17
CH-00039,Human,Tethyrian,Tethyr,Rural Village,Groupe2_Sud_Marchand,Plains Tracking | Weather Reading | Wild Plant Foraging | Open Land Navigation,,"History of the Realms | Cosmology (Weave, Shadow Weave) | Political Currents & Rivalries | Major Religions & Deities",Leatherworking & Tanning | Shipbuilding,Tethyrian | Thorass,Cormyrian | Tethyrian,201,70,"Aketon, Mail Haubergeon, Kettle Hat, Reinforced Spear, Great Targe, Dagger",Kit 35,194.0,8.67,NO,None,,-1,-1,6,-2,10,167.7,74.8,0,0,-7,2,7,2,-3,4,0,-7,Aucun,2026-06-05 12:31:17
CH-00040,Human,Chondathan,Sembia,Major Trade City,Groupe2_Sud_Marchand,Advanced Tracking,Black Market Operations | Forgery of Documents & Seals | Urban Observation and Tailing,Fall of Myth Drannor | Trade Routes & Commerce | Political Currents & Rivalries | Fey & Feywild Knowledge,High Court Intrigue & Politics | Glassworking | Weaving & Spinning,Illuskan | Chondathan,Chondathan | Illuskan,587,240,"Courser, War Saddle, Bit & Bridle, Arming Doublet, Mail Haubergeon, Vambraces + Couters, Sallet, Lance, Arming Sword, Heater Shield, Dagger",Kit 85,563.0,22.61,NO,None,,6,3,1,3,7,202.0,108.2,4,-2,0,0,1,4,0,-7,-6,0,Aucun,2026-06-05 12:31:17
CH-00041,Human,Tethyrian,Western Heartlands,Small Town,Groupe3_Coeur_Continental,Oceanic Navigation | Advanced Tracking | Wild Plant Foraging,High Society Manipulation | Sleight of Hand & Cheating | Streetwise (Urban Underworld),Major Cities & Regions | Gnomish Culture | Nobility & Heraldry | Political Currents & Rivalries,Preservation & Salting | Dyeing & Textile Coloring | Accounting & Estate Management,Cormyrian | Chondathan,Chondathan | Cormyrian | Tethyrian,174,50,"Gambeson (long / fended), Simple Breastplate, Heater Shield, Arming Sword, Dagger",Kit 31,169.0,9.98,NO,None,,1,3,-4,4,0,180.5,67.4,1,8,2,6,-6,3,2,6,10,4,Aucun,2026-06-05 12:31:17
