ID,Level,Race,Ethnicity,Origin_Region,Settlement_Type,Equipment_Group,Outdoor_Skills,Urban_Skills,Knowledge,Craft,Literacy,Spoken_Languages,Starting_Capital,Magic_Item_Capital,Final_Pocket_Money_BP,Armes_et_Bouclier,Prebuilt_Kit_Tier,Prebuilt_Kit_Cost_Sp,Prebuilt_Kit_Source,Combat_Points,Magic,Magic_Type,Magic_Subtype,Magic_And_Spells,God,Grappling,Melee,Projectiles,Fencing,Reach,Skill_Modifier,Height_cm,Weight_kg,Size_Score,Balance,Quickness,Coordination,Precision,Endurance,Regeneration,Vigilance,Beauty,Stealth,Speed,Special,Generation_Date
CH-00011,1,Half-elf,Wood Half-elf,Cormyr,Large Town,Groupe3_Coeur_Continental,Forest Stealth | Shelter Construction,Criminal Organizations & Syndicates | Urban Stealth & Shadowing | City Secrets & Hidden Routes | Urban Observation and Tailing,Trade Routes & Commerce | Laws & Customs of Nations | Astronomy & Star Navigation,Cabinetmaking & Marquetry,Elfique,Chondathan | Elfique,977,411,270,"Arming Doublet, Mail Voiders, Breastplate, Backplate (hardened), Vambraces, Couter, Rerebrace, Gauntlets (articulated reinforced), Tassets, Cuisses, Poleyns, Knee Guards, Greaves, Sabatons, Armet, Bevor, Longsword, Dagger | Protector's Varnish (Uncommon) (380 sp) | Ammunition + (Common) (10 sp)",Kit 99,950.0,100_kits_XV_siecle_Cote_des_Epees_EN (1).txt,-7.03,YES,Théurgique,Magie Blanche,,Oghma,-3,-2,-5,-3,0,4,166.2,74.8,0,-13,3,-1,-5,1,6,2,-1,-12,2,Méditation + Immunité sommeil + VN (N1),2026-07-12 18:54:20
CH-00012,1,Human,Chondathan,Vilhon Reach,Major Port City,Groupe4_Vilhon_Est,,Criminal Organizations & Syndicates | Black Market Operations | Fences and Buyers Network,Dragon Lore | Geography of Faerûn | Elven Culture,Bone & Ivory Carving | Herbalism & Potion Brewing,Chondathan,Chondathan,1099,350,490,"Arming Doublet, Mail Voiders, Breastplate, Backplate (hardened), Vambraces, Couters, Gauntlets, Cuisses, Armet, Messer, Great Buckler, Dagger | Pilgrim’s Shell of the Road (Uncommon) (350 sp)",Kit 110,1050.0,100_kits_XV_siecle_Cote_des_Epees_EN (1).txt,16.82,NO,None,,,Azuth,7,3,-5,0,3,8,196.5,120.3,3,-4,-5,-2,-3,-1,8,8,-2,-10,-6,Aucun,2026-07-12 18:54:20
CH-00013,1,Human,Calishite,Calimshan,Metropolis,Groupe2_Sud_Marchand,Plains Tracking | Wild Plant Foraging,Disguise & Impersonation | Urban Observation and Tailing | Guild Knowledge & Politics | Forgery of Documents & Seals | Noble Houses & Court Intrigue | Streetwise (Urban Underworld),"Trade Routes & Commerce | Cosmology (Weave, Shadow Weave)",Accounting & Estate Management | Cartography,Thorass,Calishite | Thorass,1683,58,1030,"Arming Doublet, Mail Voiders, Breastplate, Backplate (hardened), Vambraces, Couters, Gauntlets, Cuisses, Sallet, Longbow, Arrows (24 / double sheaf), Longsword, Dagger | Ammunition +2 (1x) (Rare) (36 sp) | Ammunition + (Common) (10 sp)",Kit 130,1580.0,100_kits_XV_siecle_Cote_des_Epees_EN (1).txt,10.52,NO,None,,,Talona,1,0,5,0,0,8,170.8,74.8,0,2,0,0,5,-5,0,-2,-1,1,0,Aucun,2026-07-12 18:54:20
CH-00014,1,Gnome,Forest Gnome,Moonwood,Farming Hamlet,Groupe3_Coeur_Continental,Forest Stealth | Marsh Disease Resistance | Marsh Movement | Advanced Tracking | Wild Plant Foraging | Primitive Fire Mastery,Disguise & Impersonation,Major Religions & Deities | Geography of Faerûn,Bone & Ivory Carving | Leatherworking & Tanning | Accounting & Estate Management,None,Elfique | Gnomish,439,680,160,"Spellbook avec 6 sorts de niveau 1, Heavy Crossbow, Heavy Crossbow Bolts 12, Component Pouch, Dagger | Fan of the Gilded Court (Uncommon) (610 sp) | Leather Helmet +1 (Common) (40 sp) | Bead of Nourishment (Common) (30 sp)",Kit 042,423.0,100_Magician_Kits .txt,-10.6,YES,Arcanique,Magicien,Fog Cloud | Chill Touch | False Life | Mending | Fire Bolt | Detect Magic,Milil,-18,-12,3,-6,-8,-3,114.9,26.1,-8,4,0,3,2,3,9,-2,12,14,1,"Vision nocturne N1, Affinité nature",2026-07-12 18:54:20
CH-00015,1,Dwarf,Shield Dwarf,Citadel Adbar,Dwarven Fortress,Groupe6_Bloc_Nain,,Urban Stealth & Shadowing | Sleight of Hand & Cheating | Heraldry & Lineage Recognition,Political Currents & Rivalries | Ruins & Major Archaeological Sites,Leatherworking & Tanning,None,Nain | Undercommon,517,641,20,"Reinforced Gambeson, Longbow, Arrows (24 / double sheaf), Archer Bracer, Arming Sword, Dagger | Mask of a Thousand Faces (Uncommon) (620 sp) | Ammunition + (Common) (10 sp)",Kit 77,515.0,100_kits_XV_siecle_Cote_des_Epees_EN (1).txt,8.68,NO,None,,,None,3,1,2,-2,-4,4,140.1,74.8,-4,-2,5,7,-1,7,3,0,8,2,7,Vision dans le noir + Robustesse naine,2026-07-12 18:54:20
CH-00016,1,Human,Chondathan,Chondath,Rural Village,Groupe4_Vilhon_Est,Plains Tracking | Open Land Navigation | Littoral Foraging | Advanced Tracking | Oceanic Navigation,Sleight of Hand & Cheating,History of Netheril | Legendary Artifacts & Relics | Major Cities & Regions,Masonry,Chondathan,Chondathan,600,600,40,"Courser, War Saddle, Bit & Bridle, Arming Doublet, Mail Haubergeon, Vambraces, Couters, Sallet, Lance, Arming Sword, Great Buckler, Dagger, Knife | Smuggler's Compass (Uncommon) (590 sp) | Ammunition + (Common) (10 sp)",Kit 87,596.0,100_kits_XV_siecle_Cote_des_Epees_EN (1).txt,24.53,NO,None,,,Selûne,6,4,2,2,0,0,167.7,74.8,0,9,7,-2,2,3,-7,0,3,5,6,Aucun,2026-07-12 18:54:20
CH-00017,1,Human,Damaran,Impiltur,Small Town,Groupe3_Coeur_Continental,Littoral Foraging | Storm and Seasickness Mastery,Sleight of Hand & Cheating | Urban Stealth & Shadowing,,Alchemy (Theory & Practice) | Weapons & Armor Smithing,None,Chondathan,929,435,10,"Spellbook avec 6 sorts de niveau 1, Cranequin Crossbow, Heavy Crossbow Bolts 12, Component Pouch, Fine Cloak, Healing Potion good, Dagger, Parchemin de sort N1 : Mage Armor | Porter's Belt (Uncommon) (420 sp) | Ammunition + (Common) (10 sp)",Kit 141,928.0,100_Magician_Kits .txt,-7.41,YES,Arcanique,Magicien,Shield | Acid Splash | Color Spray | Charm Person | Prestidigitation | Sleep,Azuth,0,-3,-5,-3,0,2,167.7,74.8,0,2,-6,-5,-2,3,-8,9,0,-2,-8,Aucun,2026-07-12 18:54:20
CH-00018,1,Human,Tethyrian,Western Heartlands,Rural Village,Groupe3_Coeur_Continental,Advanced Tracking | Wild Plant Foraging | Forest Stealth | Total Darkness Navigation,Poison Lore & Subtle Application,Political Currents & Rivalries | Local Folklore & Legends | Aberration Lore,Sail & Rope Making | Masonry,Illuskan,Chondathan | Illuskan,582,609,260,"Rouncey, War Saddle, Bit & Bridle, Arming Doublet, Mail Voiders, Breastplate, Backplate, Vambraces, Couters, Sallet, Lance, Arming Sword, Great Buckler, Dagger, Knife | Smuggler's Compass (Uncommon) (590 sp) | Ammunition + (Common) (10 sp)",Kit 81,556.0,100_kits_XV_siecle_Cote_des_Epees_EN (1).txt,-5.09,NO,None,,,Waukeen,-1,-1,-5,0,-2,6,153.6,60.6,-2,4,1,5,-6,0,2,5,2,7,2,Aucun,2026-07-12 18:54:20
CH-00019,1,Human,Chondathan,Western Heartlands,Large Town,Groupe3_Coeur_Continental,Plains Tracking | Advanced Tracking | Open Land Navigation | Deep-Sea Fishing,Criminal Organizations & Syndicates | Black Market Operations | Streetwise (Urban Underworld),Trade Routes & Commerce | Ruins & Major Archaeological Sites | Nobility & Heraldry | Religious Cults & Orders,Musical Instrument Making,Chondathan | Thorass,Chondathan | Turmish,846,477,260,"Dragon Scale Brigandine, Glaive, Longbow, Arrows | Deft Cheat's Gloves (Uncommon) (460 sp) | Ammunition + (Common) (10 sp)",Kit 99,820.0,100_Kits_Druide_Complete_100kits.txt,-11.4,YES,Théurgique,Magie Verte,,Silvanus,-6,-5,-4,-3,-1,7,159.4,54.6,-1,3,-3,-6,-1,-5,-4,-7,-3,1,-5,Aucun,2026-07-12 18:54:20
CH-00020,1,Human,Chondathan,The Dalelands,Rural Village,Groupe3_Coeur_Continental,Forest Stealth | Wild Plant Foraging | Plains Tracking | Open Land Navigation,Poison Lore & Subtle Application,Weave Theory | Trade Routes & Commerce,Carpentry & Woodworking | Jewelry & Goldsmithing | Cooking (Fine Cuisine),Turmish,Chondathan | Turmish,537,631,90,"Courser, War Saddle, Bit & Bridle, Reinforced Gambeson, Mail Haubergeon, Sallet, Lance, Arming Sword, Great Buckler, Dagger | Darkness Guide Stone (Uncommon) (590 sp) | Bead of Nourishment (Common) (30 sp) | Ammunition + (Common) (10 sp)",Kit 84,528.0,100_kits_XV_siecle_Cote_des_Epees_EN (1).txt,33.55,NO,None,,,Tymora,7,6,-6,5,4,2,202.2,102.7,4,5,-1,0,-5,2,-4,-3,-8,0,-1,Aucun,2026-07-12 18:54:20
