ID,Level,Race,Ethnicity,Origin_Region,Settlement_Type,Equipment_Group,Outdoor_Skills,Urban_Skills,Knowledge,Craft,Literacy,Spoken_Languages,Starting_Capital,Final_Pocket_Money_BP,Armes_et_Bouclier,Prebuilt_Kit_Tier,Prebuilt_Kit_Cost_Sp,Combat_Points,Magic,Magic_Type,Magic_Subtype,Magic_And_Spells,God,Grappling,Melee,Projectiles,Fencing,Skill_Modifier,Height_cm,Weight_kg,Size_Score,Balance,Quickness,Coordination,Precision,Endurance,Vigilance,Beauty,Stealth,Speed,Special,Generation_Date
CH-00011,1,Human,Tethyrian,Tethyr,Large Town,Groupe2_Sud_Marchand,Wild Plant Foraging | Advanced Tracking,Urban Stealth & Shadowing | Streetwise (Urban Underworld),"Festivals, Calendars & Traditions | Astronomy & Star Navigation | History of Magic",Calligraphy & Illumination | Masonry,Chondathan,Chondathan,114,0,"Coat of Plates, Bascinet, Spear, Dagger",Kit 25,114.0,13.26,NO,None,,,Torm,4,2,-1,3,6,193.5,87.7,3,3,1,-2,0,2,2,11,-1,0,Aucun,2026-06-08 21:37:43
CH-00012,1,Human,Illuskan,Neverwinter,Forest Village,Groupe1_Cote_des_Epees,Deep-Sea Fishing | Storm and Seasickness Mastery | Wetland Tracking,,"Festivals, Calendars & Traditions | Laws & Customs of Nations | Local Folklore & Legends | Ancient Realms (Netheril, Imaskar...)",Shipbuilding | Calligraphy & Illumination | Cabinetmaking & Marquetry,Vaasan | Thorass,Illuskan | Vaasan,34,10,"Gambeson, Heater Shield",Kit 06,33.0,-3.26,YES,Arcanique,Magicien,Chill Touch | Mage Hand | Ray of Sickness | Shield | Color Spray | Thunderclap,Deneir,-2,1,-4,0,-6,163.6,60.6,-1,8,-3,4,-4,6,3,7,10,-2,Aucun,2026-06-08 21:37:43
CH-00013,1,Human,Illuskan,Luskan,Fishing Village,Groupe1_Cote_des_Epees,Deep-Sea Fishing | Marsh Disease Resistance | Littoral Foraging | Oceanic Navigation | Storm and Seasickness Mastery,Fences and Buyers Network,Fall of Myth Drannor | Local Folklore & Legends | Guilds & Organizations | Geography of Faerûn,Masonry,Illuskan | Thorass,Illuskan | Reghed,34,10,"Gambeson, Heater Shield",Kit 06,33.0,-11.64,YES,Sauvage,Magie Blanche,,Mystra,-2,-4,-8,-5,10,169.2,78.9,0,-10,-3,-4,-6,3,-3,-5,-12,-5,Aucun,2026-06-08 21:37:43
CH-00014,1,Human,Damaran,Impiltur,Major Port City,Groupe3_Coeur_Continental,Technical Rock Climbing,Guild Knowledge & Politics | Poison Lore & Subtle Application | High Society Manipulation,"Lost Kingdoms & Cities | Festivals, Calendars & Traditions | Divine Myths & Legends | Laws & Customs of Nations",Clockmaking & Complex Mechanisms,Damaran | Impilturan,Chondathan | Damaran | Impilturan,102,50,"Reinforced Gambeson, Archer Bracer, Kettle Hat, Longbow, Arrows",Kit 21,97.0,-4.23,YES,Arcanique,Magicien,Catapult | Alarm | Find Familiar | Blade Ward | Shocking Grasp | Light,Lathander,-5,-3,2,-2,0,165.0,60.6,-1,-8,5,1,1,4,1,-1,-5,5,Aucun,2026-06-08 21:37:43
CH-00015,1,Human,Tethyrian,Tethyr,Mountain Village,Groupe2_Sud_Marchand,Plains Tracking | Advanced Tracking | Wild Plant Foraging | Forest Stealth | Desert Water Mastery | Weather Reading,Criminal Organizations & Syndicates,Divine Myths & Legends | Laws & Customs of Nations | Religious Cults & Orders,Accounting & Estate Management | Jewelry & Goldsmithing | Beekeeping,Chondathan,Chondathan | Tethyrian,79,20,"Padded Jack, Kettle Hat, Billhook, Petty Buckler",Kit 19,77.0,-5.03,YES,Théurgique,Magie Blanche,,Helm,-6,-5,3,-5,0,149.6,57.5,-3,-11,5,0,2,0,7,2,-7,5,Aucun,2026-06-08 21:37:43
CH-00016,1,Human,Chondathan,Sembia,Small Town,Groupe2_Sud_Marchand,Wild Plant Foraging,Streetwise (Urban Underworld) | Guild Knowledge & Politics | Lockpicking and Trap Disarming,Political Currents & Rivalries | Astronomy & Star Navigation | Fall of Myth Drannor,Cartography | Masonry | Dyeing & Textile Coloring,Chondathan,Chondathan | Sembian,123,40,"Padded Jack, Sallet, Guisarme",Kit 27,119.0,15.26,NO,None,,,Tymora,4,2,1,3,6,195.3,87.7,3,6,-2,-4,3,-2,2,-4,0,-4,Aucun,2026-06-08 21:37:43
CH-00017,1,Human,Calishite,Lake of Steam,Fishing Village,Groupe3_Coeur_Continental,Littoral Foraging | Open Land Navigation | Storm and Seasickness Mastery | Desert Thermal Endurance | Oceanic Navigation | Coastal Survival,,Local Folklore & Legends | Elven Culture | Divine Myths & Legends | Nobility & Heraldry,Weaving & Spinning,Chondathan,Calishite | Chondathan | Thorass,50,30,"Aketon, Short bow, Arrows",Kit 09,47.0,-1.6,YES,Théurgique,Magie Blanche,,Sharess,-2,-1,-2,2,-1,169.6,60.6,0,-4,12,-2,-3,3,-2,2,-3,11,Aucun,2026-06-08 21:37:43
CH-00018,1,Human,Tethyrian,Baldur's Gate,Large Town,Groupe1_Cote_des_Epees,Wild Plant Foraging | Forest Stealth | Coastal Survival,Urban Observation and Tailing | Poison Lore & Subtle Application | Fences and Buyers Network,Trade Routes & Commerce | History of Imaskar | Major Cities & Regions | Cultural Interactions,Smithing & Metallurgy | Papermaking & Ink Making | Ceramics & Pottery,Sembian | Thorass,Sembian | Tethyrian,150,10,"Jack of Plates, Kettle Hat, Mace, Dagger",Kit 29,149.0,7.78,NO,None,,,Mielikki,2,3,-3,2,5,167.7,74.8,0,3,2,7,-5,-3,-2,0,6,4,Aucun,2026-06-08 21:37:43
CH-00019,1,Human,Ffolk,Moonshae Isles,Fishing Village,Groupe11_Moonshae,Coastal Survival | Hermetic Medicine | Dark Water Swimming | Storm and Seasickness Mastery | Desert Thermal Endurance | Oceanic Navigation,Sleight of Hand & Cheating,Local Folklore & Legends | Major Cities & Regions | Religious Cults & Orders,Smithing & Metallurgy,Chondathan,Chondathan | Ffolk | Illuskan,29,0,"Gambeson, Javelin, Dagger",Kit 05,29.0,13.8,NO,None,,,Chauntea,7,2,-5,-1,13,179.8,102.7,1,3,-4,-7,-1,-1,-5,0,-6,-7,Aucun,2026-06-08 21:37:43
CH-00020,1,Human,Calishite,Calimshan,Metropolis,Groupe2_Sud_Marchand,Open Land Navigation,Poison Lore & Subtle Application | Urban Stealth & Shadowing | Streetwise (Urban Underworld) | Heraldry & Lineage Recognition | Guild Knowledge & Politics,Weave Theory | Magical Schools & Traditions | Secret Organizations,Beekeeping,Chondathan,Calishite | Chondathan | Halruaan,220,60,"Coat of Plates, Bascinet, Messer, Kite Shield, Dagger",Kit 39,214.0,8.9,NO,None,,,Waukeen,5,1,-2,0,13,183.2,97.4,2,-2,1,-7,1,0,-3,-5,-9,-2,Aucun,2026-06-08 21:37:43
