ID,Level,Race,Ethnicity,Origin_Region,Settlement_Type,Equipment_Group,Outdoor_Skills,Urban_Skills,Knowledge,Craft,Literacy,Spoken_Languages,Starting_Capital,Magic_Item_Capital,Final_Pocket_Money_BP,Armes_et_Bouclier,Prebuilt_Kit_Tier,Prebuilt_Kit_Cost_Sp,Combat_Points,Magic,Magic_Type,Magic_Subtype,Magic_And_Spells,God,Grappling,Melee,Projectiles,Fencing,Skill_Modifier,Height_cm,Weight_kg,Size_Score,Balance,Quickness,Coordination,Precision,Endurance,Vigilance,Beauty,Stealth,Speed,Special,Generation_Date
CH-00011,1,Human,Chondathan,Sembia,Large Town,Groupe2_Sud_Marchand,Wild Plant Foraging | Weather Reading | Advanced Tracking,Sleight of Hand & Cheating | Poison Lore & Subtle Application | Guild Knowledge & Politics,Fall of Myth Drannor | Political Currents & Rivalries | Court Etiquette & Protocol,Herbalism & Potion Brewing,Chondathan,Chondathan | Illuskan | Sembian,486,207,190,"Brigandine (high quality), Armet, Heavy Crossbow, Heavy Crossbow Bolts, Rondel Dagger | Wind Fan (Uncommon) (100 sp) | Mini-Potion de soin (Common) (100 sp)",Kit 77,467.0,-1.16,NO,None,,,Helm,1,0,-3,0,9,169.4,71.0,0,3,1,-2,-2,-3,1,2,1,0,Aucun,2026-06-09 14:57:21
CH-00012,1,Human,Chondathan,Chondath,Rural Village,Groupe4_Vilhon_Est,Dark Water Swimming | Plains Tracking | Open Land Navigation | Coastal Survival | Advanced Tracking,,Trade Routes & Commerce | Gnomish Culture,Glassworking | Locksmithing & Mechanisms | Smithing & Metallurgy,Chondathan,Chondathan | Cormyrian,141,379,50,"Padded Jack, Nasal Helmet, Mace, Kite Shield, Dagger | Potion of Heroism (Rare) (270 sp) | Bead of Nourishment (Common) (30 sp) | Potion of Poison (Uncommon) (40 sp)",Kit 28,136.0,-0.16,NO,None,,,Torm,-3,0,1,1,8,159.2,60.6,-1,0,3,5,-1,-1,-4,7,4,4,Aucun,2026-06-09 14:57:21
CH-00013,1,Human,Rashemi,Aglarond,Farming Hamlet,Groupe4_Vilhon_Est,Wild Plant Foraging | Shelter Construction | Advanced Tracking | Marsh Movement | Forest Stealth,Disguise & Impersonation,"Cosmology (Weave, Shadow Weave) | Major Cities & Regions | Geography of Faerûn | Divine Myths & Legends",Musical Instrument Making | Viticulture & Winemaking,Infernal | Elfique,Aglarondan | Elfique | Infernal | Rashemi,87,406,20,"Gambeson, Bascinet, Pike | Mini-Potion de soin (Common) (100 sp) | Ring of Water Walking (Uncommon) (250 sp) | Philter of Love (Uncommon) (40 sp)",Kit 20,85.0,-1.62,YES,Théurgique,Magie Blanche,,Helm,-1,0,-2,1,-1,169.5,63.9,0,5,0,-1,-1,-1,0,5,4,-1,Aucun,2026-06-09 14:57:21
CH-00014,1,Human,Shaaran,Calimshan,Metropolis,Groupe2_Sud_Marchand,Advanced Tracking | Desert Water Mastery,High Society Manipulation | Heraldry & Lineage Recognition | Streetwise (Urban Underworld) | Guild Knowledge & Politics | Disguise & Impersonation | Fences and Buyers Network,Nobility & Heraldry | Laws & Customs of Nations | Trade Routes & Commerce,Architecture | Candle & Soap Making,Chondathan,Chondathan | Shaaran | Tashalan,474,213,70,"Brigandine (high quality), Armet, Heavy Crossbow, Heavy Crossbow Bolts, Rondel Dagger | Potion of Animal Friendship (Uncommon) (50 sp) | Mini-Potion de soin (Common) (100 sp) | Poudre de réveil (Common) (50 sp)",Kit 77,467.0,0.0,NO,None,,,Sune,0,0,-1,1,12,183.5,78.9,2,-2,0,0,-1,-1,-3,-5,-3,0,Aucun,2026-06-09 14:57:21
CH-00015,1,Human,Chondathan,Vilhon Reach,Remote Trading Post,Groupe4_Vilhon_Est,Weather Reading | Plains Tracking | Open Land Navigation | Advanced Tracking | Total Darkness Navigation,,Magical Schools & Traditions | Astronomy & Star Navigation | Major Cities & Regions | Court Etiquette & Protocol,Carpentry & Woodworking | Preservation & Salting,Halruaan | Chondathan,Chondathan | Halruaan | Illuskan,238,331,40,"Arming Doublet, Mail Voiders, Coat of Plates, Vambraces, Couters, Kettle Hat, Mace, Dagger | Wand of Secrets (Uncommon) (130 sp) | Mini-Potion de soin (Common) (100 sp) | Cape de séchage rapide (Common) (100 sp)",Kit 42,234.0,49.75,NO,None,,,Sune,7,6,4,7,-9,188.4,87.7,2,4,10,4,1,4,2,10,3,11,Aucun,2026-06-09 14:57:21
CH-00016,1,Human,Tethyrian,Baldur's Gate,Small Town,Groupe1_Cote_des_Epees,Advanced Tracking | Storm and Seasickness Mastery | Oceanic Navigation | Coastal Survival,Disguise & Impersonation | Black Market Operations,Gnomish Culture | Spellplague & Its Aftermath | Laws & Customs of Nations,Sail & Rope Making | Embroidery & Fine Sewing,Chondathan,Chondathan | Druidic | Illuskan,290,305,10,"Brigandine, Sallet, Longbow, Arrows, Arming Sword, Dagger | Eyes of Minute Seeing (Uncommon) (170 sp) | Potion of Diminution (Rare) (100 sp) | Bead of Nourishment (Common) (30 sp)",Kit 51,289.0,4.64,NO,None,,,Lathander,1,1,0,2,12,198.8,87.7,3,-5,1,3,-1,-5,-2,6,-5,2,Aucun,2026-06-09 14:57:21
CH-00017,1,Human,Calishite,Amn,Large Town,Groupe2_Sud_Marchand,Desert Thermal Endurance | Wild Plant Foraging,Poison Lore & Subtle Application | Lockpicking and Trap Disarming,Gnomish Culture | Fall of Myth Drannor | Trade Routes & Commerce | Major Religions & Deities,Fireworks Making,Thorass,Chondathan | Mulhorandi | Thorass,230,335,160,"Coat of Plates, Bascinet, Messer, Kite Shield, Dagger | Potion of Heroism (Rare) (270 sp) | Potion of Poison (Uncommon) (40 sp)",Kit 39,214.0,0.0,NO,None,,,Umberlee,-1,0,1,0,7,166.4,67.4,0,2,1,0,1,4,3,5,2,1,Aucun,2026-06-09 14:57:21
CH-00018,1,Half-elf,Wood Half-elf,High Forest,Logging Camp,Groupe3_Coeur_Continental,Hermetic Medicine | Wild Plant Foraging | Forest Stealth | Complex Terrain Navigation | Marsh Movement,Temple Politics & Religious Intrigue,"Laws & Customs of Nations | Political Currents & Rivalries | Ancient Realms (Netheril, Imaskar...) | Ruins & Major Archaeological Sites",Ceramics & Pottery,Elven High Speech | Elfique,Chondathan | Elfique | Elven High Speech,84,408,20,"Quarterstaff, Sling, Component Pouch, Healing Potion basic | Wand of Magic Detection (Uncommon) (210 sp) | Wand of Secrets (Uncommon) (130 sp) | Philter of Love (Uncommon) (40 sp)",Kit 32,82.0,-2.8,YES,Arcanique,Magicien,Alarm | Shocking Grasp | Light | Unseen Servant | Color Spray | Prestidigitation,None,-4,-3,1,-1,2,166.5,63.9,0,-4,2,-3,2,1,-1,-5,-4,1,Méditation + Immunité sommeil + VN (N1),2026-06-09 14:57:21
CH-00019,1,Human,Turami,Chondath,Forest Village,Groupe4_Vilhon_Est,Littoral Foraging | Coastal Survival | River Crossing | Oceanic Navigation,Streetwise (Urban Underworld) | Information Brokerage,Genasi & Elemental Peoples | Nobility & Heraldry | Guilds & Organizations | Laws & Customs of Nations,Carpentry & Woodworking | Glassworking,Chondathan,Chondathan | Turami,163,368,80,"Reinforced Gambeson, Bascinet, Arming Sword, Dagger | Potion of Climbing (Common) (80 sp) | Potion of Invisibility (Rare) (180 sp) | Potion of Water Breathing (Uncommon) (80 sp)",Kit 30,155.0,-6.94,YES,Sauvage,Magie Blanche,,Selûne,-3,-1,-2,-3,2,156.3,67.4,-2,-3,-3,7,-3,1,-4,1,2,-1,Aucun,2026-06-09 14:57:21
CH-00020,1,Elf,Wood Elf,Cormanthor,Forest Village,Groupe3_Coeur_Continental,Complex Terrain Navigation | Advanced Tracking | Shelter Construction | Forest Stealth,High Society Manipulation,Secret Organizations | History of Netheril | Nobility & Heraldry | Laws & Customs of Nations,Carpentry & Woodworking,Elfique | Thorass,Elfique | Sylvestre,95,402,100,"Gambeson, Bascinet, Pike | Horseshoes of Speed (Rare) (290 sp) | Cape de séchage rapide (Common) (100 sp)",Kit 20,85.0,0.84,NO,None,,,None,1,0,-3,-1,12,170.8,74.8,0,6,-7,1,-1,-2,-4,2,4,-7,Transe + Immunité sommeil + VN (N2),2026-06-09 14:57:21
