ID,Race,Ethnicity,Origin_Region,Settlement_Type,Equipment_Group,Outdoor_Skills,Urban_Skills,Knowledge,Craft,Literacy,Spoken_Languages,Starting_Capital,Starting_Equipment_Cost_BP,Starting_Equipment_Kit_Type,Post_Kit_Tier,Post_Kit_Tier_Name,Post_Kit_Purchases,Post_Kit_Total_Spent_BP,Final_Pocket_Money_BP,Armes_et_Armures,Autre_Equipement,Combat_Points,Magic,Magic_Type,Magic_Subtype,Grappling,Melee,Projectiles,Fencing,Skill_Modifier,Height_cm,Weight_kg,Size_Score,Balance,Quickness,Coordination,Precision,Endurance,Vigilance,Beauty,Stealth,Speed,Special,Generation_Date
CH-00120,Human,Tethyrian,Amn,Large Town,Groupe2_Sud_Marchand,Open Land Navigation | Advanced Tracking,Smuggling Networks | Streetwise (Urban Underworld) | Disguise & Impersonation | Criminal Organizations & Syndicates,Local Folklore & Legends | History of Imaskar,Stoneworking,Tethyrian,Chondathan | Tethyrian,2525,293.4,universal_standard,3,Wealthy,Kettle hat | Palfrey | Close Helmet (Maximilian) | Gauntlets (renforcés),2245.0,280,Belt (leather) + Belt pouch (large) | Map case + blank regional map | Lamp oil (flacon) x3 | Grappling hook | 10' pole | Crowbar (standard) | Bâton de marche / Walking Staff | Close Helmet (Maximilian) | Gauntlets (renforcés),Backpack (medium leather) | Tent 2-man leather | Sleeping furs (light) | Blanket (heavy) | Field rations (basic) x7 | Waterskin (1 gal) x2 | Canteen (1 pt) | Lantern (hooded) | Rope (standard 50') | Hammer + 10 pitons | Flint & steel | Tinderbox | Cloak (wool hooded) | Boots (normal leather) | Gloves (leather) | Hat (leather) | Kettle hat | Palfrey,5.96,NO,None,,-1,0,4,0,6,159.1,67.4,-1,-5,7,4,2,-7,3,3,-2,8,Aucun,2026-05-28 13:35:34
CH-00121,Human,Rashemi,Aglarond,Forest Village,Groupe4_Vilhon_Est,Shelter Construction | Marsh Movement | Forest Stealth,,Trade Routes & Commerce | Legendary Artifacts & Relics | History of Imaskar | Weave Theory,Weapons & Armor Smithing,Aglarondan | Thayan,Aglarondan | Rashemi | Thayan,871,293.4,universal_standard,1,Modest,Cutlass,480.0,391,Belt (leather) + Belt pouch (large) | Map case + blank regional map | Lamp oil (flacon) x3 | Grappling hook | 10' pole | Crowbar (standard) | Bâton de marche / Walking Staff | Cutlass,Backpack (medium leather) | Tent 2-man leather | Sleeping furs (light) | Blanket (heavy) | Field rations (basic) x7 | Waterskin (1 gal) x2 | Canteen (1 pt) | Lantern (hooded) | Rope (standard 50') | Hammer + 10 pitons | Flint & steel | Tinderbox | Cloak (wool hooded) | Boots (normal leather) | Gloves (leather) | Hat (leather),1.48,NO,None,,2,1,-3,0,7,172.3,78.9,0,3,-3,3,-3,5,3,2,3,-2,Aucun,2026-05-28 13:35:34
CH-00122,Human,Chondathan,Chondath,Fishing Village,Groupe4_Vilhon_Est,Littoral Foraging | Advanced Tracking | Open Land Navigation,Disguise & Impersonation | Information Brokerage,Laws & Customs of Nations | Halfling Culture | Guilds & Organizations | Magical Schools & Traditions,Accounting & Estate Management | Sail & Rope Making | Cooking (Fine Cuisine),Thorass | Cormyrian,Chondathan | Cormyrian,1237,293.4,universal_standard,1,Modest,Fauld | Plackart,720.0,517,Belt (leather) + Belt pouch (large) | Map case + blank regional map | Lamp oil (flacon) x3 | Grappling hook | 10' pole | Crowbar (standard) | Bâton de marche / Walking Staff | Fauld | Plackart,Backpack (medium leather) | Tent 2-man leather | Sleeping furs (light) | Blanket (heavy) | Field rations (basic) x7 | Waterskin (1 gal) x2 | Canteen (1 pt) | Lantern (hooded) | Rope (standard 50') | Hammer + 10 pitons | Flint & steel | Tinderbox | Cloak (wool hooded) | Boots (normal leather) | Gloves (leather) | Hat (leather),13.8,NO,None,,2,2,5,-1,6,163.3,74.8,-1,5,-2,2,5,6,-3,3,4,-2,Aucun,2026-05-28 13:35:34
CH-00123,Dwarf,Gold Dwarf,Mithral Hall,Mountain Village,Groupe6_Bloc_Nain,Technical Rock Climbing | Advanced Tracking | Snow and Ice Shelter Building | Underground Navigation,Guild Knowledge & Politics,"History of Netheril | Cosmology (Weave, Shadow Weave) | Orc & Goblinoid Culture | Cultural Interactions",Lens Making & Optics | Shipbuilding,Chondathan | Nain,Chondathan | Nain,854,293.4,universal_standard,1,Modest,Burgonet (Maximilian) | Waterskin (1 gal),553.0,301,Belt (leather) + Belt pouch (large) | Map case + blank regional map | Lamp oil (flacon) x3 | Grappling hook | 10' pole | Crowbar (standard) | Bâton de marche / Walking Staff | Burgonet (Maximilian),Backpack (medium leather) | Tent 2-man leather | Sleeping furs (light) | Blanket (heavy) | Field rations (basic) x7 | Waterskin (1 gal) x2 | Canteen (1 pt) | Lantern (hooded) | Rope (standard 50') | Hammer + 10 pitons | Flint & steel | Tinderbox | Cloak (wool hooded) | Boots (normal leather) | Gloves (leather) | Hat (leather) | Waterskin (1 gal),-3.8,YES,Théurgique,Magie Verte,2,-3,-2,-9,3,121.4,71.0,-7,-5,1,-3,-1,4,-2,-3,-6,0,Vision dans le noir + Robustesse naine,2026-05-28 13:35:34
CH-00124,Human,Tethyrian,Baldur's Gate,Small Town,Groupe1_Cote_des_Epees,Dark Water Swimming | Coastal Survival | Advanced Tracking,Black Market Operations | Streetwise (Urban Underworld) | Criminal Organizations & Syndicates,Religious Cults & Orders | Major Cities & Regions | Court Etiquette & Protocol,Dyeing & Textile Coloring,Elven High Speech,Chondathan | Elven High Speech,2883,293.4,universal_standard,2,Comfortable,Close Helmet (Maximilian) | Garde-reins,1000.0,1883,Belt (leather) + Belt pouch (large) | Map case + blank regional map | Lamp oil (flacon) x3 | Grappling hook | 10' pole | Crowbar (standard) | Bâton de marche / Walking Staff | Close Helmet (Maximilian) | Garde-reins,Backpack (medium leather) | Tent 2-man leather | Sleeping furs (light) | Blanket (heavy) | Field rations (basic) x7 | Waterskin (1 gal) x2 | Canteen (1 pt) | Lantern (hooded) | Rope (standard 50') | Hammer + 10 pitons | Flint & steel | Tinderbox | Cloak (wool hooded) | Boots (normal leather) | Gloves (leather) | Hat (leather),11.52,NO,None,,5,1,0,1,12,186.5,97.4,2,-5,4,-3,1,0,-4,-1,-9,3,Aucun,2026-05-28 13:35:34
CH-00125,Human,Chondathan,Sword Coast,Fishing Village,Groupe1_Cote_des_Epees,Signaling and Rescue | Plains Tracking | Open Land Navigation,,Political Currents & Rivalries | Elven Culture | Local Folklore & Legends | Guilds & Organizations,Forgery of Official Documents | Lens Making & Optics | Engraving on Metal & Gems,Chondathan,Chondathan | Tethyrian,1117,293.4,universal_standard,1,Modest,Morning Star,500.0,617,Belt (leather) + Belt pouch (large) | Map case + blank regional map | Lamp oil (flacon) x3 | Grappling hook | 10' pole | Crowbar (standard) | Bâton de marche / Walking Staff | Morning Star,Backpack (medium leather) | Tent 2-man leather | Sleeping furs (light) | Blanket (heavy) | Field rations (basic) x7 | Waterskin (1 gal) x2 | Canteen (1 pt) | Lantern (hooded) | Rope (standard 50') | Hammer + 10 pitons | Flint & steel | Tinderbox | Cloak (wool hooded) | Boots (normal leather) | Gloves (leather) | Hat (leather),6.3,NO,None,,2,2,-2,2,2,165.0,67.4,-1,8,4,-1,-2,4,5,3,6,3,Aucun,2026-05-28 13:35:34
CH-00126,Human,Tethyrian,The Dalelands,Farming Hamlet,Groupe3_Coeur_Continental,Complex Terrain Navigation | Advanced Tracking | Forest Stealth | Plains Tracking,,"Festivals, Calendars & Traditions | Laws & Customs of Nations",Perfumery & Cosmetics | Accounting & Estate Management | Leatherworking & Tanning,Illuskan,Chondathan | Illuskan | Tethyrian,909,293.4,universal_standard,1,Modest,Plackart,600.0,309,Belt (leather) + Belt pouch (large) | Map case + blank regional map | Lamp oil (flacon) x3 | Grappling hook | 10' pole | Crowbar (standard) | Bâton de marche / Walking Staff | Plackart,Backpack (medium leather) | Tent 2-man leather | Sleeping furs (light) | Blanket (heavy) | Field rations (basic) x7 | Waterskin (1 gal) x2 | Canteen (1 pt) | Lantern (hooded) | Rope (standard 50') | Hammer + 10 pitons | Flint & steel | Tinderbox | Cloak (wool hooded) | Boots (normal leather) | Gloves (leather) | Hat (leather),5.14,NO,None,,3,2,-3,0,8,169.2,83.2,0,2,-3,6,-4,4,-4,-2,3,-1,Aucun,2026-05-28 13:35:34
CH-00127,Dwarf,Shield Dwarf,Ironmaster,Mountain Village,Groupe3_Coeur_Continental,Mountain Endurance | Game Butchering and Preservation | Technical Rock Climbing | Underground Navigation | Marsh Movement,,Trade Routes & Commerce | History of Netheril | Court Etiquette & Protocol,Weapons & Armor Smithing | Cooking (Fine Cuisine),Nain,Nain,658,293.4,universal_standard,0,None,Gourdin / Cudgel | Cloak (wool),69.0,589,Belt (leather) + Belt pouch (large) | Map case + blank regional map | Lamp oil (flacon) x3 | Grappling hook | 10' pole | Crowbar (standard) | Bâton de marche / Walking Staff | Gourdin / Cudgel,Backpack (medium leather) | Tent 2-man leather | Sleeping furs (light) | Blanket (heavy) | Field rations (basic) x7 | Waterskin (1 gal) x2 | Canteen (1 pt) | Lantern (hooded) | Rope (standard 50') | Hammer + 10 pitons | Flint & steel | Tinderbox | Cloak (wool hooded) | Boots (normal leather) | Gloves (leather) | Hat (leather) | Cloak (wool),14.67,NO,None,,1,1,6,-2,4,144.0,71.0,-3,-2,1,8,4,0,-1,2,3,3,Vision dans le noir + Robustesse naine,2026-05-28 13:35:34
CH-00128,Human,Ffolk,Nelanther Isles,Major Port City,Groupe3_Coeur_Continental,Oceanic Navigation,Urban Observation and Tailing | Fences and Buyers Network | Black Market Operations | Heraldry & Lineage Recognition | Fences and Buyers Network,Trade Routes & Commerce | History of Netheril | Major Cities & Regions | Astronomy & Star Navigation,Masonry,Chondathan | Elfique,Chondathan | Elfique | Thorass,1250,293.4,universal_standard,1,Modest,Backpack (medium leather) | Pike,604.0,646,Belt (leather) + Belt pouch (large) | Map case + blank regional map | Lamp oil (flacon) x3 | Grappling hook | 10' pole | Crowbar (standard) | Bâton de marche / Walking Staff | Pike,Backpack (medium leather) | Tent 2-man leather | Sleeping furs (light) | Blanket (heavy) | Field rations (basic) x7 | Waterskin (1 gal) x2 | Canteen (1 pt) | Lantern (hooded) | Rope (standard 50') | Hammer + 10 pitons | Flint & steel | Tinderbox | Cloak (wool hooded) | Boots (normal leather) | Gloves (leather) | Hat (leather) | Backpack (medium leather),-12.69,YES,Théurgique,Magie Blanche,-4,-6,-4,-7,11,164.7,74.8,-1,-13,-4,-4,-1,1,-1,-8,-14,-6,Aucun,2026-05-28 13:35:34
CH-00129,Human,Illuskan,Spine of the World,Farming Hamlet,Groupe3_Coeur_Continental,Deep-Sea Fishing | Desert Thermal Endurance | Oceanic Navigation,,Cultural Interactions | Guilds & Organizations | History of the Realms | Religious Cults & Orders,Masonry | Cooking (Fine Cuisine) | Herbalism & Potion Brewing,Sossrim | Thorass,Illuskan | Sossrim,382,293.4,universal_standard,0,None,Parma,280.0,102,Belt (leather) + Belt pouch (large) | Map case + blank regional map | Lamp oil (flacon) x3 | Grappling hook | 10' pole | Crowbar (standard) | Bâton de marche / Walking Staff | Parma,Backpack (medium leather) | Tent 2-man leather | Sleeping furs (light) | Blanket (heavy) | Field rations (basic) x7 | Waterskin (1 gal) x2 | Canteen (1 pt) | Lantern (hooded) | Rope (standard 50') | Hammer + 10 pitons | Flint & steel | Tinderbox | Cloak (wool hooded) | Boots (normal leather) | Gloves (leather) | Hat (leather),-4.09,YES,Théurgique,Magie Blanche,0,0,-5,-1,2,164.8,71.0,-1,2,0,1,-5,-8,-2,8,2,0,Aucun,2026-05-28 13:35:34
CH-00130,Human,Chondathan,Chondath,Large Town,Groupe4_Vilhon_Est,River Crossing | Littoral Foraging,High Society Manipulation | Criminal Organizations & Syndicates | Urban Stealth & Shadowing,History of Imaskar | Dwarven Culture,Leatherworking & Tanning | Weapons & Armor Smithing | Cartography,Illuskan,Chondathan | Illuskan,1637,293.4,universal_standard,2,Comfortable,Glaive | Maille collerette ou manches | Buckler,1250.0,387,Belt (leather) + Belt pouch (large) | Map case + blank regional map | Lamp oil (flacon) x3 | Grappling hook | 10' pole | Crowbar (standard) | Bâton de marche / Walking Staff | Glaive | Maille collerette ou manches | Buckler,Backpack (medium leather) | Tent 2-man leather | Sleeping furs (light) | Blanket (heavy) | Field rations (basic) x7 | Waterskin (1 gal) x2 | Canteen (1 pt) | Lantern (hooded) | Rope (standard 50') | Hammer + 10 pitons | Flint & steel | Tinderbox | Cloak (wool hooded) | Boots (normal leather) | Gloves (leather) | Hat (leather),19.84,NO,None,,1,3,5,3,0,180.4,71.0,1,5,1,6,3,2,2,2,7,3,Aucun,2026-05-28 13:35:34
CH-00131,Human,Chondathan,Chondath,Small Town,Groupe4_Vilhon_Est,Plains Tracking | Oceanic Navigation,Urban Observation and Tailing | Heraldry & Lineage Recognition,Local Folklore & Legends | Major Cities & Regions | Major Religions & Deities | Divine Myths & Legends,Jewelry & Goldsmithing | Dyeing & Textile Coloring | Masonry,Chondathan,Chondathan | Thorass,1331,293.4,universal_standard,1,Modest,Short bow | Kettle hat | Buckler | Quiver,600.0,731,Belt (leather) + Belt pouch (large) | Map case + blank regional map | Lamp oil (flacon) x3 | Grappling hook | 10' pole | Crowbar (standard) | Bâton de marche / Walking Staff | Short bow | Buckler | Quiver,Backpack (medium leather) | Tent 2-man leather | Sleeping furs (light) | Blanket (heavy) | Field rations (basic) x7 | Waterskin (1 gal) x2 | Canteen (1 pt) | Lantern (hooded) | Rope (standard 50') | Hammer + 10 pitons | Flint & steel | Tinderbox | Cloak (wool hooded) | Boots (normal leather) | Gloves (leather) | Hat (leather) | Kettle hat,9.94,NO,None,,2,2,0,3,5,180.3,74.8,1,3,3,3,-1,-1,-1,-3,3,4,Aucun,2026-05-28 13:35:34
CH-00132,Dwarf,Shield Dwarf,Citadel Adbar,Dwarven Fortress,Groupe6_Bloc_Nain,Underground Navigation | Complex Terrain Navigation,Urban Observation and Tailing | Disguise & Impersonation | Fences and Buyers Network | Forgery of Documents & Seals | Urban Observation and Tailing,Genasi & Elemental Peoples | Guilds & Organizations | Local Folklore & Legends | Divine Myths & Legends,Smithing & Metallurgy | Stone & Wood Carving,Undercommon | Thorass,Géant | Nain | Undercommon,831,293.4,universal_standard,1,Modest,Palfrey | Buckler,790.0,41,Belt (leather) + Belt pouch (large) | Map case + blank regional map | Lamp oil (flacon) x3 | Grappling hook | 10' pole | Crowbar (standard) | Bâton de marche / Walking Staff | Buckler,Backpack (medium leather) | Tent 2-man leather | Sleeping furs (light) | Blanket (heavy) | Field rations (basic) x7 | Waterskin (1 gal) x2 | Canteen (1 pt) | Lantern (hooded) | Rope (standard 50') | Hammer + 10 pitons | Flint & steel | Tinderbox | Cloak (wool hooded) | Boots (normal leather) | Gloves (leather) | Hat (leather) | Palfrey,-7.75,YES,Théurgique,Magie Verte,-1,-5,-1,-9,9,130.5,71.0,-5,-8,-3,-4,1,-7,-4,-10,-9,-5,Vision dans le noir + Robustesse naine,2026-05-28 13:35:34
CH-00133,Human,Chondathan,The Dalelands,Forest Village,Groupe3_Coeur_Continental,Plains Tracking | Open Land Navigation | Desert Water Mastery | Complex Terrain Navigation | Advanced Tracking | Wild Plant Foraging,Urban Observation and Tailing,Trade Routes & Commerce | History of Imaskar | Religious Cults & Orders,Viticulture & Winemaking | Heraldry & Lineage,Chondathan,Chondathan | Cormyrian,789,293.4,universal_standard,1,Modest,Simple Breastplate,500.0,289,Belt (leather) + Belt pouch (large) | Map case + blank regional map | Lamp oil (flacon) x3 | Grappling hook | 10' pole | Crowbar (standard) | Bâton de marche / Walking Staff | Simple Breastplate,Backpack (medium leather) | Tent 2-man leather | Sleeping furs (light) | Blanket (heavy) | Field rations (basic) x7 | Waterskin (1 gal) x2 | Canteen (1 pt) | Lantern (hooded) | Rope (standard 50') | Hammer + 10 pitons | Flint & steel | Tinderbox | Cloak (wool hooded) | Boots (normal leather) | Gloves (leather) | Hat (leather),10.75,NO,None,,2,3,-6,4,7,193.7,78.9,3,4,2,1,-6,-3,-3,-7,2,2,Aucun,2026-05-28 13:35:34
CH-00134,Half-elf,Wood Half-elf,High Forest,Logging Camp,Groupe3_Coeur_Continental,Marsh Movement | Complex Terrain Navigation | Wild Plant Foraging | Advanced Tracking | Forest Stealth | Snow and Ice Shelter Building,Urban Stealth & Shadowing,History of Imaskar | Aberration Lore | History of Netheril | Divine Myths & Legends,Masonry,Chondathan,Chondathan | Elfique,719,293.4,universal_standard,1,Modest,Spear | Maille collerette ou manches,663.0,56,Belt (leather) + Belt pouch (large) | Map case + blank regional map | Lamp oil (flacon) x3 | Grappling hook | 10' pole | Crowbar (standard) | Bâton de marche / Walking Staff | Spear | Maille collerette ou manches,Backpack (medium leather) | Tent 2-man leather | Sleeping furs (light) | Blanket (heavy) | Field rations (basic) x7 | Waterskin (1 gal) x2 | Canteen (1 pt) | Lantern (hooded) | Rope (standard 50') | Hammer + 10 pitons | Flint & steel | Tinderbox | Cloak (wool hooded) | Boots (normal leather) | Gloves (leather) | Hat (leather),21.46,NO,None,,5,2,3,2,4,175.4,83.2,1,1,6,-3,3,7,-2,2,-3,5,Méditation + Immunité sommeil + VN (N1),2026-05-28 13:35:34
CH-00135,Human,Imaskari,Unther,Military Outpost,Groupe12_Old_Empires,Mountain Endurance | Technical Rock Climbing | Complex Terrain Navigation | Hermetic Medicine | Desert Water Mastery,Urban Stealth & Shadowing,Guilds & Organizations | Elven Culture | Major Religions & Deities | Local Folklore & Legends,Dyeing & Textile Coloring,Chondathan | Imaskari,Chondathan | Imaskari,976,293.4,universal_standard,0,None,Mail voiders (paire),300.0,676,Belt (leather) + Belt pouch (large) | Map case + blank regional map | Lamp oil (flacon) x3 | Grappling hook | 10' pole | Crowbar (standard) | Bâton de marche / Walking Staff | Mail voiders (paire),Backpack (medium leather) | Tent 2-man leather | Sleeping furs (light) | Blanket (heavy) | Field rations (basic) x7 | Waterskin (1 gal) x2 | Canteen (1 pt) | Lantern (hooded) | Rope (standard 50') | Hammer + 10 pitons | Flint & steel | Tinderbox | Cloak (wool hooded) | Boots (normal leather) | Gloves (leather) | Hat (leather),1.0,NO,None,,1,0,1,-1,9,166.3,71.0,0,8,-6,-4,4,3,2,5,4,-8,Aucun,2026-05-28 13:35:34
CH-00136,Human,Chondathan,Vilhon Reach,Large Town,Groupe4_Vilhon_Est,Plains Tracking,Guild Knowledge & Politics | Urban Observation and Tailing | Disguise & Impersonation | Lockpicking and Trap Disarming,Dwarven Culture | Major Religions & Deities | History of Imaskar,Masonry,Halruaan,Chondathan | Halruaan | Illuskan,1701,293.4,universal_standard,2,Comfortable,Sidesword | Broadsword,1200.0,501,Belt (leather) + Belt pouch (large) | Map case + blank regional map | Lamp oil (flacon) x3 | Grappling hook | 10' pole | Crowbar (standard) | Bâton de marche / Walking Staff | Sidesword | Broadsword,Backpack (medium leather) | Tent 2-man leather | Sleeping furs (light) | Blanket (heavy) | Field rations (basic) x7 | Waterskin (1 gal) x2 | Canteen (1 pt) | Lantern (hooded) | Rope (standard 50') | Hammer + 10 pitons | Flint & steel | Tinderbox | Cloak (wool hooded) | Boots (normal leather) | Gloves (leather) | Hat (leather),-4.24,YES,Théurgique,Magie Blanche,-2,-1,-2,0,4,174.1,67.4,0,-4,4,0,-2,-9,-5,0,-3,4,Aucun,2026-05-28 13:35:34
CH-00137,Human,Nar,Moonsea,Large Town,Groupe4_Vilhon_Est,Plains Tracking,Streetwise (Urban Underworld) | City Secrets & Hidden Routes | Poison Lore & Subtle Application,"Cosmology (Weave, Shadow Weave) | History of the Realms",Animal Husbandry & Training | Candle & Soap Making,None,Chondathan | Damaran | Sembian,1665,293.4,universal_standard,2,Comfortable,Light Crossbow | Courser | Buckler | Quiver,1430.0,235,Belt (leather) + Belt pouch (large) | Map case + blank regional map | Lamp oil (flacon) x3 | Grappling hook | 10' pole | Crowbar (standard) | Bâton de marche / Walking Staff | Light Crossbow | Buckler | Quiver,Backpack (medium leather) | Tent 2-man leather | Sleeping furs (light) | Blanket (heavy) | Field rations (basic) x7 | Waterskin (1 gal) x2 | Canteen (1 pt) | Lantern (hooded) | Rope (standard 50') | Hammer + 10 pitons | Flint & steel | Tinderbox | Cloak (wool hooded) | Boots (normal leather) | Gloves (leather) | Hat (leather) | Courser,28.9,NO,None,,8,5,0,1,-3,163.1,87.7,-1,10,-1,3,0,-2,6,8,7,0,Aucun,2026-05-28 13:35:34
CH-00138,Human,Illuskan,Luskan,Large Town,Groupe1_Cote_des_Epees,Storm and Seasickness Mastery | Deep-Sea Fishing,Criminal Organizations & Syndicates | Urban Observation and Tailing | Temple Politics & Religious Intrigue,Major Cities & Regions | Local Folklore & Legends | Weave Theory | History of the Realms,Leatherworking & Tanning,Sossrim | Illuskan,Illuskan | Sossrim | Vaasan,916,293.4,universal_standard,1,Modest,Lance | Voulge,800.0,116,Belt (leather) + Belt pouch (large) | Map case + blank regional map | Lamp oil (flacon) x3 | Grappling hook | 10' pole | Crowbar (standard) | Bâton de marche / Walking Staff | Lance | Voulge,Backpack (medium leather) | Tent 2-man leather | Sleeping furs (light) | Blanket (heavy) | Field rations (basic) x7 | Waterskin (1 gal) x2 | Canteen (1 pt) | Lantern (hooded) | Rope (standard 50') | Hammer + 10 pitons | Flint & steel | Tinderbox | Cloak (wool hooded) | Boots (normal leather) | Gloves (leather) | Hat (leather),-4.64,YES,Théurgique,Magie Verte,0,-1,-4,-1,7,180.2,78.9,1,-4,1,-4,-2,-5,-4,0,-7,-1,Aucun,2026-05-28 13:35:34
CH-00139,Human,Damaran,Moonsea,Large Town,Groupe4_Vilhon_Est,Primitive Fire Mastery | Advanced Tracking,Urban Observation and Tailing | Guild Knowledge & Politics | Criminal Organizations & Syndicates | Forgery of Documents & Seals,Geography of Faerûn | Laws & Customs of Nations | Nobility & Heraldry | Guilds & Organizations,Architecture | Shipbuilding | Lens Making & Optics,Thorass,Chondathan | Damaran | Illuskan,1743,293.4,universal_standard,1,Modest,Kettle hat | Light Crossbow | Quiver,870.0,873,Belt (leather) + Belt pouch (large) | Map case + blank regional map | Lamp oil (flacon) x3 | Grappling hook | 10' pole | Crowbar (standard) | Bâton de marche / Walking Staff | Light Crossbow | Quiver,Backpack (medium leather) | Tent 2-man leather | Sleeping furs (light) | Blanket (heavy) | Field rations (basic) x7 | Waterskin (1 gal) x2 | Canteen (1 pt) | Lantern (hooded) | Rope (standard 50') | Hammer + 10 pitons | Flint & steel | Tinderbox | Cloak (wool hooded) | Boots (normal leather) | Gloves (leather) | Hat (leather) | Kettle hat,-8.04,YES,Arcanique,Magicien,-2,-2,-4,-3,6,174.0,71.0,0,0,-3,-6,-1,-5,-1,-5,-4,-5,Aucun,2026-05-28 13:35:34
CH-00140,Dwarf,Shield Dwarf,Citadel Adbar,Dwarven Fortress,Groupe6_Bloc_Nain,,Criminal Organizations & Syndicates | Lockpicking and Trap Disarming | Streetwise (Urban Underworld) | Disguise & Impersonation,Astronomy & Star Navigation | History of Magic | Geography of Faerûn | Dragon Lore,Masonry,Nain,Nain,877,293.4,universal_standard,0,None,Buckler,220.0,657,Belt (leather) + Belt pouch (large) | Map case + blank regional map | Lamp oil (flacon) x3 | Grappling hook | 10' pole | Crowbar (standard) | Bâton de marche / Walking Staff | Buckler,Backpack (medium leather) | Tent 2-man leather | Sleeping furs (light) | Blanket (heavy) | Field rations (basic) x7 | Waterskin (1 gal) x2 | Canteen (1 pt) | Lantern (hooded) | Rope (standard 50') | Hammer + 10 pitons | Flint & steel | Tinderbox | Cloak (wool hooded) | Boots (normal leather) | Gloves (leather) | Hat (leather),-1.07,NO,None,,2,-1,-2,-5,11,145.2,74.8,-3,4,-5,-4,1,-2,3,-2,0,-7,Vision dans le noir + Robustesse naine,2026-05-28 13:35:34
CH-00141,Human,Chultan,Tashalar,Fishing Village,Groupe3_Coeur_Continental,Game Butchering and Preservation | Coastal Survival | Wild Plant Foraging | Marsh Disease Resistance | Littoral Foraging | Marsh Movement,Disguise & Impersonation,Aberration Lore | History of the Realms,Cooking (Fine Cuisine),None,Chondathan | Chultan | Tashalan | Yuan-ti,1038,293.4,universal_standard,1,Modest,Broadsword,825.0,213,Belt (leather) + Belt pouch (large) | Map case + blank regional map | Lamp oil (flacon) x3 | Grappling hook | 10' pole | Crowbar (standard) | Bâton de marche / Walking Staff | Broadsword,Backpack (medium leather) | Tent 2-man leather | Sleeping furs (light) | Blanket (heavy) | Field rations (basic) x7 | Waterskin (1 gal) x2 | Canteen (1 pt) | Lantern (hooded) | Rope (standard 50') | Hammer + 10 pitons | Flint & steel | Tinderbox | Cloak (wool hooded) | Boots (normal leather) | Gloves (leather) | Hat (leather),23.78,NO,None,,2,4,3,5,-2,169.5,67.4,0,5,7,8,-1,4,-4,10,9,9,Aucun,2026-05-28 13:35:34
CH-00142,Human,Tuigan,Hordelands (The Endless Wastes),Military Outpost,Groupe3_Coeur_Continental,Plains Tracking | Open Land Navigation | Weather Reading | Confined Space Stealth | Advanced Tracking,Information Brokerage | Guild Knowledge & Politics,"Trade Routes & Commerce | Geography of Faerûn | Ancient Realms (Netheril, Imaskar...)",Fireworks Making | Jewelry & Goldsmithing | Beekeeping,Tuigan,Thorass | Tuigan,502,293.4,universal_standard,1,Modest,Tassets,375.0,127,Belt (leather) + Belt pouch (large) | Map case + blank regional map | Lamp oil (flacon) x3 | Grappling hook | 10' pole | Crowbar (standard) | Bâton de marche / Walking Staff | Tassets,Backpack (medium leather) | Tent 2-man leather | Sleeping furs (light) | Blanket (heavy) | Field rations (basic) x7 | Waterskin (1 gal) x2 | Canteen (1 pt) | Lantern (hooded) | Rope (standard 50') | Hammer + 10 pitons | Flint & steel | Tinderbox | Cloak (wool hooded) | Boots (normal leather) | Gloves (leather) | Hat (leather),-1.62,NO,None,,-1,-2,1,0,11,185.2,78.9,2,-7,2,-1,1,5,4,-2,-8,1,Aucun,2026-05-28 13:35:34
CH-00143,Human,Calishite,Calimshan,Metropolis,Groupe2_Sud_Marchand,Desert Thermal Endurance | Wild Plant Foraging,Fences and Buyers Network | Sleight of Hand & Cheating | Urban Stealth & Shadowing | Criminal Organizations & Syndicates | Poison Lore & Subtle Application,Trade Routes & Commerce | Dragon Lore | Major Cities & Regions | Local Folklore & Legends,Rare Dye Making | Alchemy (Theory & Practice) | Poison Lore & Application,Infernal | Thorass,Chondathan | Halruaan | Infernal | Mulhorandi,3394,293.4,universal_standard,3,Wealthy,Bec de Corbin | Arming Doublet | Buckler,2295.0,1099,Belt (leather) + Belt pouch (large) | Map case + blank regional map | Lamp oil (flacon) x3 | Grappling hook | 10' pole | Crowbar (standard) | Bâton de marche / Walking Staff | Bec de Corbin | Arming Doublet | Buckler,Backpack (medium leather) | Tent 2-man leather | Sleeping furs (light) | Blanket (heavy) | Field rations (basic) x7 | Waterskin (1 gal) x2 | Canteen (1 pt) | Lantern (hooded) | Rope (standard 50') | Hammer + 10 pitons | Flint & steel | Tinderbox | Cloak (wool hooded) | Boots (normal leather) | Gloves (leather) | Hat (leather),15.22,NO,None,,-3,-1,8,0,2,152.2,60.6,-2,-5,5,8,5,-3,3,2,2,7,Aucun,2026-05-28 13:35:34
