ID,Race,Ethnicity,Origin_Region,Settlement_Type,Equipment_Group,Outdoor_Skills,Urban_Skills,Knowledge,Craft,Literacy,Spoken_Languages,Starting_Capital,Starting_Equipment_Cost_BP,Starting_Equipment_Kit_Type,Starting_Armor_Set,Starting_Armor_Cost_BP,Starting_Capital_After_Armor_BP,Post_Kit_Tier,Post_Kit_Tier_Name,Post_Kit_Purchases,Post_Kit_Total_Spent_BP,Final_Pocket_Money_BP,Armes_et_Armures,Autre_Equipement,Combat_Points,Magic,Magic_Type,Magic_Subtype,Grappling,Melee,Projectiles,Fencing,Skill_Modifier,Height_cm,Weight_kg,Size_Score,Balance,Quickness,Coordination,Precision,Endurance,Vigilance,Beauty,Stealth,Speed,Special,Generation_Date
CH-00011,Human,Calishite,Amn,Rural Village,Groupe2_Sud_Marchand,Open Land Navigation | Desert Thermal Endurance | Advanced Tracking | Wild Plant Foraging | Primitive Fire Mastery,Disguise & Impersonation,"Cosmology (Weave, Shadow Weave) | Trade Routes & Commerce | Court Etiquette & Protocol | Spellplague & Its Aftermath",Embroidery & Fine Sewing,Calishite,Calishite | Chondathan | Infernal | Lantanna,89,293.4,universal_standard,Aucune,0,0,0,,,0,5,Belt (leather) + Belt pouch (large) | Map case + blank regional map | Lamp oil (flacon) x3 | Grappling hook | 10' pole | Crowbar (standard) | Bâton de marche / Walking Staff,Backpack (medium leather) | Tent 2-man leather | Sleeping furs (light) | Blanket (heavy) | Field rations (basic) x7 | Waterskin (1 gal) x2 | Canteen (1 pt) | Lantern (hooded) | Rope (standard 50') | Hammer + 10 pitons | Flint & steel | Tinderbox | Cloak (wool hooded) | Boots (normal leather) | Gloves (leather) | Hat (leather),5.68,NO,None,,3,2,-2,0,8,159.0,71.0,-1,8,0,-2,-1,-9,-3,5,5,-1,Aucun,2026-05-31 23:48:00
CH-00012,Human,Chondathan,Western Heartlands,Rural Village,Groupe3_Coeur_Continental,Advanced Tracking | Open Land Navigation | Savanna Plant Knowledge | Wild Plant Foraging,,Guilds & Organizations | Legendary Artifacts & Relics | Major Cities & Regions,Papermaking & Ink Making | Navigation (Land & Sea) | Masonry,Illuskan,Chondathan | Illuskan,57,293.4,universal_standard,Aucune,0,0,0,,,0,0,Belt (leather) + Belt pouch (large) | Map case + blank regional map | Lamp oil (flacon) x3 | Grappling hook | 10' pole | Crowbar (standard) | Bâton de marche / Walking Staff,Backpack (medium leather) | Tent 2-man leather | Sleeping furs (light) | Blanket (heavy) | Field rations (basic) x7 | Waterskin (1 gal) x2 | Canteen (1 pt) | Lantern (hooded) | Rope (standard 50') | Hammer + 10 pitons | Flint & steel | Tinderbox | Cloak (wool hooded) | Boots (normal leather) | Gloves (leather) | Hat (leather),3.02,NO,None,,1,1,-2,2,8,183.4,83.2,2,-3,1,3,-3,1,4,1,-3,2,Aucun,2026-05-31 23:48:00
CH-00013,Dwarf,Shield Dwarf,Silver Marches (Luruar),Forest Village,Groupe7_Marches_Argent,Wild Plant Foraging | Technical Rock Climbing | Underground Navigation | Weather Reading | Complex Terrain Navigation | Mountain Endurance,,History of Netheril | Guilds & Organizations,Accounting & Estate Management | Preservation & Salting | Viticulture & Winemaking,None,Illuskan | Nain | Reghed,37,293.4,universal_standard,Aucune,0,0,0,,,0,0,Belt (leather) + Belt pouch (large) | Map case + blank regional map | Lamp oil (flacon) x3 | Grappling hook | 10' pole | Crowbar (standard) | Bâton de marche / Walking Staff,Backpack (medium leather) | Tent 2-man leather | Sleeping furs (light) | Blanket (heavy) | Field rations (basic) x7 | Waterskin (1 gal) x2 | Canteen (1 pt) | Lantern (hooded) | Rope (standard 50') | Hammer + 10 pitons | Flint & steel | Tinderbox | Cloak (wool hooded) | Boots (normal leather) | Gloves (leather) | Hat (leather),-6.3,YES,Théurgique,Magie Verte,-1,-4,0,-9,7,135.2,71.0,-5,-6,-4,-1,2,-1,-5,-2,-6,-5,Vision dans le noir + Robustesse naine,2026-05-31 23:48:00
CH-00014,Human,Calishite,Calimshan,Major Trade City,Groupe2_Sud_Marchand,Plains Tracking | Desert Thermal Endurance,Heraldry & Lineage Recognition | Urban Stealth & Shadowing | Disguise & Impersonation | Urban Observation and Tailing,Elven Culture | Religious Cults & Orders | Dragon Lore | Secret Organizations,Calligraphy & Illumination | Viticulture & Winemaking,Halruaan | Thorass,Calishite | Chondathan | Halruaan | Lantanna,227,293.4,universal_standard,Aucune,0,0,0,,,0,90,Belt (leather) + Belt pouch (large) | Map case + blank regional map | Lamp oil (flacon) x3 | Grappling hook | 10' pole | Crowbar (standard) | Bâton de marche / Walking Staff,Backpack (medium leather) | Tent 2-man leather | Sleeping furs (light) | Blanket (heavy) | Field rations (basic) x7 | Waterskin (1 gal) x2 | Canteen (1 pt) | Lantern (hooded) | Rope (standard 50') | Hammer + 10 pitons | Flint & steel | Tinderbox | Cloak (wool hooded) | Boots (normal leather) | Gloves (leather) | Hat (leather),10.56,NO,None,,2,2,2,2,4,181.9,74.8,1,5,2,-1,2,-1,4,6,2,1,Aucun,2026-05-31 23:48:00
CH-00015,Human,Illuskan,Sword Coast,Major Port City,Groupe1_Cote_des_Epees,,Streetwise (Urban Underworld) | Black Market Operations | Criminal Organizations & Syndicates,Elven Culture | Genasi & Elemental Peoples | Major Cities & Regions | Astronomy & Star Navigation,Leatherworking & Tanning | Stone & Wood Carving | Navigation (Land & Sea),Illuskan,Chondathan | Illuskan,99,293.4,universal_standard,Aucune,0,0,0,,,0,5,Belt (leather) + Belt pouch (large) | Map case + blank regional map | Lamp oil (flacon) x3 | Grappling hook | 10' pole | Crowbar (standard) | Bâton de marche / Walking Staff,Backpack (medium leather) | Tent 2-man leather | Sleeping furs (light) | Blanket (heavy) | Field rations (basic) x7 | Waterskin (1 gal) x2 | Canteen (1 pt) | Lantern (hooded) | Rope (standard 50') | Hammer + 10 pitons | Flint & steel | Tinderbox | Cloak (wool hooded) | Boots (normal leather) | Gloves (leather) | Hat (leather),4.04,NO,None,,3,1,-2,0,12,175.4,83.2,1,1,0,-2,-1,-3,-6,5,-2,-1,Aucun,2026-05-31 23:48:00
CH-00016,Human,Chondathan,Sembia,Smuggler's Port,Groupe2_Sud_Marchand,Wild Plant Foraging | Forced March Endurance | Plains Tracking | Weather Reading | Complex Terrain Navigation | Open Land Navigation,City Secrets & Hidden Routes,Legendary Artifacts & Relics | Political Currents & Rivalries | Magical Schools & Traditions | Guilds & Organizations,Weapons & Armor Smithing | Shipbuilding,Chessentan | Thorass,Chessentan | Chondathan | Illuskan,140,293.4,universal_standard,Aucune,0,0,0,,,0,40,Belt (leather) + Belt pouch (large) | Map case + blank regional map | Lamp oil (flacon) x3 | Grappling hook | 10' pole | Crowbar (standard) | Bâton de marche / Walking Staff,Backpack (medium leather) | Tent 2-man leather | Sleeping furs (light) | Blanket (heavy) | Field rations (basic) x7 | Waterskin (1 gal) x2 | Canteen (1 pt) | Lantern (hooded) | Rope (standard 50') | Hammer + 10 pitons | Flint & steel | Tinderbox | Cloak (wool hooded) | Boots (normal leather) | Gloves (leather) | Hat (leather),-5.64,YES,Arcanique,Magicien,-1,-1,-4,-1,1,168.0,67.4,0,2,-2,0,-3,-1,0,-13,2,-2,Aucun,2026-05-31 23:48:00
CH-00017,Human,Tethyrian,Sword Coast,Remote Trading Post,Groupe1_Cote_des_Epees,Desert Thermal Endurance | Primitive Fire Mastery | Wild Plant Foraging | Advanced Tracking | Forest Stealth,Disguise & Impersonation,"Cosmology (Weave, Shadow Weave) | Festivals, Calendars & Traditions | Geography of Faerûn",Weaving & Spinning | Glassworking,Tethyrian,Chondathan | Cormyrian | Elfique | Tethyrian,62,293.4,universal_standard,Aucune,0,0,0,,,0,5,Belt (leather) + Belt pouch (large) | Map case + blank regional map | Lamp oil (flacon) x3 | Grappling hook | 10' pole | Crowbar (standard) | Bâton de marche / Walking Staff,Backpack (medium leather) | Tent 2-man leather | Sleeping furs (light) | Blanket (heavy) | Field rations (basic) x7 | Waterskin (1 gal) x2 | Canteen (1 pt) | Lantern (hooded) | Rope (standard 50') | Hammer + 10 pitons | Flint & steel | Tinderbox | Cloak (wool hooded) | Boots (normal leather) | Gloves (leather) | Hat (leather),-0.16,NO,None,,1,0,-3,1,10,177.0,74.8,1,3,1,-4,-1,-6,3,11,-1,-1,Aucun,2026-05-31 23:48:00
CH-00018,Human,Netherese,Le Nord (The North),Isolated Hamlet,Groupe5_Nord_Sauvage,Mountain Endurance | Underground Navigation | Technical Rock Climbing,Sleight of Hand & Cheating,Halfling Culture | Spellplague & Its Aftermath,Rare Dye Making | Glassworking,None,Illuskan | Netherese | Reghed,21,293.4,universal_standard,Aucune,0,0,0,,,0,0,Belt (leather) + Belt pouch (large) | Map case + blank regional map | Lamp oil (flacon) x3 | Grappling hook | 10' pole | Crowbar (standard) | Bâton de marche / Walking Staff,Backpack (medium leather) | Tent 2-man leather | Sleeping furs (light) | Blanket (heavy) | Field rations (basic) x7 | Waterskin (1 gal) x2 | Canteen (1 pt) | Lantern (hooded) | Rope (standard 50') | Hammer + 10 pitons | Flint & steel | Tinderbox | Cloak (wool hooded) | Boots (normal leather) | Gloves (leather) | Hat (leather),1.04,NO,None,,-1,-2,3,-1,13,175.4,78.9,1,-8,-1,3,3,-4,-2,-1,-6,0,Aucun,2026-05-31 23:48:00
CH-00019,Human,Chondathan,The Dalelands,Rural Village,Groupe3_Coeur_Continental,Complex Terrain Navigation | Wild Plant Foraging | Open Land Navigation | Advanced Tracking | Plains Tracking,Temple Politics & Religious Intrigue,Major Religions & Deities | Gnomish Culture | Religious Cults & Orders,Cooking (Fine Cuisine) | Masonry,Thorass,Chondathan | Thorass,58,293.4,universal_standard,Aucune,0,0,0,,,0,10,Belt (leather) + Belt pouch (large) | Map case + blank regional map | Lamp oil (flacon) x3 | Grappling hook | 10' pole | Crowbar (standard) | Bâton de marche / Walking Staff,Backpack (medium leather) | Tent 2-man leather | Sleeping furs (light) | Blanket (heavy) | Field rations (basic) x7 | Waterskin (1 gal) x2 | Canteen (1 pt) | Lantern (hooded) | Rope (standard 50') | Hammer + 10 pitons | Flint & steel | Tinderbox | Cloak (wool hooded) | Boots (normal leather) | Gloves (leather) | Hat (leather),11.54,NO,None,,5,2,-2,1,11,186.6,92.4,2,3,-1,-5,0,-2,-2,-6,-4,-3,Aucun,2026-05-31 23:48:00
CH-00020,Human,Illuskan,Icewind Dale,Mountain Village,Groupe5_Nord_Sauvage,Rope Making and Knot Mastery | Storm and Seasickness Mastery | Oceanic Navigation | Deep-Sea Fishing,Criminal Organizations & Syndicates,Geography of Faerûn | Laws & Customs of Nations,Masonry | Accounting & Estate Management,None,Illuskan | Reghed,26,293.4,universal_standard,Aucune,0,0,0,,,0,2,Belt (leather) + Belt pouch (large) | Map case + blank regional map | Lamp oil (flacon) x3 | Grappling hook | 10' pole | Crowbar (standard) | Bâton de marche / Walking Staff,Backpack (medium leather) | Tent 2-man leather | Sleeping furs (light) | Blanket (heavy) | Field rations (basic) x7 | Waterskin (1 gal) x2 | Canteen (1 pt) | Lantern (hooded) | Rope (standard 50') | Hammer + 10 pitons | Flint & steel | Tinderbox | Cloak (wool hooded) | Boots (normal leather) | Gloves (leather) | Hat (leather),-9.06,YES,Théurgique,Magie Blanche,-2,-3,-4,-4,5,180.2,78.9,1,-4,-9,-1,-1,2,4,-2,-5,-10,Aucun,2026-05-31 23:48:00
CH-00021,Human,Tethyrian,Amn,Major Trade City,Groupe2_Sud_Marchand,,Urban Observation and Tailing | Urban Stealth & Shadowing | Urban Stealth & Shadowing | Criminal Organizations & Syndicates,Elven Culture | History of the Realms | Political Currents & Rivalries | Divine Myths & Legends,Papermaking & Ink Making | Accounting & Estate Management | Alchemy (Theory & Practice),Thorass,Chondathan | Thorass,150,293.4,universal_standard,Aucune,0,0,0,,,0,60,Belt (leather) + Belt pouch (large) | Map case + blank regional map | Lamp oil (flacon) x3 | Grappling hook | 10' pole | Crowbar (standard) | Bâton de marche / Walking Staff,Backpack (medium leather) | Tent 2-man leather | Sleeping furs (light) | Blanket (heavy) | Field rations (basic) x7 | Waterskin (1 gal) x2 | Canteen (1 pt) | Lantern (hooded) | Rope (standard 50') | Hammer + 10 pitons | Flint & steel | Tinderbox | Cloak (wool hooded) | Boots (normal leather) | Gloves (leather) | Hat (leather),-4.9,YES,Sauvage,Magie Blanche,-1,0,-7,0,-1,166.4,67.4,0,4,-3,3,-7,-1,0,-1,5,-2,Aucun,2026-05-31 23:48:00
CH-00022,Human,Raumviran,Rashemen,Forest Village,Groupe10_Rashemen,Mountain Endurance | Extreme Cold Resistance | Snow and Ice Shelter Building | Forest Stealth | Advanced Tracking,,Secret Organizations | Laws & Customs of Nations,Cabinetmaking & Marquetry | Weaving & Spinning | Masonry,None,Infernal | Raumviran,39,293.4,universal_standard,Aucune,0,0,0,,,0,0,Belt (leather) + Belt pouch (large) | Map case + blank regional map | Lamp oil (flacon) x3 | Grappling hook | 10' pole | Crowbar (standard) | Bâton de marche / Walking Staff,Backpack (medium leather) | Tent 2-man leather | Sleeping furs (light) | Blanket (heavy) | Field rations (basic) x7 | Waterskin (1 gal) x2 | Canteen (1 pt) | Lantern (hooded) | Rope (standard 50') | Hammer + 10 pitons | Flint & steel | Tinderbox | Cloak (wool hooded) | Boots (normal leather) | Gloves (leather) | Hat (leather),21.89,NO,None,,6,2,4,0,8,186.3,108.2,2,-5,-3,6,3,-3,-2,4,-5,-1,Aucun,2026-05-31 23:48:00
CH-00023,Human,Chondathan,Chondath,Rural Village,Groupe4_Vilhon_Est,Plains Tracking | River Crossing | Littoral Foraging | Advanced Tracking | Coastal Survival,,Laws & Customs of Nations | Divine Myths & Legends | Major Cities & Regions,Leatherworking & Tanning,Chondathan,Chessentan | Chondathan,69,293.4,universal_standard,Aucune,0,0,0,,,0,0,Belt (leather) + Belt pouch (large) | Map case + blank regional map | Lamp oil (flacon) x3 | Grappling hook | 10' pole | Crowbar (standard) | Bâton de marche / Walking Staff,Backpack (medium leather) | Tent 2-man leather | Sleeping furs (light) | Blanket (heavy) | Field rations (basic) x7 | Waterskin (1 gal) x2 | Canteen (1 pt) | Lantern (hooded) | Rope (standard 50') | Hammer + 10 pitons | Flint & steel | Tinderbox | Cloak (wool hooded) | Boots (normal leather) | Gloves (leather) | Hat (leather),0.55,NO,None,,2,0,-5,1,9,178.6,74.8,1,2,4,-6,-3,-2,5,-9,-3,2,Aucun,2026-05-31 23:48:00
CH-00024,Human,Chondathan,Vilhon Reach,Fishing Village,Groupe4_Vilhon_Est,Open Land Navigation | Advanced Tracking | Plains Tracking | Marsh Disease Resistance,Black Market Operations,Major Cities & Regions | Divine Myths & Legends | Geography of Faerûn,Carpentry & Woodworking,Chondathan,Chondathan | Cormyrian | Thorass,64,293.4,universal_standard,Aucune,0,0,0,,,0,0,Belt (leather) + Belt pouch (large) | Map case + blank regional map | Lamp oil (flacon) x3 | Grappling hook | 10' pole | Crowbar (standard) | Bâton de marche / Walking Staff,Backpack (medium leather) | Tent 2-man leather | Sleeping furs (light) | Blanket (heavy) | Field rations (basic) x7 | Waterskin (1 gal) x2 | Canteen (1 pt) | Lantern (hooded) | Rope (standard 50') | Hammer + 10 pitons | Flint & steel | Tinderbox | Cloak (wool hooded) | Boots (normal leather) | Gloves (leather) | Hat (leather),14.26,NO,None,,2,3,0,4,2,185.2,78.9,2,2,3,6,-2,4,-1,-1,4,5,Aucun,2026-05-31 23:48:00
