ID,Race,Ethnicity,Origin_Region,Settlement_Type,Equipment_Group,Outdoor_Skills,Urban_Skills,Knowledge,Craft,Literacy,Spoken_Languages,Starting_Capital,Starting_Equipment_Cost_BP,Starting_Equipment_Kit_Type,Final_Pocket_Money_BP,Armes_et_Bouclier,Armure,Monture_et_Reste,Equipment_Source,Prebuilt_Kit_Tier,Prebuilt_Kit_Cost_Sp,Combat_Points,Magic,Magic_Type,Magic_Subtype,Grappling,Melee,Projectiles,Fencing,Skill_Modifier,Height_cm,Weight_kg,Size_Score,Balance,Quickness,Coordination,Precision,Endurance,Vigilance,Beauty,Stealth,Speed,Special,Generation_Date
CH-00011,Half-elf,Moon Half-elf,Silver Marches (Luruar),Farming Hamlet,Groupe7_Marches_Argent,Complex Terrain Navigation | Mountain Endurance | Wild Plant Foraging,Criminal Organizations & Syndicates | Streetwise (Urban Underworld),Ruins & Major Archaeological Sites | History of Magic | History of Imaskar | Genasi & Elemental Peoples,Sail & Rope Making,Illuskan | Elfique,Chondathan | Elfique | Illuskan,202,293.4,universal_standard,101,"Battle Axe, Hand Axe, Javelin (x3), Velites Parma (Size 9)","Cervelière, Gambeson (basic)",Aucun,PrebuiltTieredKit,201-400sp,202,-4.94,YES,Sauvage,Magie Verte,-3,-2,-1,-3,-2,146.9,57.5,-3,0,1,1,-1,4,2,2,2,1,Méditation + Immunité sommeil + VN (N1),2026-06-04 17:13:13
CH-00012,Human,Illuskan,Luskan,Fishing Village,Groupe1_Cote_des_Epees,Confined Space Stealth | Deep-Sea Fishing | Oceanic Navigation | Plains Tracking | Complex Terrain Navigation,City Secrets & Hidden Routes,Trade Routes & Commerce | Local Folklore & Legends,Herbalism & Potion Brewing | Leatherworking & Tanning | Shipbuilding,None,Illuskan,222,293.4,universal_standard,121,"Arming Sword, Falchion, Staff Sling, Scutum (Size 11)","Leather Helmet, Padded Jack (medium / troop), Couter (pair)",Sling bullets (72),PrebuiltTieredKit,201-400sp,221,2.64,NO,None,,2,0,0,0,8,191.7,92.4,2,-9,4,-1,0,3,10,-2,-11,3,Aucun,2026-06-04 17:13:13
CH-00013,Half-elf,Wood Half-elf,Cormanthor,Elven Enclave,Groupe3_Coeur_Continental,Complex Terrain Navigation,Information Brokerage | Streetwise (Urban Underworld) | Urban Observation and Tailing | Urban Stealth & Shadowing | Smuggling Networks,Dwarven Culture | Nobility & Heraldry | History of the Realms | Religious Cults & Orders,Carpentry & Woodworking | Cooking (Fine Cuisine) | Ceramics & Pottery,Chondathan,Chondathan | Druidic,261,293.4,universal_standard,130,"Reinforced Spear, Messer, Sling, Heater Shield (Size 8)","Bascinet (basic), Mail coif, Reinforced Gambeson (long), Vambraces + Couter",Sling bullets (72),PrebuiltTieredKit,201-400sp,261,41.7,NO,None,,7,6,2,5,-6,178.6,83.2,1,9,7,1,1,1,0,6,6,7,Méditation + Immunité sommeil + VN (N1),2026-06-04 17:13:13
CH-00014,Dwarf,Gold Dwarf,Great Rift,Mining Camp,Groupe6_Bloc_Nain,Underground Navigation | Advanced Tracking | Wild Plant Foraging | Technical Rock Climbing,,"Festivals, Calendars & Traditions | History of Imaskar | Ruins & Major Archaeological Sites | Aberration Lore",Engraving on Metal & Gems,Thorass | Nain,Nain | Thorass,341,293.4,universal_standard,170,"Falchion, Javelin (x3), Scutum (Size 11)","Great Helm, Breastplate + Backplate, Pourpoint (light civil), Gorget (normal), Couter (pair), Schynbalds / Demi-greaves",Aucun,PrebuiltTieredKit,201-400sp,341,-1.9,NO,None,,0,-1,1,-7,5,122.6,60.6,-7,3,-3,4,1,10,3,-3,6,-2,Vision dans le noir + Robustesse naine,2026-06-04 17:13:13
CH-00015,Human,Chondathan,Chondath,Forest Village,Groupe4_Vilhon_Est,Dark Water Swimming | Coastal Survival | River Crossing | Oceanic Navigation | Advanced Tracking,Streetwise (Urban Underworld) | Forgery of Documents & Seals,Legendary Artifacts & Relics | Geography of Faerûn,Accounting & Estate Management | Shipbuilding | Cooking (Fine Cuisine),Chessentan,Chessentan | Chondathan | Infernal,392,293.4,universal_standard,206,"Composite Bow (quality), Falchion","Cervelière, Aventail, Pourpoint (light civil), Bevor, Couter (pair), Sabatons (broad bear-foot)",Arrows (12),PrebuiltTieredKit,201-400sp,391,6.43,NO,None,,2,2,-6,3,6,180.3,74.8,1,3,3,2,-7,-2,1,1,3,3,Aucun,2026-06-04 17:13:13
CH-00016,Human,Damaran,The Cold Lands,Mountain Village,Groupe3_Coeur_Continental,Extreme Cold Resistance | Complex Terrain Navigation | Technical Rock Climbing | Mountain Endurance | Snow and Ice Shelter Building,Urban Observation and Tailing,Major Cities & Regions | Nobility & Heraldry | Court Etiquette & Protocol | Political Currents & Rivalries,Glassworking,Illuskan | Reghed,Damaran | Illuskan | Reghed,195,293.4,universal_standard,98,"Falchion, Hand Axe, Sling, Large Rotella (Size 7)","Morion, Reinforced Gambeson, Couter (pair)",Sling bullets (12),PrebuiltTieredKit,101-200sp,195,18.65,NO,None,,7,3,-7,2,8,175.3,87.7,1,7,4,-10,-4,-11,-1,-3,-3,0,Aucun,2026-06-04 17:13:13
CH-00017,Human,Chondathan,Sword Coast,Fishing Village,Groupe1_Cote_des_Epees,Total Darkness Navigation | Wetland Tracking | Advanced Tracking | Plains Tracking | Open Land Navigation,,Laws & Customs of Nations | Divine Myths & Legends | Major Cities & Regions | Elven Culture,Navigation (Land & Sea) | Architecture,Turmish | Chondathan,Chondathan | Illuskan | Turmish,409,293.4,universal_standard,255,"Glaive, Hand Axe","Barbute (Italian), Breastplate + Backplate, Arming Doublet, Vambraces + Couter + Rerebrace, Fauld, Garde-reins",Aucun,PrebuiltTieredKit,401-700sp,404,12.96,NO,None,,3,3,1,2,4,190.1,87.7,2,7,-8,5,1,2,4,6,6,-7,Aucun,2026-06-04 17:13:13
CH-00018,Human,Mulan,Mulhorand,Caravan Oasis,Groupe8_Mulhorand,Desert Water Mastery | Marsh Movement | Open Land Navigation | Advanced Tracking | Weather Reading | Desert Thermal Endurance,,Major Cities & Regions | History of the Realms | Dragon Lore | Nobility & Heraldry,Papermaking & Ink Making | Dyeing & Textile Coloring,Mulhorandi,Chessentan | Mulhorandi,337,293.4,universal_standard,168,"Longbow, Messer","Barbute (Italian), Mail Shirt (sleeveless), Pourpoint (light civil), Gorget (normal), Gauntlets (normal), Schynbalds / Demi-greaves",Arrows (24),PrebuiltTieredKit,201-400sp,337,-1.0,NO,None,,1,-1,0,-1,7,160.6,67.4,-1,2,5,-9,2,-2,11,2,-4,2,Aucun,2026-06-04 17:13:13
CH-00019,Dwarf,Gold Dwarf,Great Rift,Isolated Hamlet,Groupe6_Bloc_Nain,Mountain Endurance | Wild Plant Foraging | Technical Rock Climbing | Underground Navigation | Advanced Tracking,Urban Stealth & Shadowing | Criminal Organizations & Syndicates,"Ancient Realms (Netheril, Imaskar...) | History of Netheril | Ruins & Major Archaeological Sites",Herbalism & Potion Brewing | Shipbuilding | Heraldry & Lineage,Nain,Géant | Nain | Thorass,203,293.4,universal_standard,112,"Battle Axe, Hand Axe, Javelin (x3), Velites Parma (Size 9)","Cervelière, Gambeson (basic)",Aucun,PrebuiltTieredKit,201-400sp,202,-5.44,YES,Théurgique,Magie Verte,1,-2,-3,-9,-1,116.1,67.4,-8,-2,-4,5,-3,2,2,-1,1,-3,Vision dans le noir + Robustesse naine,2026-06-04 17:13:13
CH-00020,Human,Chondathan,Vilhon Reach,Fishing Village,Groupe4_Vilhon_Est,Plains Tracking | Advanced Tracking | Snow and Ice Shelter Building | Battlefield Riding | Open Land Navigation,,History of the Realms | Aberration Lore | Trade Routes & Commerce,Masonry,Turmish,Chondathan | Turmish,498,293.4,universal_standard,249,"Light Flail, Arming Sword","Nasal Helmet, Mail Coat (long with sleeves), Reinforced Gambeson (long), Gorget (normal), Couter (pair), Gauntlets (normal), Cuisses (normal), Schynbalds / Demi-greaves",Aucun,PrebuiltTieredKit,401-700sp,498,5.88,NO,None,,-4,-1,5,0,7,166.5,60.6,0,3,-4,3,5,2,-2,-3,5,-3,Aucun,2026-06-04 17:13:13
CH-00021,Human,Calishite,Lake of Steam,Smuggler's Port,Groupe3_Coeur_Continental,Storm and Seasickness Mastery | Desert Water Mastery | Oceanic Navigation,Black Market Operations,Political Currents & Rivalries | Secret Organizations | Major Cities & Regions | Weave Theory,Herbalism & Potion Brewing | Cooking (Fine Cuisine) | Alchemy (Theory & Practice),Chondathan | Mulhorandi,Chondathan | Mulhorandi | Thorass,371,293.4,universal_standard,186,"Spear, Arming Sword, Sling, Velites Parma (Size 9)","Burgonet, Mail coif, Simple Breastplate, Mail voiders (pair), Gauntlets (normal), Cuisses (reinforced Maximilian), Poleyns + Knee guards",Sling bullets (72),PrebuiltTieredKit,201-400sp,372,10.56,NO,None,,2,2,2,2,8,181.9,74.8,1,6,2,-1,2,-1,-6,2,3,1,Aucun,2026-06-04 17:13:13
CH-00022,Human,Chondathan,The Dalelands,Remote Trading Post,Groupe3_Coeur_Continental,Plains Tracking | Oceanic Navigation | Complex Terrain Navigation | Wild Plant Foraging | Open Land Navigation | Forest Stealth,,Ruins & Major Archaeological Sites | Magical Schools & Traditions,Herbalism & Potion Brewing | Weaving & Spinning,Chessentan,Chessentan | Chondathan,412,293.4,universal_standard,206,"Lance, Messer, Large Rotella (Size 7)","Kettle Hat, Reinforced Gambeson (long), Gorget (articulated/raised), Vambraces + Couter, Plackart","Courser, Riding Saddle, Leather crinet",PrebuiltTieredKit,401-700sp,416,3.64,NO,None,,1,0,2,0,14,180.2,83.2,1,-6,4,-2,2,1,-6,-1,-8,3,Aucun,2026-06-04 17:13:13
CH-00023,Human,Illuskan,Luskan,Major Port City,Groupe1_Cote_des_Epees,Deep-Sea Fishing,City Secrets & Hidden Routes | Black Market Operations | Streetwise (Urban Underworld) | Black Market Operations | Urban Observation and Tailing,"Nobility & Heraldry | Cosmology (Weave, Shadow Weave) | Laws & Customs of Nations | Political Currents & Rivalries",Brewing & Distilling | Cabinetmaking & Marquetry | Beekeeping,Chondathan | Illuskan,Chondathan | Illuskan,521,293.4,universal_standard,260,"Estoc (2h), Arming Sword","Close Helmet, Pourpoint (light civil), Bevor, Vambraces + Couter + Rerebrace, Gauntlets (normal)",Aucun,PrebuiltTieredKit,401-700sp,523,-6.53,YES,Théurgique,Magie Blanche,1,-2,-8,-2,8,180.2,83.2,1,-4,0,-8,-5,2,-5,0,-10,-3,Aucun,2026-06-04 17:13:13
CH-00024,Human,Rashemi,Rashemen,Mountain Village,Groupe10_Rashemen,Marsh Movement | Hermetic Medicine | Complex Terrain Navigation | Advanced Tracking | Forest Stealth,Sleight of Hand & Cheating | Criminal Organizations & Syndicates,Major Religions & Deities | Ruins & Major Archaeological Sites | Cultural Interactions | Major Cities & Regions,Architecture,Infernal | Rashemi,Chondathan | Infernal | Rashemi,321,293.4,universal_standard,160,"Billhook, Arming Sword, Scutum (Size 11)","Cabasset, Simple Breastplate, Arming Doublet, Gorget (articulated/raised), Garde-reins, Tassets (short pair), Schynbalds / Demi-greaves",Aucun,PrebuiltTieredKit,201-400sp,322,-10.18,YES,Arcanique,Magicien,-7,-4,-1,-4,-1,165.0,63.9,-1,-5,-9,9,-2,11,7,4,2,-6,Aucun,2026-06-04 17:13:13
CH-00025,Human,Tethyrian,Amn,Small Town,Groupe2_Sud_Marchand,Desert Thermal Endurance | Open Land Navigation | Wild Plant Foraging | Advanced Tracking,Disguise & Impersonation | Smuggling Networks,Cultural Interactions | Trade Routes & Commerce | Elven Culture,Brewing & Distilling,Tethyrian,Chondathan | Cormyrian | Tethyrian,686,293.4,universal_standard,363,Arming Sword,"Bascinet (basic), Mail Shirt (sleeveless), Gambeson (long / fended), Gorget (normal), Cuisses (reinforced Maximilian), Greaves (normal)","Rouncey, War Saddle, Leather barding, Leather chanfron",PrebuiltTieredKit,401-700sp,684,3.34,NO,None,,-2,-1,4,-1,7,166.4,67.4,0,0,-2,2,4,3,4,0,1,-2,Aucun,2026-06-04 17:13:13
CH-00026,Dwarf,Shield Dwarf,Citadel Adbar,Dwarven Fortress,Groupe6_Bloc_Nain,Hermetic Medicine,Streetwise (Urban Underworld) | Criminal Organizations & Syndicates | Heraldry & Lineage Recognition,"Ancient Realms (Netheril, Imaskar...) | History of the Realms | Laws & Customs of Nations | Dwarven Culture",Smithing & Metallurgy | Shipbuilding,Nain,Nain | Undercommon,317,293.4,universal_standard,158,"Francisca, Hand Axe, Sling, Small Buckler (Size 2)","Burgonet, Aventail, Mail Shirt (sleeveless), Reinforced Gambeson, Gorget (articulated/raised), Plackart, Schynbalds / Demi-greaves",Sling bullets (72),PrebuiltTieredKit,201-400sp,318,7.21,NO,None,,1,2,3,-5,2,117.3,57.5,-8,5,4,7,0,-4,-3,3,10,6,Vision dans le noir + Robustesse naine,2026-06-04 17:13:13
CH-00027,Human,Illuskan,Le Nord (The North),Logging Camp,Groupe5_Nord_Sauvage,Oceanic Navigation | Deep-Sea Fishing | Storm and Seasickness Mastery | Marsh Disease Resistance,Noble Houses & Court Intrigue | Smuggling Networks,Elven Culture | Geography of Faerûn | Court Etiquette & Protocol,Carpentry & Woodworking | Leatherworking & Tanning | Herbalism & Potion Brewing,Illuskan,Chondathan | Illuskan | Reghed,220,293.4,universal_standard,110,"Battle Axe, Falchion, Brocchiere (Size 1)","Leather Helmet, Reinforced Gambeson (long), Bevor, Couter (pair)",Aucun,PrebuiltTieredKit,201-400sp,220,-6.35,YES,Arcanique,Magicien,1,-2,-5,-4,6,188.2,97.4,2,-5,-12,-1,-2,1,6,-6,-8,-13,Aucun,2026-06-04 17:13:13
CH-00028,Human,Chultan,Chult,Fishing Village,Groupe3_Coeur_Continental,Wild Plant Foraging | Marsh Movement | Advanced Tracking | Game Butchering and Preservation | Forest Stealth | Marsh Disease Resistance,,Elven Culture | Weave Theory | Geography of Faerûn,Smithing & Metallurgy | Herbalism & Potion Brewing,Chultan,Chultan | Tashalan | Yuan-ti,242,293.4,universal_standard,121,"Baselard, Arming Sword, Sling, Heater Shield (Size 8)","Kettle Hat, Pourpoint (light civil), Couter (pair), Gauntlets (articulated reinforced)",Sling bullets (72),PrebuiltTieredKit,201-400sp,243,-5.67,YES,Arcanique,Magicien,2,-1,-12,-2,5,181.8,83.2,1,2,-4,-7,-8,-4,2,1,-5,-7,Aucun,2026-06-04 17:13:13
CH-00029,Human,Damaran,Silver Marches (Luruar),Isolated Hamlet,Groupe7_Marches_Argent,Mountain Endurance | Subterranean Hazard Resistance | Signaling and Rescue | Wild Plant Foraging | Complex Terrain Navigation | Advanced Tracking,High Society Manipulation,Major Cities & Regions | Fall of Myth Drannor | History of Imaskar | Nobility & Heraldry,Accounting & Estate Management | Architecture,Thorass,Damaran | Illuskan | Nar,221,293.4,universal_standard,110,"Arming Sword, Falchion, Staff Sling, Scutum (Size 11)","Leather Helmet, Padded Jack (medium / troop), Couter (pair)",Sling bullets (72),PrebuiltTieredKit,201-400sp,221,3.8,NO,None,,4,0,-3,-1,13,183.2,92.4,2,-2,-1,-7,0,6,0,-2,-9,-4,Aucun,2026-06-04 17:13:13
CH-00030,Human,Mulan,Mulhorand,Rural Village,Groupe8_Mulhorand,Weather Reading | Advanced Tracking | Desert Thermal Endurance,,Court Etiquette & Protocol | Laws & Customs of Nations | History of the Realms | Ruins & Major Archaeological Sites,Cartography,Chessentan | Mulhorandi,Chessentan | Mulhorandi,379,293.4,universal_standard,200,"Club, Arming Sword, Sling, Large Rotella (Size 7)","Great Bascinet (with bevor), Aventail, Mail Shirt (sleeveless), Reinforced Gambeson, Gauntlets (normal)",Sling bullets (12),PrebuiltTieredKit,201-400sp,378,4.96,NO,None,,-1,-1,4,0,9,180.4,71.0,1,1,-1,-2,5,0,2,-4,-1,-2,Aucun,2026-06-04 17:13:13
CH-00031,Human,Tethyrian,Western Heartlands,Remote Trading Post,Groupe3_Coeur_Continental,Arctic Hunting | Advanced Tracking | Forest Stealth | Wild Plant Foraging | Desert Water Mastery,Criminal Organizations & Syndicates | Lockpicking and Trap Disarming,Geography of Faerûn | Guilds & Organizations | Divine Myths & Legends | Political Currents & Rivalries,Exotic Herbalism | Preservation & Salting,Thorass,Tethyrian | Thorass,487,293.4,universal_standard,274,"Hand Axe, Sling","Bascinet (basic), Mail Haubergeon (mid-length), Simple Breastplate, Gauntlets (normal), Fauld, Tassets (short pair), Poleyns + Knee guards, Sabatons (broad bear-foot)","Ranseur, Sling bullets (12)",PrebuiltTieredKit,401-700sp,484,-8.58,YES,Arcanique,Magicien,-3,-2,-4,-3,3,156.3,63.9,-2,-4,3,-2,-3,-3,1,-8,-4,2,Aucun,2026-06-04 17:13:13
CH-00032,Human,Turami,Chondath,Rural Village,Groupe4_Vilhon_Est,Littoral Foraging | Dark Water Swimming | River Crossing | Oceanic Navigation,Forgery of Documents & Seals | Fences and Buyers Network,Cultural Interactions | Gnomish Culture | Major Cities & Regions | Nobility & Heraldry,Dyeing & Textile Coloring,Turmish | Chondathan,Chondathan | Lantanna | Turami | Turmish,427,293.4,universal_standard,214,"Club, Buckler (Size 3)","Nasal Helmet, Pourpoint (light civil)","Courser, Riding Saddle, Plate chanfron, Plate crinet",PrebuiltTieredKit,401-700sp,430,-8.04,YES,Théurgique,Magie Blanche,-2,-3,-2,-4,2,152.2,63.9,-2,3,-4,-6,1,1,5,0,-1,-6,Aucun,2026-06-04 17:13:13
CH-00033,Human,Turami,Turmish,Logging Camp,Groupe2_Sud_Marchand,Advanced Tracking | Dark Water Swimming | Coastal Survival | Hermetic Medicine | Mountain Endurance | Littoral Foraging,City Secrets & Hidden Routes | Guild Knowledge & Politics,Dragon Lore | Guilds & Organizations | Geography of Faerûn,Cooking (Fine Cuisine) | Stone & Wood Carving,Lantanna,Chondathan | Lantanna | Turmish,462,293.4,universal_standard,241,"Cutlass, Falchion","Kettle Hat, Mail coif, Brigandine (standard troop), Arming Doublet, Gorget (normal), Couter (pair), Tassets (short pair), Mail Demi-chausses, Greaves (normal)",Aucun,PrebuiltTieredKit,401-700sp,461,-3.09,YES,Arcanique,Magicien,1,-1,-5,0,2,177.0,74.8,1,1,3,-9,-2,4,1,6,-6,0,Aucun,2026-06-04 17:13:13
CH-00034,Human,Rashemi,Rashemen,Mountain Village,Groupe10_Rashemen,Forest Stealth | Advanced Tracking | Marsh Movement,Noble Houses & Court Intrigue,Nobility & Heraldry | Legendary Artifacts & Relics | Guilds & Organizations,Leatherworking & Tanning | Stoneworking | Clockmaking & Complex Mechanisms,Mulhorandi,Mulhorandi | Rashemi,249,293.4,universal_standard,125,"Crossbow, Messer, Brocchiere (Size 1)","Nasal Helmet, Gambeson (basic)",Crossbow Bolts (24),PrebuiltTieredKit,201-400sp,249,2.1,NO,None,,-2,-2,4,-2,10,170.9,71.0,0,-3,-2,1,5,-8,3,-3,-2,-2,Aucun,2026-06-04 17:13:13
