ID,Level,Race,Ethnicity,Origin_Region,Settlement_Type,Equipment_Group,Outdoor_Skills,Urban_Skills,Knowledge,Craft,Literacy,Spoken_Languages,Starting_Capital,Magic_Item_Capital,Final_Pocket_Money_BP,Armes_et_Bouclier,Prebuilt_Kit_Tier,Prebuilt_Kit_Cost_Sp,Prebuilt_Kit_Source,Combat_Points,Magic,Magic_Type,Magic_Subtype,Magic_And_Spells,God,Grappling,Melee,Projectiles,Fencing,Reach,Skill_Modifier,Height_cm,Weight_kg,Size_Score,Balance,Quickness,Coordination,Precision,Endurance,Vigilance,Beauty,Stealth,Speed,Special,Generation_Date
CH-00011,1,Human,Sossrim,The Cold Lands,Isolated Hamlet,Groupe3_Coeur_Continental,Technical Rock Climbing | Signaling and Rescue | Mountain Endurance | Snow and Ice Shelter Building | Arctic Hunting,,"Major Cities & Regions | Dwarven Culture | Ancient Realms (Netheril, Imaskar...) | Laws & Customs of Nations",Taxidermy,Sossrim,Illuskan | Northlander | Sossrim | Vaasan,323,738,160,"Arming Doublet, Mail Shirt, Simple Breastplate, Sallet, Great Buckler, Arming Sword, Dagger | Philter of Love (Uncommon) (550 sp) | Ewer of Graceful Service (Uncommon) (160 sp) | Ammunition + (Common) (10 sp)",Kit 46,307.0,100_kits_XV_siecle_Cote_des_Epees_EN (1).txt,-9.54,YES,Sauvage,Magie Blanche,,Auril,-2,-4,-4,-4,0,6,172.4,71.0,0,1,-5,-8,0,3,0,-10,-4,-8,Aucun,2026-06-24 12:00:42
CH-00012,1,Human,Calishite,Amn,Large Town,Groupe2_Sud_Marchand,Desert Thermal Endurance | Open Land Navigation,Poison Lore & Subtle Application | High Society Manipulation | Criminal Organizations & Syndicates | Streetwise (Urban Underworld),Orc & Goblinoid Culture | History of Magic | Laws & Customs of Nations,Cabinetmaking & Marquetry | Mosaic & Fresco Art | Bookbinding,Chondathan,Calishite | Chondathan | Halruaan | Thorass,841,479,270,"Courser, War Saddle, Bit & Bridle, Leather Barding, Arming Doublet, Mail Haubergeon, Brigandine, Armet, Lance, Arming Sword, Dagger | Bullseye Lantern of the Focused Beam (Uncommon) (420 sp) | Sealing Wax (Common) (40 sp) | Ammunition + (Common) (10 sp)",Kit 97,814.0,100_kits_XV_siecle_Cote_des_Epees_EN (1).txt,6.85,NO,None,,,Waukeen,2,2,-5,3,0,3,168.0,63.9,0,12,2,0,-5,-2,-1,3,10,2,Aucun,2026-06-24 12:00:42
CH-00013,1,Human,Illuskan,Le Nord (The North),Isolated Farmstead,Groupe5_Nord_Sauvage,Mountain Endurance | Deep-Sea Fishing | Wetland Tracking | Oceanic Navigation,,Dwarven Culture | Geography of Faerûn | Cultural Interactions | Legendary Artifacts & Relics,Leatherworking & Tanning | Navigation (Land & Sea) | Herbalism & Potion Brewing,Illuskan | Chondathan,Chondathan | Illuskan,486,657,110,"Arming Doublet, Mail Voiders, Brigandine, Vambraces, Couters, Gauntlets, Armet, Bec de Corbin, Rondel Dagger | Planispheric Astrolabe of the Celestial Guide (Uncommon) (550 sp) | Magic Button (Common) (80 sp) | Ammunition + (Common) (10 sp)",Kit 92,475.0,100_kits_XV_siecle_Cote_des_Epees_EN (1).txt,-2.62,NO,None,,,Shaundakul,-2,0,0,-1,0,12,167.8,71.0,0,-6,3,2,-1,-2,0,-1,-4,3,Aucun,2026-06-24 12:00:42
CH-00014,1,Human,Chultan,Tashalar,Forest Village,Groupe3_Coeur_Continental,Coastal Survival | Marsh Disease Resistance | Wild Plant Foraging | Marsh Movement,,Spellplague & Its Aftermath | Laws & Customs of Nations,Smithing & Metallurgy | Glassworking,None,Chultan | Shaaran | Tashalan,560,620,40,"Rouncey, War Saddle, Bit & Bridle, Arming Doublet, Mail Voiders, Breastplate, Backplate, Vambraces, Couters, Sallet, Lance, Arming Sword, Great Buckler, Dagger, Knife | Philter of Love (Uncommon) (550 sp) | Breath of the Sea (Common) (60 sp) | Ammunition + (Common) (10 sp)",Kit 81,556.0,100_kits_XV_siecle_Cote_des_Epees_EN (1).txt,8.3,NO,None,,,Eldath,3,2,0,1,2,10,191.7,92.4,2,0,-4,2,1,-4,0,3,-2,-4,Aucun,2026-06-24 12:00:42
CH-00015,1,Human,Tethyrian,Western Heartlands,Rural Village,Groupe3_Coeur_Continental,Savanna Plant Knowledge | Wild Plant Foraging | Advanced Tracking,Smuggling Networks | Streetwise (Urban Underworld),Religious Cults & Orders | Dragon Lore,Shipbuilding | Architecture | Perfumery & Cosmetics,Illuskan,Chondathan | Illuskan,618,591,10,"Reinforced Gambeson, Composite Bow, Arrows (12), Archer Bracer, Falchion, Dagger, Arming Doublet, Mail Voiders, Brigandine, Vambraces, Couters, Sallet, Arming Sword, Great Buckler, Pavise (35)  # pro ranged kit completed with armor, limbs, sidearm & ammo for company use | Planispheric Astrolabe of the Celestial Guide (Uncommon) (550 sp) | Dawn Thread (Common) (40 sp)",Kit 81,617.0,100_kits_XV_siecle_Cote_des_Epees_EN (1).txt,14.29,NO,None,,,Sune,1,1,6,0,-2,4,154.8,71.0,-2,-1,4,5,4,1,-1,3,2,5,Aucun,2026-06-24 12:00:42
CH-00016,1,Human,Tethyrian,Western Heartlands,Small Town,Groupe3_Coeur_Continental,Wild Plant Foraging | Wetland Tracking | Forest Stealth | Advanced Tracking,Criminal Organizations & Syndicates | Guild Knowledge & Politics | Urban Observation and Tailing | Noble Houses & Court Intrigue,Major Cities & Regions | Trade Routes & Commerce | Geography of Faerûn | Laws & Customs of Nations,Cooking (Fine Cuisine) | Accounting & Estate Management | Carpentry & Woodworking,Thorass,Chondathan | Tethyrian,700,550,140,"Courser, War Saddle, Bit & Bridle, Arming Doublet, Mail Shirt, Coat of Plates, Vambraces, Couters, Sallet, Lance, Bastard sword, Great Buckler, Dagger, Knife | Saddle of the Enduring Journey (Uncommon) (520 sp) | Ammunition + (Common) (10 sp)",Kit 93,686.0,100_kits_XV_siecle_Cote_des_Epees_EN (1).txt,46.33,NO,None,,,Mielikki,10,7,-1,4,4,2,211.1,126.8,4,1,-4,3,-1,-2,-2,-10,-3,-3,Aucun,2026-06-24 12:00:42
CH-00017,1,Human,Damaran,Damara,Fortified City,Groupe5_Nord_Sauvage,Extreme Cold Resistance | Mountain Endurance | Complex Terrain Navigation | Hermetic Medicine,Fences and Buyers Network | Urban Observation and Tailing | Noble Houses & Court Intrigue | Lockpicking and Trap Disarming,Lost Kingdoms & Cities | Laws & Customs of Nations,Calligraphy & Illumination,None,Chondathan | Damaran | Illuskan | Nar,598,601,20,"Courser, War Saddle, Bit & Bridle, Arming Doublet, Mail Haubergeon, Vambraces, Couters, Sallet, Lance, Arming Sword, Great Buckler, Dagger, Knife | Mirror of Souls (Uncommon) (440 sp) | Saw of the Precise Cut (Uncommon) (160 sp)",Kit 87,596.0,100_kits_XV_siecle_Cote_des_Epees_EN (1).txt,41.46,NO,None,,,Oghma,4,6,7,4,3,-1,198.6,97.4,3,-6,3,7,5,-4,3,-6,-4,5,Aucun,2026-06-24 12:00:42
CH-00018,1,Dwarf,Gray Dwarf,Underdark,Mining Camp,Groupe14_Underdark,Technical Rock Climbing | Confined Space Stealth | Mountain Endurance | Hermetic Medicine | Underground Navigation,,Laws & Customs of Nations | Magical Schools & Traditions,Weaving & Spinning | Beekeeping,None,Géant | Nain | Orc,608,596,280,"Padded Jack, Heavy Crossbow, Heavy Crossbow Bolts (12), Pavise, Rondel Dagger, Arming Doublet, Mail Voiders, Brigandine, Vambraces, Couters, Sallet, Arming Sword, Great Buckler, Archer Bracer (2)  # pro ranged kit completed with armor, limbs, sidearm & ammo for company use | Heart of Stone (Uncommon) (440 sp) | Whisper of the Woods (Common) (140 sp) | Ammunition + (Common) (10 sp)",Kit 82,580.0,100_kits_XV_siecle_Cote_des_Epees_EN (1).txt,-4.0,NO,None,,,Laduguer,-2,-6,2,-6,-7,5,121.5,60.6,-7,-1,-5,7,1,6,9,4,4,-3,Invisibilité + Agrandissement,2026-06-24 12:00:42
CH-00019,1,Half-elf,Moon Half-elf,Evermeet,Elven Enclave,Groupe13_Evermeet,Forest Stealth | Complex Terrain Navigation | Littoral Foraging,Guild Knowledge & Politics | Streetwise (Urban Underworld) | Noble Houses & Court Intrigue | Information Brokerage | Criminal Organizations & Syndicates,"Festivals, Calendars & Traditions | Fey & Feywild Knowledge | Lost Kingdoms & Cities",Herbalism & Potion Brewing,Céleste,Céleste | Elfique,981,409,10,"Arming Doublet, Mail Voiders, Breastplate, Backplate (hardened), Vambraces, Couter, Rerebrace, Gauntlets (articulated reinforced), Tassets, Poleyns, Sallet, Bill, Longsword, Dagger | Scallop Shell of the Weary Pilgrim (Uncommon) (400 sp)",Kit 109,980.0,100_kits_XV_siecle_Cote_des_Epees_EN (1).txt,7.28,NO,None,,,Solonor,2,2,-1,1,1,8,177.0,74.8,1,1,5,-1,-1,0,-2,5,-1,4,Méditation + Immunité sommeil + VN (N1),2026-06-24 12:00:42
CH-00020,1,Human,Chondathan,The Dalelands,Forest Village,Groupe3_Coeur_Continental,Plains Tracking | Forest Stealth | Advanced Tracking | Open Land Navigation | Complex Terrain Navigation,,Religious Cults & Orders | Lost Kingdoms & Cities | Halfling Culture | Guilds & Organizations,Ritual Object Crafting | Carpentry & Woodworking | Navigation (Land & Sea),Elfique | Chondathan,Chondathan | Druidic | Elfique,511,644,140,"Arming Doublet, Mail Haubergeon, Breastplate, Backplate, Vambraces, Couters, Bascinet (basic), Longsword, Dagger | Heart of Stone (Uncommon) (440 sp) | Candlestick of the Long Vigil (Uncommon) (200 sp)",Kit 80,497.0,100_kits_XV_siecle_Cote_des_Epees_EN (1).txt,-1.51,NO,None,,,Mielikki,0,1,-6,1,2,10,183.5,74.8,2,0,2,-2,-5,-1,1,-2,-2,1,Aucun,2026-06-24 12:00:42
